cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop1200,pop1300,pop1400,pop1500,pop1600,on_river,on_coast,inland,atlantic,baltic,northsea,medit,l1200,l1300,l1400,l1500,l1600,g_crash,g_recov
0,Aachen,Germany,50.78,6.08,176,land north sea,True,True,13000.0,18000.0,10000.0,18000.0,23000.0,0,0,1,0,0,1,0,9.472704636443673,9.798127036878302,9.210340371976184,9.798127036878302,10.043249494911286,-0.5877866649021186,0.5877866649021186
2,Aalst,Belgium,50.93,4.03,17,river north sea,True,True,3000.0,4000.0,4000.0,5000.0,7000.0,1,0,0,0,0,1,0,8.006367567650246,8.294049640102028,8.294049640102028,8.517193191416238,8.85366542803745,0.0,0.2231435513142106
50,Alkmaar,Netherlands,52.63,4.73,3,river north sea,True,True,2000.0,3000.0,2000.0,5000.0,12000.0,1,0,0,0,0,1,0,7.600902459542082,8.006367567650246,7.600902459542082,8.517193191416238,9.392661928770137,-0.4054651081081637,0.916290731874156
61,Altenburg,Germany,50.98,12.43,227,river north sea,True,True,2000.0,1000.0,3000.0,3000.0,4000.0,1,0,0,0,0,1,0,7.600902459542082,6.907755278982137,8.006367567650246,8.006367567650246,8.294049640102028,1.0986122886681091,0.0
63,Altstaetten,Switzerland,47.38,9.55,410,land north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,6.907755278982137,0.0,0.0
66,Amberg,Germany,49.45,11.87,373,river north sea,True,True,1000.0,3000.0,3000.0,4000.0,4000.0,1,0,0,0,0,1,0,6.907755278982137,8.006367567650246,8.006367567650246,8.294049640102028,8.294049640102028,0.0,0.2876820724517817
69,Amersfoort,Netherlands,52.15,5.4,3,river north sea,True,True,2000.0,3000.0,2000.0,7000.0,7000.0,1,0,0,0,0,1,0,7.600902459542082,8.006367567650246,7.600902459542082,8.85366542803745,8.85366542803745,-0.4054651081081637,1.252762968495368
71,Amsterdam,Netherlands,52.37,4.9,2,north sea,True,True,1000.0,1000.0,3000.0,12000.0,60000.0,0,1,0,0,0,1,0,6.907755278982137,6.907755278982137,8.006367567650246,9.392661928770137,11.002099841204238,1.0986122886681091,1.3862943611198908
74,Andernach,Germany,50.43,7.4,60,river north sea,True,True,3000.0,3000.0,2000.0,3000.0,3000.0,1,0,0,0,0,1,0,8.006367567650246,8.006367567650246,7.600902459542082,8.006367567650246,8.006367567650246,-0.4054651081081637,0.4054651081081637
82,Anklam,Germany,53.85,13.68,6,river baltic,True,True,1000.0,2000.0,1000.0,2000.0,5000.0,1,0,0,0,1,0,0,6.907755278982137,7.600902459542082,6.907755278982137,7.600902459542082,8.517193191416238,-0.6931471805599454,0.6931471805599454
83,Annaberg,Germany,50579.0,13.0,300,land north sea,True,True,0.0,1000.0,2000.0,4000.0,6000.0,0,0,1,0,0,1,0,-inf,6.907755278982137,7.600902459542082,8.294049640102028,8.699514748210191,0.6931471805599454,0.6931471805599454
86,Ansbach,Germany,49.28,10.6,406,river north sea,True,True,1000.0,1000.0,1000.0,2000.0,3000.0,1,0,0,0,0,1,0,6.907755278982137,6.907755278982137,6.907755278982137,7.600902459542082,8.006367567650246,0.0,0.6931471805599454
89,Antwerpen,Belgium,51.22,4.42,3,north sea + river,True,True,3000.0,7000.0,15000.0,30000.0,47000.0,1,1,0,0,0,1,0,8.006367567650246,8.85366542803745,9.615805480084347,10.308952660644293,10.757902880692196,0.762140052046897,0.6931471805599454
91,Apeldoorn,Netherlands,52.22,5.97,16,land north sea,True,True,2000.0,2000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,7.600902459542082,7.600902459542082,6.907755278982137,6.907755278982137,6.907755278982137,-0.6931471805599454,0.0
101,Ardooie,Belgium,50.98,3.2,21,land north sea,True,True,2000.0,2000.0,1000.0,2000.0,2000.0,0,0,1,0,0,1,0,7.600902459542082,7.600902459542082,6.907755278982137,7.600902459542082,7.600902459542082,-0.6931471805599454,0.6931471805599454
110,Arlon,Belgium,49.68,5.82,421,river north sea,True,True,2000.0,1000.0,1000.0,2000.0,2000.0,1,0,0,0,0,1,0,7.600902459542082,6.907755278982137,6.907755278982137,7.600902459542082,7.600902459542082,0.0,0.6931471805599454
114,Arnhem,Netherlands,51.98,5.92,13,river north sea,True,True,2000.0,2000.0,3000.0,6000.0,7000.0,1,0,0,0,0,1,0,7.600902459542082,7.600902459542082,8.006367567650246,8.699514748210191,8.85366542803745,0.4054651081081637,0.6931471805599454
120,Aschaffenburg,Germany,49.98,9.15,138,river north sea,True,True,1000.0,2000.0,1000.0,1000.0,2000.0,1,0,0,0,0,1,0,6.907755278982137,7.600902459542082,6.907755278982137,6.907755278982137,7.600902459542082,-0.6931471805599454,0.0
121,Aschersleben,Germany,51.75,11.45,114,land north sea,True,True,2000.0,2000.0,1000.0,1000.0,2000.0,0,0,1,0,0,1,0,7.600902459542082,7.600902459542082,6.907755278982137,6.907755278982137,7.600902459542082,-0.6931471805599454,0.0
