city_id,comment,time_point,type_conflict,type_detail,warlabel,overreported,uncertainty,range,ThirtyYW_leader,ThirtyYW_conflict_party,ThirtyYW_territory,ThirtyYW_country,source
1001,1453 wurde Ordensburg zerstoert,1453,2,a1,0,0,0,0,,,,,"10, 11"
1001,1455 Stadt durch den Orden ueberwaeltigt,1455,1,e1,0,0,0,0,,,,,"10, 11"
1001,1679 schwed. Besatzung ,1679,3,cd1,0,0,0,0,,,,,"10, 11"
1001,1757-62 russ. Besatzung,1757,3,cd1,0,0,0,2,,,,,"10, 11"
1008,Als Folge einer Kampfhandlung zwischen Schweden und Brandenburgern brannte 1659 die Stadt ab,1659,1,e1,0,0,0,0,,,,,"10, 11"
1008,Als Folge einer Kampfhandlung zwischen Schweden und Brandenburgern brannte 1659 die Stadt ab,1659,2,a3,0,0,0,0,,,,,"10, 11"
1008,Grosze Leiden brachte der Tartareneinfall 1656,1656,1,f1,0,0,0,0,,,,,"10, 11"
1008,Hungerkrieg 1414 Einaescherung der Stadt und Burg,1414,2,a3,0,0,0,0,,,,,"10, 11"
1008,Im 13jaehr Staedtekrieg 1454-66 wurden Stadt und Burg eingeaeschert,1454,2,a3,0,0,0,2,,,,,"10, 11"
1008,Im Reiterkrieg 1520-25 zw. Albrecht von Brandenburg und Polen wurde B. Dem Erdboden gleichgemacht,1520,2,a1,0,0,0,2,,,,,"10, 11"
1011,1414 Besetzung durch Hochmeister Heinrich von Plauen,1414,3,cd1,0,0,0,0,,,,,"10, 11"
1011,"Besetzung durch Gr. Kurf. 1655 im 2. Schwedenkrieg, Besetzung bis 1663",1655,3,cd1,0,0,0,0,,,,,"10, 11"
1011,"Einrueckung von Karl XII im Nord. Krieg 1703, Besetzung bis 1709",1703,1,e4,0,0,0,0,,,,,"10, 11"
1011,"Einrueckung von Karl XII im Nord. Krieg 1703, Besetzung bis 1709",1703,3,cd1,0,0,0,2,,,,,"10, 11"
1011,"Im Reiterkrieg besetzte der Hochmeister Albrecht am Neujahrsmorgen 1520 die Stadt, Besetzung bis 1525",1520,3,cd1,0,0,0,0,,,,,"10, 11"
1011,Irgendwann zwischen 1454 und 1461 schwere Bedrueckung durch boehm Soeldner,1454,1,f1,0,0,0,2,,,,,"10, 11"
1011,Nach der Niederlage von Tannenberg 1410 unterwarf sich Br. Dem siegreichen poln. Kg.,1410,1,e6,0,0,0,0,,,,,"10, 11"
1011,Poln Belagerung 1478,1478,3,d2,0,0,0,0,,,,,"10, 11"
1011,"Schwere Kaempfe mit bfl. Landesherrn 1396, 1444, 1454",1396,1,e1,0,0,0,0,,,,,"10, 11"
1011,"Schwere Kaempfe mit bfl. Landesherrn 1396, 1444, 1454",1444,1,e1,0,0,0,0,,,,,"10, 11"
1011,"Schwere Kaempfe mit bfl. Landesherrn 1396, 1444, 1454",1454,1,e1,0,0,0,0,,,,,"10, 11"
1011,im ersten schwed.-poln. Krieg eroberte Gustav Adolf 1626 die Stadt (Besetzung bis 1635),1525,1,e2,0,0,0,0,,,,,"10, 11"
1011,im ersten schwed.-poln. Krieg eroberte Gustav Adolf 1626 die Stadt (Besetzung bis 1635),1626,3,cd1,0,0,0,2,,,,,"10, 11"
1013,Bedrohung der Stadt im Kriege Karls X. Gustav von Schweden gegen Johann Kasimir von Polen (1655-1660),1655,1,f4,0,0,0,2,,,,,"10, 11"
1013,"Besetzung durch Dt. Orden 1301 und endgueltig 1308. In dem pommerell. Erbfolgekrieg 1294-1308 wechselte die Landesherrschaft zw. Polen, den Kg. Von Boehmen und Mkgr. Von Brandenburg",1301,3,cd1,0,0,0,0,,,,,"10, 11"
1013,"Besetzung durch Dt. Orden 1301 und endgueltig 1308. In dem pommerell. Erbfolgekrieg 1294-1308 wechselte die Landesherrschaft zw. Polen, den Kg. Von Boehmen und Mkgr. Von Brandenburg",1308,3,cd1,0,0,0,0,,,,,"10, 11"
1013,Besetzung durch Mkgr. Konrad 1271 (Stadt und Burg),1271,3,cd1,0,0,0,0,,,,,"10, 11"
1013,Hussiten wurden 1433 abgewehrtIn den schwed.-poln Kriegen geriet D. Seit 1626 in kriegerische Verwicklungen mit Gustav Adolf,1433,1,e1,0,0,0,0,,,,,"10, 11"
1013,Hussiten wurden 1433 abgewehrtIn den schwed.-poln Kriegen geriet D. Seit 1626 in kriegerische Verwicklungen mit Gustav Adolf,1626,1,f1,0,0,0,2,,,,,"10, 11"
1013,Nach 1709 wurde das Landgebiet mehrfach von Russen gepluendert,1709,3,b3,0,0,1,2,,,,,"10, 11"
1013,Nach 1709 wurde das Landgebiet mehrfach von Russen gepluendert,1709,3,b3,0,0,1,2,,,,,"10, 11"
1018,1410 Besetzung durch poln Armee nach Niederlage bei Tannenberg,1410,3,cd1,0,0,0,0,,,,,"10, 11"
1018,Abwehr brandenb. Angriffe 1658 und 1659,1658,1,e1,0,0,0,0,,,,,"10, 11"
1018,Abwehr brandenb. Angriffe 1658 und 1659,1659,1,e1,0,0,0,0,,,,,"10, 11"
1018,Angriff durch Danzig 1577 (Gebiet wurde verheert),1577,1,e1,0,0,0,0,,,,,"10, 11"
1018,Angriff durch Danzig 1577 (Gebiet wurde verheert),1577,2,a1,0,0,0,0,,,,,"10, 11"
1018,Besetzung des Territorium 1703 durch Friedrichs I. Truppen,1703,3,cd1,0,0,0,0,,,,,"10, 11"
1018,E. war heisz umkaempft in den Preuszenkaempfen 1242-73,1242,1,f1,0,0,0,3,,,,,"10, 11"
1018,E. widerstand dem „Groszen Anlauf“ des Hochmeisters Albrecht 1521 und wahrte damit seine Selbststaendigkeit,1521,1,f1,0,0,0,0,,,,,"10, 11"
1018,Einnahme durch Gr. Kurf. 1698,1698,1,e2,0,0,0,0,,,,,"10, 11"
1018,Im Pfaffenkrieg um den ermlaend Bischofssitz (1464-79) konnte E. Seine Selbststaendigkeit behaupten,1464,1,f1,0,0,0,2,,,,,"10, 11"
1018,Raeumung 1700,1700,1,f1,0,0,0,0,,,,,"10, 11"
1018,Schwedenbesetzung bis 1635 und 1655-60,1635,3,cd1,2,0,0,0,28,2,21,7,"10, 11"
1018,Schwedenbesetzung bis 1635 und 1655-60,1655,3,cd1,0,0,0,2,,,,,"10, 11"
1018,"russ. Besatzung 1710-12 und 1733, 1758-62, 1765, 1767",1710,3,cd1,0,0,0,0,,,,,"10, 11"
1018,"russ. Besatzung 1710-12 und 1733, 1758-62, 1765, 1767",1733,3,cd1,0,0,0,0,,,,,"10, 11"
1018,"russ. Besatzung 1710-12 und 1733, 1758-62, 1765, 1767",1758,3,cd1,0,0,0,0,,,,,"10, 11"
1018,"russ. Besatzung 1710-12 und 1733, 1758-62, 1765, 1767",1765,3,cd1,0,0,0,0,,,,,"10, 11"
1018,"russ. Besatzung 1710-12 und 1733, 1758-62, 1765, 1767",1767,3,cd1,0,0,0,0,,,,,"10, 11"
1020,Besetzung durch Gustav Adolf 1629-35,1629,3,cd1,0,0,0,2,,,,,"10, 11"
1020,Niederbrennung durch Danziger 1458,1458,2,a3,0,0,0,0,,,,,"10, 11"
1020,Pluenderung von den Danzigern 1456 im Verlauf des 13jaehr Kriegs,1456,3,b3,0,0,0,0,,,,,"10, 11"
1021,1414 Pluenderung und Zerstoerung durch poln. Soeldner,1414,3,b3,0,0,0,0,,,,,"10, 11"
1021,1414 Pluenderung und Zerstoerung durch poln. Soeldner,1414,2,a1,0,0,0,0,,,,,"10, 11"
1021,1454 Pluenderung und Zerstoerung im Staedtekrieg durch den Dt. Orden und Hans von Baisen,1454,2,a1,0,0,0,0,,,,,"10, 11"
1021,1454 Pluenderung und Zerstoerung im Staedtekrieg durch den Dt. Orden und Hans von Baisen,1454,3,b3,0,0,0,0,,,,,"10, 11"
