id,name_orig,year,start,end,start_orig,end_orig,locid,name,name_detail,type_detail,country,country_ISO3,country_ISO2,LangCode,lat,lon,lat_min,lon_min,lat_max,lon_max,status,mode,remark,doublecount,authors,type,decade,century,bbox_diag_km
1,Ornatsch,1346,252,259,258,265,988,Azov,"Azov, Rostov oblast, RUS",City,Russian Federation (the),RUS,RU,ENG,47.0897,39.4527,47.0277,39.3907,47.1517,39.5147,exact,auto,"Ornatsch (sometimes also pronounced as Arnatsch) is probably the city of Orna/Arnas, which is probably the city of Asow today, see https://archive.org/details/archivfrwissens16ermagoog/page/n249",,Nowgorodsche Chronik und Nikonsche Chronik bei Richter,Place,1340-1349,14,16.680605729334783
2,Chastorakan,1346,262,272,268,278,919,Astrakhan,"Astrakhan, Astrakhan oblast, RUS",City,Russian Federation (the),RUS,RU,ENG,46.3493,48.0338,46.2173,47.9018,46.4813,48.1658,exact,auto,,,Nowgorodsche Chronik und Nikonsche Chronik bei Richter,Place,1340-1349,14,35.66966203992538
3,Sarai,1346,275,279,281,285,996,Selitrennoye,"Selitrennoye, Astrakhan, RUS",City,Russian Federation (the),RUS,RU,RUS,47.1685,47.4526,47.1585,47.4426,47.1785,47.4626,exact,auto,,,Nowgorodsche Chronik und Nikonsche Chronik bei Richter,Place,1340-1349,14,2.6891601791555093
4,Besdesch,1346,292,299,298,305,998,Enotaevka,"Enotaevka, Enotaevskiy rayon, Astrakhan oblast, RUS",City,Russian Federation (the),RUS,RU,ENG,47.2432,47.0296,47.2262,47.0126,47.2602,47.0466,exact,auto,"Besdech is phonetic for Besdej (https://archive.org/stream/sitzungsbericht97wissgoog/sitzungsbericht97wissgoog_djvu.txt), which turned into Besedew, a village close to Jenotajewsk, see https://archive.org/details/archivfrwissens16ermagoog/page/n249",,Nowgorodsche Chronik und Nikonsche Chronik bei Richter,Place,1340-1349,14,4.569539700332495
5,Krim,1347,4607,4610,4811,4814,831,Avtonomna Respublika Krym,"Avtonomna Respublika Krym, UKR",State or Province,Ukraine,UKR,UA,UKR,45.3125,34.3502,43.8095,32.8472,46.8155,35.8532,exact,auto,,,Nikephoros Gregoras,Administrative Unit,1340-1349,14,408.5575238334848
6,Caffa,1347,5866,5870,6094,6098,802,Feodosia,"Feodosia, Crimea, UKR",City,Ukraine,UKR,UA,ENG,45.0319,35.3824,45.0102,35.3463,45.0939,35.4099,exact,auto,,,Gabriel de Mussis,Place,1340-1349,14,10.563221803237612
7,Konstantinopel,1347,9837,9850,10117,10130,562,Istanbul,"İstanbul, Istanbul, TUR",City,Turkey,TUR,TR,TUR,41.0138,28.9497,40.8868,28.8227,41.1408,29.0767,exact,auto,,,,Place,1340-1349,14,35.381630714057465
8,Messina,1347,12956,12962,13264,13270,475,Messina,"Messina, ITA",City,Italy,ITA,IT,ITA,38.1784,15.5531,38.0544,15.4291,38.3024,15.6771,exact,auto,,,Michael Platientis,Place,1340-1349,14,35.07656826597109
9,Syrakus,1347,17511,17517,17830,17836,427,Siracusa,"Siracusa, ITA",City,Italy,ITA,IT,ITA,37.0755,15.2866,37.0526,15.2405,37.1057,15.3013,exact,auto,,,Michael Platientis,Place,1340-1349,14,7.997137842838955
10,Sciacca,1347,17528,17534,17847,17853,441,Sciacca,"Sciacca, Agrigento, ITA",City,Italy,ITA,IT,ITA,37.5085,13.0816,37.5002,13.0453,37.5271,13.1244,exact,auto,,,Michael Platientis,Place,1340-1349,14,7.590848091770673
