polity_name,truhart_id,dynasty_name,dynasty_id,dyn_start,dyn_end,dynasty_source,rulers_coded,rulers_source,fs_start,fs_end,IACW_primary_start,IACW_primary_end,IACW_partial_start,IACW_partial_end,start_core,pres_country,proxy_location,core_latitude,core_longitude,successor,IACW_successor,fs_successor,dynastic_end_conquest,core_region,state_history,inner_asia_core_dist,EPR1_ID,EPR2_ID,EPR3_ID
Egypt (Fatimid),8.113,Fatimids,97,969,1170,Truhart (1996),1,Tapsell 1983,969,1170,,,1000,1170,Cairo,EG,"Cairo, Egypt",30.06263,31.24967,Egypt (Ayyubids),1,0,0,Middle_East,40,1497,2,6,7
Egypt (Ayyubid),8.114,Ayyubids,33,1171,1249,Truhart (1996),1,Tapsell 1983,,,1171,1249,,,Cairo,EG,"Cairo, Egypt",30.06263,31.24967,Egypt (Bahris),1,0,0,Middle_East,42,1497,2,6,7
Egypt (Mamluk),8.115,Bahris,37,1250,1381,Truhart (1996),1,Tapsell 1983,,,1250,1381,,,Cairo,EG,"Cairo, Egypt",30.06263,31.24967,Egypt (Burjis),1,0,0,Middle_East,43,1497,2,6,7
Egypt (Mamluk),8.115,Burjis,56,1382,1517,Truhart (1996),1,Tapsell 1983,,,1382,1517,,,Cairo,EG,"Cairo, Egypt",30.06263,31.24967,Ottoman Empire,0,0,1,Middle_East,44,1497,2,6,7
Ghazna,10.111,Ghaznavids,109,950,1175,Truhart (1996),1,Tapsell 1983,,,950,1175,,,Ghazni,AF,"Ghazni, Afghanistan",33.379194,67.792641,Ghurids,1,0,1,Middle_East,21,352,5,6,13
Afghanistan,10.112,Durrani,92,1747,1826,Truhart (1996),0,,,,1747,1826,,,Kandahar,AF,"Kandahar, Afghanistan",31.62,65.715833,Afghanistan (Barakzai),1,0,0,Middle_East,29,445,2,6,8
Badakhshan,10.1151,Shaybanids,305,1584,1881,Truhart (1996),0,,,,1584,1881,,,Badakhshan,AF,"Badakhan Province, Afghanistan",38,71,Afghanistan,1,0,1,Middle_East,20,23,5,7,13
Harat,10.122,Seljuks,301,1040,1160,Truhart (1996),0,,,,1040,1160,,,Herat,AF,"Herat, Afghanistan",34.341944,62.203056,Harat (Ghuzz),1,0,1,Middle_East,16,36,5,6,13
Harat,10.122,Ghuzz,113,1161,1206,Truhart (1996),0,,,,1161,1206,,,Herat,AF,"Herat, Afghanistan",34.341944,62.203056,Khwarizm (Anushtiginids),1,0,1,Middle_East,17,36,5,6,13
Harat,10.122,Karts,157,1245,1380,Truhart (1996),1,Tapsell 1983,,,,,1245,1380,Herat,AF,"Herat, Afghanistan",34.341944,62.203056,Harat (Timurids),1,0,1,Middle_East,18,36,5,6,13
Harat,10.122,Timurids,333,1381,1506,Truhart (1996),0,,,,1381,1506,,,Herat,AF,"Herat, Afghanistan",34.341944,62.203056,Harat (Shaybanids),1,0,1,Middle_East,19,36,5,6,13
Harat,10.122,Shaybanids,305,1507,1510,Truhart (1996),0,,,,1507,1510,,,Herat,AF,"Herat, Afghanistan",34.341944,62.203056,Iran (Safavids),1,1,1,Middle_East,21,36,5,6,13
Ghur,10.126,Shansabanis,111,1082,1205,Tapsell (1983),1,"Morby 1989, p.198",,,1082,1205,,,Firozkoh,AF,"Firozkoh, Afghanistan",34.396121,64.515144,Khwarizm (Anushtiginids),1,0,1,Middle_East,16,119,5,6,13
Khwarizm,10.141,Anushtiginids,17,1077,1220,Truhart (1996),1,"Morby 1989, p.198",,,1077,1220,,,Gurganj,TM,"Konye-Urgench, Turkmenistan",42.333333,59.15,Mongols,1,0,1,Inner_Asia,11,0,5,6,13
Khwarizm,10.141,Shaybanids,305,1505,1510,Truhart (1996),0,,,,1505,1510,,,Gurganj,TM,"Konye-Urgench, Turkmenistan",42.333333,59.15,Iran (Safavids),1,1,1,Inner_Asia,16,0,5,6,13
Samarqand,10.142,Timurids,333,1360,1500,Truhart (1996),1,"Morby 1989, p.201",,,1360,1500,,,Samarkand,UZ,"Samarqand, Uzbekistan",39.819905,66.480798,Shaybanids,1,0,1,Inner_Asia,18,0,5,6,13
Bukhara,10.143,Shaybanids,305,1501,1598,Truhart (1996),1,Tapsell 1983,,,1501,1598,,,Bukhara,UZ,"Bukhoro, Uzbekistan",40.012587,63.875724,Bukhara (Astrakhanids),1,0,0,Inner_Asia,20,0,5,6,13
