polity_name,source,layer_year,entity_area_name,truhart_id,SUM_IAC_all,SUM_Inter_state,SUM_Intra_state,SUM_HYDE_pop,mean_elevation,mean_open_terrain,inner_asia_border_dist,landform,warm_water_coast
Fatimids,Euratlas 1000,1000,Egypt (Fatimid Caliphs),8.113,,,,5542092.969,311.3145427,0.081818182,1268.357068,Peninsula,1
Fatimids,Euratlas 1100,1100,Egypt (Fatimid Caliphs),8.113,2,3,0,4316573.016,311.3145427,0.020400453,1297.012617,Peninsula,1
Ayyubids,Euratlas 1200,1200,Egypt (Banu Aiyub Sultans),8.114,10,11,0,4802558.429,387.7686971,0.145914905,734.4983991,Peninsula,1
Egypt,Euratlas 1300,1300,Egypt (Mamluk),8.115,1,1,0,5310074.808,296.5755075,0.05731661,1166.357319,Peninsula,1
Egypt,Euratlas 1400,1400,Egypt (Mamluk),8.115,1,1,0,4708644.89,296.5755075,0.086669568,899.843801,Peninsula,1
Egypt,Euratlas 1500,1500,Egypt (Mamluk),8.115,0,1,0,4509366.91,296.5755075,0.039317281,1169.472393,Peninsula,1
Ghaznavids,Geacron 1000,1000,Zabulistan,10.111,9,7,2,3388609.781,1238.106817,0.59902357,0,Continent,1
Ghaznavids,Geacron 1100,1100,Zabulistan,10.111,4,2,2,7075029.604,1238.106817,0.581273281,0,Continent,1
Afghanistan,Geacron 1800,1800,Kabul,10.112,,,,11652442.89,1263.120107,0.667383975,0,Continent,1
,,1600,Badakhshan,10.1151,,,,2323.847409,1201.778533,0.655172414,0,Continent,0
,,1700,Badakhshan,10.1151,,,,142277.5773,1201.778533,0.43877551,0,Continent,0
,,1800,Badakhshan,10.1151,,,,2632.425349,1201.778533,0.655172414,0,Continent,0
Hirat,GADM 1st Order: Hirat,1100,Harat,10.122,,,,125973.0754,1460.094324,0.852864583,0,Continent,0
Hirat,GADM 1st Order: Hirat,1200,Harat,10.122,2,2,0,265266.3759,1460.094324,0.714412025,0,Continent,0
Hirat,GADM 1st Order: Hirat,1300,Harat,10.122,3,3,0,580943.601,1460.094324,0.831088083,0,Continent,0
Hirat,GADM 1st Order: Hirat,1400,Harat,10.122,,,,247569.8108,1460.094324,0.802439024,0,Continent,0
Hirat,GADM 1st Order: Hirat,1500,Harat,10.122,4,4,0,217757.0717,1460.094324,0.714412025,0,Continent,0
Ghor,GADM 1st Order: Ghor,1100,Gur,10.126,,,,114241.6604,953.6691471,0.998843931,53.89558404,Continent,0
Ghurid,Geacron 1200,1200,Gur,10.126,14,13,1,23524214.16,953.6691471,0.52447815,0,Continent,1
Ghur,GADM 1st Order: Ghur,1500,Gur,10.126,,,,46359.73424,953.6691471,0.998035363,53.89558404,Continent,0
Khiva,Geacron 1600,1000,Khwarizm,10.141,1,0,1,133379.5454,399.1495256,0.770189003,0,Continent,0
Khiva,Geacron 1600,1100,Khwarizm,10.141,,,,141892.3502,399.1495256,0.770189003,0,Continent,0
Khwarezm,Euratlas 1200,1200,Khwarizm,10.141,3,3,0,2399597.051,399.1495256,0.731647221,0,Continent,0
Khiva,Geacron 1600,1400,Khwarizm,10.141,,,,135907.2281,399.1495256,0.758139535,0,Continent,0
Khiva,Geacron 1600,1600,Khwarizm,10.141,,,,167900.4525,399.1495256,0.758139535,0,Continent,0
Khiva,Geacron 1700,1700,Khwarizm,10.141,1,1,0,87668.0616,399.1495256,0.720311486,0,Continent,0
Khiva,Geacron 1800,1800,Khwarizm,10.141,,,,187498.4278,399.1495256,0.760442879,0,Continent,0
Timur Empire,Euratlas 1400,1400,Samarqand,10.142,2,2,0,17073203.17,999.0473786,0.55898507,0,Continent,1
Timurid,Geacron 1500,1500,Samarqand,10.142,16,12,4,4851723.013,999.0473786,0.624552067,0,Continent,1
Buxoro,GADM 1st Order: Buxoro,1100,Bukhara,10.143,,,,46812.20034,777.4686165,0.632520325,0,Continent,0
Buxoro,GADM 1st Order: Buxoro,1200,Bukhara,10.143,2,2,0,50190.4136,777.4686165,0.632520325,0,Continent,0
Bukhara,Geacron 1600,1600,Bukhara,10.143,,,,1397869.208,777.4686165,0.727571476,0,Continent,0
Bukhara,Geacron 1700,1700,Bukhara,10.143,1,1,0,1480430.504,777.4686165,0.613992437,0,Continent,0
Bukhara,Geacron 1800,1800,Bukhara,10.143,,,,1067845.529,777.4686165,0.804727934,0,Continent,0
,,1700,Khuqand,10.153,,,,375206.5299,2546.711712,0.422043011,0,Continent,0
Kokand,Geacron 1800,1800,Khuqand,10.153,,,,1324257.489,2546.711712,0.26641967,0,Continent,0
Kara-Khanid,Geacron 1000,1000,Qarakhanids,10.172,2,2,0,1615478.68,1257.074184,0.588840399,0,Continent,0
,,1100,Qarakhanids,10.172,1,1,0,1565800.438,1443.295282,0.539818809,0,Continent,0
Kara-Khitan,Geacron 1200,1200,Qara Khytai,10.1722,3,3,0,1122085.933,1273.435072,0.50748314,0,Continent,0
Zunghar,Geacron 1700,1700,Dsungaria,10.174,1,1,0,1320774.76,1526.986019,0.400037781,0,Continent,0
,,1800,Dsungaria,10.174,,,,100896.8617,1526.986019,0.548780488,0,Continent,0
,,1000,Guzz,10.1763,,,,3626.539558,64.48559036,0.855978261,0,Continent,0
,,1100,Guzz,10.1763,,,,3705.376995,64.48559036,0.855978261,0,Continent,0
White Horde,Geacron 1300,1300,Aq Ordu,10.1766,,,,811111.315,288.4621361,0.839585239,0,Continent,0
