polity_name,truhart_id,dynasty,dynasty_id,ruler,duration,start_year,end_year,deposed,previous_duration,military_slave_corps,dynastic_order,parliament,son,father_to_son,IACW,core,core_latitude,core_longitude,core_region,state_hist,GRID_ID_250k,GRID_ID_500k,GRID_ID_1000k
Egypt (Fatimid),8.113,Fatimids,97,Al-Zahir,15,1021,1036,0,0,1,7,0,1,1,1,"Cairo, Egypt",30.06263,31.24967,Middle_East,41,K-25,H-18,F-13
Egypt (Fatimid),8.113,Fatimids,97,Al-Mustansir,58,1036,1094,0,15,1,8,0,1,1,1,"Cairo, Egypt",30.06263,31.24967,Middle_East,41,K-25,H-18,F-13
Egypt (Fatimid),8.113,Fatimids,97,Al-Musta'li ,7,1094,1101,0,58,1,9,0,1,1,1,"Cairo, Egypt",30.06263,31.24967,Middle_East,41,K-25,H-18,F-13
Egypt (Fatimid),8.113,Fatimids,97,Al-Amir,29,1101,1130,1,7,1,10,0,1,1,1,"Cairo, Egypt",30.06263,31.24967,Middle_East,42,K-25,H-18,F-13
Egypt (Fatimid),8.113,Fatimids,97,Al-Hafiz,17,1132,1149,0,29,1,11,0,0,1,1,"Cairo, Egypt",30.06263,31.24967,Middle_East,42,K-25,H-18,F-13
Egypt (Fatimid),8.113,Fatimids,97,Al-Zahir,5,1149,1154,1,17,1,12,0,1,1,1,"Cairo, Egypt",30.06263,31.24967,Middle_East,42,K-25,H-18,F-13
Egypt (Fatimid),8.113,Fatimids,97,Al-Fa'iz,6,1154,1160,0,5,1,13,0,1,1,1,"Cairo, Egypt",30.06263,31.24967,Middle_East,42,K-25,H-18,F-13
Egypt (Fatimid),8.113,Fatimids,97,Al-Adid,11,1160,1171,0,6,1,14,0,0,1,1,"Cairo, Egypt",30.06263,31.24967,Middle_East,42,K-25,H-18,F-13
Egypt (Ayyubid),8.114,Ayyubids,33,Saladin,18,1175,1193,0,0,1,1,0,0,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,42,K-25,H-18,F-13
Egypt (Ayyubid),8.114,Ayyubids,33,Al-Aziz Uthman,5,1193,1198,0,18,1,2,0,1,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,42,K-25,H-18,F-13
Egypt (Ayyubid),8.114,Ayyubids,33,Al-Mansur,2,1198,1200,1,5,1,3,0,1,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,42,K-25,H-18,F-13
Egypt (Ayyubid),8.114,Ayyubids,33,Al-Adil Abu Bakr I,18,1200,1218,0,2,1,4,0,0,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,43,K-25,H-18,F-13
Egypt (Ayyubid),8.114,Ayyubids,33,Al-Kamil Muhammad II,20,1218,1238,0,18,1,5,0,1,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,43,K-25,H-18,F-13
Egypt (Ayyubid),8.114,Ayyubids,33,Al-Adil Abu Bakr II,2,1238,1240,1,20,1,6,0,1,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,43,K-25,H-18,F-13
Egypt (Ayyubid),8.114,Ayyubids,33,Al-Salih Ayyub,9,1240,1249,0,2,1,7,0,0,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,43,K-25,H-18,F-13
Egypt (Ayyubid),8.114,Ayyubids,33,Al-Mu'azzam Turanshah,1,1249,1250,1,9,1,8,0,1,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,43,K-25,H-18,F-13
Egypt (Ayyubid),8.114,Ayyubids,33,Shajar al-Durr,0,1250,1250,1,1,1,9,0,0,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,43,K-25,H-18,F-13
Egypt (Ayyubid),8.114,Ayyubids,33,Al-Ashraf Musa,4,1250,1254,1,0,1,10,0,0,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,43,K-25,H-18,F-13
Egypt (Mamluk),8.115,Bahris,197,Al-Mu'izz Aybak,7,1250,1257,1,0,1,1,0,0,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,43,K-25,H-18,F-13
Egypt (Mamluk),8.115,Bahris,197,Al-Mansur Ali I,2,1257,1259,1,7,1,2,0,1,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,43,K-25,H-18,F-13
Egypt (Mamluk),8.115,Bahris,197,Al-Muzaffar Qutuz,1,1259,1260,1,0,1,1,0,0,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,43,K-25,H-18,F-13
Egypt (Mamluk),8.115,Bahris,197,Al-Zahir Baybars I,17,1260,1277,0,0,1,1,0,0,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,43,K-25,H-18,F-13
Egypt (Mamluk),8.115,Bahris,197,Al-Sa'id Baraka,2,1277,1279,1,17,1,2,0,1,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,43,K-25,H-18,F-13
Egypt (Mamluk),8.115,Bahris,197,Al-Adil Salamish,0,1279,1279,1,2,1,3,0,0,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,43,K-25,H-18,F-13
Egypt (Mamluk),8.115,Bahris,197,Al-Mansur Qalaun,11,1279,1290,0,0,1,1,0,0,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,43,K-25,H-18,F-13
Egypt (Mamluk),8.115,Bahris,197,Al-Ashraf Khalil,3,1290,1293,1,11,1,2,0,1,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,43,K-25,H-18,F-13
Egypt (Mamluk),8.115,Bahris,197,Al-Nasir Muhammad I,1,1293,1294,1,3,1,3,0,0,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,43,K-25,H-18,F-13
Egypt (Mamluk),8.115,Bahris,197,Al-Adil Kitbugha,2,1294,1296,0,1,1,4,0,0,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,43,K-25,H-18,F-13
Egypt (Mamluk),8.115,Bahris,197,Al-Mansur Lajin,3,1296,1299,1,2,1,5,0,0,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,43,K-25,H-18,F-13
Egypt (Mamluk),8.115,Bahris,197,Al-Nasir Muhammad I,10,1299,1309,1,3,1,6,0,0,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,43,K-25,H-18,F-13
Egypt (Mamluk),8.115,Bahris,197,Al-Muzaffar Baybars II,1,1309,1310,1,10,1,7,0,0,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,44,K-25,H-18,F-13
Egypt (Mamluk),8.115,Bahris,197,Al-Nasir Muhammad I,31,1310,1341,0,1,1,8,0,0,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,44,K-25,H-18,F-13
Egypt (Mamluk),8.115,Bahris,197,Al-Mansur Abu Bakr,0,1341,1341,1,31,1,9,0,0,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,44,K-25,H-18,F-13
Egypt (Mamluk),8.115,Bahris,197,Al-Ashraf Kujuk,1,1341,1342,1,0,1,10,0,0,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,44,K-25,H-18,F-13
Egypt (Mamluk),8.115,Bahris,197,Al-Nasir Ahmad ,0,1342,1342,1,1,1,11,0,0,0,2,"Cairo, Egypt",30.06263,31.24967,Middle_East,44,K-25,H-18,F-13
