"vnr";"maat";"st_maat"
"1";"@";"Arroba"
"2";"[] Favn";"Kubikfavn"
"3";"[] Favne";"Kubikfavn"
"4";"1/1";
"5";"1/1 Ahm";"Ahm"
"6";"1/1 Ahm.";"Ahm"
"7";"1/1 Ahme";"Ahm"
"8";"1/1 Ahmer";"Ahm"
"9";"1/1 Al.";"Alen"
"10";"1/1 Ank.";"Anker"
"11";"1/1 Anker";"Anker"
"12";"1/1 Ankere";"Anker"
"13";"1/1 Bahler";"Balle"
"14";"1/1 Bdtr.";"Bundner"
"15";"1/1 Bohler";"Botte"
"16";"1/1 Bohter";"Botte"
"17";"1/1 Bolher";"Botte"
"18";"1/1 Boot";"Botte"
"19";"1/1 Booter";"Botte"
"20";"1/1 Bot.";"Botte"
"21";"1/1 Both";"Botte"
"22";"1/1 Both.";"Botte"
"23";"1/1 Bother";"Botte"
"24";"1/1 Bother og piber";"Botte"
"25";"1/1 Bother og piber";"Pibe"
"26";"1/1 Botl.";"Buteljer"
"27";"1/1 Botter";"Botte"
"28";"1/1 Bout.";"Buteljer"
"29";"1/1 Bouteiller";"Buteljer"
"30";"1/1 Bouteilr.";"Buteljer"
"31";"1/1 Bouth.";"Buteljer"
"32";"1/1 Boutl.";"Buteljer"
"33";"1/1 Boutle";"Buteljer"
"34";"1/1 Boutle.";"Buteljer"
"35";"1/1 Boutler";"Buteljer"
"36";"1/1 Boutlr.";"Buteljer"
"37";"1/1 Boutt.";"Buteljer"
"38";"1/1 Bs.";"Bundner"
"39";"1/1 Bt.";"Buteljer"
"40";"1/1 Bther.";"Botte"
"41";"1/1 Btl.";"Buteljer"
"42";"1/1 Btlr.";"Buteljer"
"43";"1/1 Bundt.";"Bundner"
"44";"1/1 Bundter";"Bundner"
"45";"1/1 Butl.";"Buteljer"
"46";"1/1 Casser";"Casser"
"47";"1/1 Degger";"Dægge"
"48";"1/1 Dunk";"Dunk"
"49";"1/1 Dunke";"Dunk"
"50";"1/1 Dusin";"Dusin"
"51";"1/1 Fad";"Fad"
"52";"1/1 Fade";"Fad"
"53";"1/1 Fader";"Fad"
"54";"1/1 Fads";"Fad"
"55";"1/1 Favn.";"Favn"
"56";"1/1 Fjerdinger";"Fjerding"
"57";"1/1 Fjerdjnger";"Fjerding"
"58";"1/1 Fl.";"Flaske"
"59";"1/1 Flæsker";"Flaske"
"60";"1/1 Flask";"Flaske"
"61";"1/1 Flaske";"Flaske"
"62";"1/1 Flasker";"Flaske"
"63";"1/1 Flskr.";"Flaske"
"64";"1/1 Foust.";"Fustage"
"65";"1/1 Fude";"Fad"
"66";"1/1 Fuder";"Fad"
"67";"1/1 Fust.";"Fustage"
"68";"1/1 Hagger";"Lægger"
"69";"1/1 Kander";"Kande"
"70";"1/1 Kasse";"Casser"
"71";"1/1 Kasser";"Casser"
"72";"1/1 Kist";"Kiste"
"73";"1/1 Kist.";"Kiste"
"74";"1/1 Kiste";"Kiste"
"75";"1/1 Kister";"Kiste"
"76";"1/1 Kuintal";"Quintel"
"77";"1/1 Kurve";"Kurv"
"78";"1/1 Lægger";"Lægger"
"79";"1/1 Læst.";"Læst"
"80";"1/1 Læster";"Læst"
"81";"1/1 Leg.";"Lægger"
"82";"1/1 Leggen";"Lægger"
"83";"1/1 Legger";"Lægger"
"84";"1/1 Litres";"Liter"
"85";"1/1 Ltl.";"Liter"
"86";"1/1 Moyer";"Moyen"
"87";"1/1 Mud";"Mud"
"88";"1/1 Ottinger";"Otting"
"89";"1/1 Ox.";"Oksehovede"
"90";"1/1 Oxeh.";"Oksehovede"
"91";"1/1 Oxehed.";"Oksehovede"
"92";"1/1 Oxehovdr.";"Oksehovede"
"93";"1/1 Oxehoved";"Oksehovede"
"94";"1/1 Oxehoveder";"Oksehovede"
"95";"1/1 Oxehv.";"Oksehovede"
"96";"1/1 Oxehvd.";"Oksehovede"
"97";"1/1 Oxh.";"Oksehovede"
"98";"1/1 Oxhd.";"Oksehovede"
"99";"1/1 Oxhder.";"Oksehovede"
"100";"1/1 Oxhdr.";"Oksehovede"
"101";"1/1 Oxhed.";"Oksehovede"
"102";"1/1 Oxhfdr.";"Oksehovede"
"103";"1/1 Oxhovd.";"Oksehovede"
"104";"1/1 Oxhovde.";"Oksehovede"
