"titel","registernr","volg1","rol1","scan1","volg2","rol2","scan2"
"Diverse dokumenter indtil 1660 1660","258451","48202617","1","2","48203142","1","527"
"Diverse år, regnskab 1497 - Diverse år, regnskab 1541","258452","48203143","1","528","48203301","1","686"
"Diverse år, regnskab 1497 - Diverse år, regnskab 1541","258453","48203302","2","2","48203454","2","154"
"Regnskab 1542 - Regnskab 1548","258454","48203455","2","155","48203741","2","441"
"Indtægt og udgift (Jens Mogensen Rosenvinge) 1557","258455","48203742","2","442","48203929","2","629"
"Indtægt og udgift (Jens Mogensen Rosenvinge) 1557","258456","48203930","3","2","48204043","3","115"
"Indtægt 1558","258457","48204046","3","119","48204202","3","276"
"Indtægt og udgift (David Hansen) 1560","258458","48204205","3","277","48204464","3","537"
"Indtægt og udgift (Jens Mogensen) 1562","258459","48204465","3","538","48204597","3","670"
"Indtægt og udgift (Jens Mogensen) 1562","258460","48204598","4","2","48204911","4","315"
"Indtægt og udgift (Jens Mogensen) 1563","258461","48204912","4","316","48205400","4","804"
"Indtægt og udgift (David Hansen) 1563","258462","48205401","5","2","48205896","5","497"
"Indtægt og udgift (David Hansen) 1564","258463","48205897","6","2","48206291","6","396"
"Indtægt og udgift (David Hansen) 1565","258464","48206292","6","397","48206709","6","814"
"Indtægt og udgift (David Hansen) 1566","258465","48206710","7","2","48207173","7","465"
"Indtægt og udgift (David Hansen) 1566","258466","48207174","8","2","48207198","7","26"
"Indtægt og udgift (David Hansen) 1567","258467","48207199","8","27","48207636","8","464"
"Lastepenge. Indtægt og udgift (David Hansen) 1567","258468","48207637","8","465","48207800","8","628"
"Indtægt og udgift. (Fred. Leyel) 1568","258469","48207801","9","2","48208205","9","406"
"Indtægt og udgift (David Hansen) 1568","258470","48208206","9","407","48208405","9","606"
"Indtægt og udgift (David Hansen) 1568","258471","48208406","10","2","48208697","10","293"
"Lastepenge. Indtægt og udgift (Fred. Leyel) 1568","258472","48208698","10","294","48208863","10","459"
"Lastepenge. Indtægt og udgift (David Hansen) 1568","258473","48208864","10","460","48209041","10","637"
"Indtægt og udgift (David Hansen) 1569","258474","48209042","11","2","48209403","11","363"
"Lastepenge. Indtægt og udgift (David Hansen) 1569","258475","48209404","11","364","48209504","11","464"
"Indtægt og udgift (David Hansen) 1574","258476","48209505","11","465","48209870","11","830"
"Indtægt og udgift (David Hansen) 1574","258477","48209871","12","2","48210043","12","174"
"Indtægt og udgift (Frederik Leyel) 1575","258479","48210116","12","175","48210603","12","662"
"Ekstrakt og bilag 1575","258478","48210044","12","664","48210115","12","735"
"Indtægt og udgift (Frederik Leyel) 1576","258480","48210604","13","2","48210886","13","284"
"Indtægt og udgift (Frederik Leyel) 1576","258481","48210887","14","2","48211334","14","449"
"Indtægt og udgift (David Hansen) 1577","258482","48211335","14","450","48211580","14","695"
"Indtægt og udgift (David Hansen) 1577","258483","48211581","15","2","48211998","15","419"
"Indtægt og udgift (Frederik Leyel) 1578","258484","48211999","15","420","48212266","15","687"
"Indtægt og udgift (Frederik Leyel) 1578","258485","48212267","16","2","48212767","16","502"
"Indtægt og udgift (David Hansen) 1579","258486","48212768","17","2","48213438","17","672"
"Indtægt og udgift (David Hansen) 1580","258487","48213439","18","2","48214057","18","620"
"Indtægt og udgift (Frederik Leyel) 1581","258488","48214058","19","2","48214683","19","627"
"Indtægt og udgift (Morten Jensen) 1582","20002","0","20","2","0","20","500"
"Indtægt og udgift (Morten Jensen) 1582","258489","48214684","21","2","48214914","21","232"
"Indtægt og udgift (Morten Jensen) 1583","258490","48214915","21","233","48215351","21","669"
"Indtægt og udgift (Morten Jensen) 1583","258491","48215352","22","2","48215693","22","343"
"Indtægt og udgift (Niels Henriksen) 1584","258492","48215694","22","344","48215968","22","620"
"Indtægt og udgift (Niels Henriksen) 1584","258493","48215969","23","2","48216501","23","534"
"Indtægt og udgift (Morten Jensen) 1585","258494","48216502","23","535","48216619","23","652"
"Indtægt og udgift (Morten Jensen) 1585","258495","48216620","24","2","48217249","24","631"
"Indtægt og udgift (Niels Henriksen) 1586","258496","48217250","25","2","48217909","25","661"
"Indtægt og udgift (Niels Henriksen) 1586","258497","48217910","26","2","48218084","26","176"
"Indtægt og udgift (Morten Jensen) 1587 1 1 - Indtægt og udgift (Morten Jensen) 1587 5 1","258498","48218085","26","177","48218297","26","389"
"Indtægt (Morten Jensen) 1587 5 1 - Indtægt (Morten Jensen) 1588 5 1","258499","48218298","26","390","48218580","26","672"
"Indtægt (Morten Jensen) 1587 5 1 - Indtægt (Morten Jensen) 1588 5 1","258500","48218581","27","2","48219001","27","422"
"Udgift (Morten Jensen) 1587 5 1 - Udgift (Morten Jensen) 1588 5 1","258502","48219060","27","423","48219230","27","593"
"Indtægt og udgift (Niels Henriksen) 1588 5 1 - Indtægt og udgift (Niels Henriksen) 1589 5 1","258501","48219002","27","594","48219058","27","650"
"Indtægt og udgift (Niels Henriksen) 1588 5 1 - Indtægt og udgift (Niels Henriksen) 1589 5 1","258503","48219231","28","2","48219816","28","587"
"Indtægt og udgift (Morten Jensen) 1589 5 1 - Indtægt og udgift (Morten Jensen) 1590 5 1","258504","48219817","29","1","48220476","29","660"
"Indtægt og udgift (Morten Jensen) 1590 5 1 - Indtægt og udgift (Morten Jensen) 1591 5 1","258505","48220477","30","2","48221102","30","627"
"Indtægt og udgift (Niels Henriksen) 1591 5 1 - Indtægt og udgift (Niels Henriksen) 1591 12 31","258506","48221103","31","2","48221643","31","542"
"Indtægt og udgift (Hans Meier) 1592","258507","48221644","31","543","48221756","31","655"
"Indtægt og udgift (Hans Meier) 1592","258508","48221757","32","1","48222273","32","517"
"Indtægt og udgift (Morten Jensen) 1593","258509","48222274","32","518","48222424","32","668"
"Indtægt og udgift (Morten Jensen) 1593","258510","48222425","33","2","48222945","33","522"
"Indtægt og udgift (Niels Henriksen) 1594","258511","48222946","33","523","48223085","33","662"
"Indtægt og udgift (Niels Henriksen) 1594","258512","48223086","34","2","48223665","34","581"
"Indtægt og udgift (Hans Meier) 1595","258513","48223666","35","2","48224447","35","783"
"Indtægt og udgift (Morten Jensen) 1596","258514","48224448","36","2","48225061","36","615"
"Indtægt og udgift (Morten Jensen) 1596","258515","48225062","37","2","48225170","37","110"
"Indtægt og udgift (Niels Henriksen) 1597","258516","48225171","37","111","48225730","37","670"
"Indtægt og udgift (Niels Henriksen) 1597","258517","48225731","38","2","48226016","38","287"
"Indtægt og udgift (Hans Meier) 1598","258518","48226017","38","288","48226393","38","664"
"Indtægt og udgift (Hans Meier) 1598","258519","48226394","39","2","48226826","39","434"
"Indtægt og udgift (Niels Henriksen) 1599","258520","48226827","39","435","48227044","39","652"
"Indtægt og udgift (Niels Henriksen) 1599","258521","48227045","40","2","48227641","40","598"
"Indtægt (Niels Henriksen) 1600","258522","48227642","41","2","48228300","41","660"
"Indtægt (Hans Meier) 1600","258523","48228301","42","2","48228966","42","667"
"Udgift (Morten Jensen) 1600","258524","48228967","43","2","48229044","43","79"
"Indtægt og udgift (Bernd Fake) 1601","258525","48229045","43","80","48229617","43","652"
"Indtægt og udgift (Bernd Fake) 1601","258526","48229618","44","2","48229844","44","228"
"Indtægt og udgift (David Lucht) 1602","258527","48229845","44","229","48230257","44","641"
"Indtægt og udgift (David Lucht) 1602","258528","48230258","45","2","48230573","45","317"
"Indtægt (Bernd Fake) 1603","258529","48230574","45","318","48230913","45","657"
"Indtægt (Bernd Fake) 1603","258530","48230914","46","2","48231133","46","221"
"Udgift (Bernd Fake) 1603","258532","48231463","46","222","48231561","46","320"
"Indtægt (David Lucht) 1604","258531","48231134","46","321","48231462","46","649"
"Indtægt (David Lucht) 1604","258533","48231562","47","2","48231709","47","149"
"Udgift (Bernd Fake) 1604","258535","48232111","47","150","48232210","47","249"
"Indtægt (Bernd Fake) 1605","258534","48231710","47","250","48232110","47","650"
"Indtægt (Bernd Fake) 1605","258536","48232211","48","2","48232314","48","105"
"Indtægt (Villum Mortensen) 1606","258537","48232315","48","106","48232843","48","634"
"Udgift (Villum Mortensen) 1606","258538","48232844","49","2","48232920","49","77"
"Indtægt (David Lucht) 1607","258539","48232921","49","78","48233496","49","653"
"Udgift (David Lucht) 1607","258540","48233497","50","2","48233585","50","90"
"Indtægt (Bernd Fake) 1608","258541","48233586","50","91","48234084","50","589"
"Indtægt (Bernd Fake) 1608","258542","48234085","51","2","48234259","51","176"
"Udgift (Bernd Fake) 1608","258544","48234684","51","177","48234776","51","269"
"Indtægt (Villum Mortensen) 1609","258543","48234260","51","270","48234683","51","693"
"Indtægt (Villum Mortensen) 1609","258545","48234777","52","2","48234881","52","106"
"Udgift (Villum Mortensen) 1609","258547","48235307","52","107","48235420","52","220"
"Indtægt (David Lucht) 1610","258546","48234882","52","221","48235306","52","645"
"Indtægt (David Lucht) 1610","258548","48235421","53","2","48235463","53","44"
"Udgift (David Lucht) 1610","258550","48235861","53","45","48235990","53","174"
"Indtægt (Bernd Fake) 1611","258549","48235464","53","175","48235860","53","571"
"Indtægt (Bernd Fake) 1611","258551","48235991","54","2","48236151","54","162"
"Udgift (Bernd Fake) 1611","258552","48236515","54","163","48236631","54","279"
"Indtægt (Villum Mortensen) 1612","258553","48236152","54","280","48236514","54","642"
"Indtægt (Villum Mortensen) 1612","258554","48236632","55","3","48236830","55","201"
"Udgift (Villum Mortensen) 1612","258556","48237129","55","202","48237270","55","343"
