"jaar","rolnr","snr","scnr_begin","scnr_eind","tekst","snaam","twee_op_een","sectienr"
"0","1","1","199","200",,"Told, Skriver og Tøndepenge","nee","101"
"1634","1","2","245","268",,"Ingen told, Adschillige nationer","nee","102"
"1497","1","3","531","532",,"Told, Rijnske win","nee","103"
"1497","1","4","532","542",,"Told","nee","104"
"1497","1","5","543","543",,"Told, Østersche steder","nee","105"
"1497","1","6","544","544",,"Ingen told, Østersche steder","nee","106"
"1503","1","7","546","547",,"Told, Rijnske win","nee","107"
"1503","1","8","548","556",,"Told, Lubsche","nee","108"
"1503","1","9","557","557",,"Told, Østersche steder","nee","109"
"1500","1","10","558","558",,"Ingen told, Østersche steder","nee","110"
"1528","1","11","561","562",,"Told, Rijnske win","nee","111"
"1528","1","12","562","574",,"Skibstold","nee","112"
"1528","1","13","575","576",,"Told, Østersche steder","nee","113"
"1528","1","14","576","577",,"Ingen told","nee","114"
"1536","1","15","581","584",,"Told, Rijnske win","nee","115"
"1536","1","16","585","594",,"Skibstold, Fremmede mand","nee","116"
"1536","1","17","596","598",,"Told, Østersche steder","nee","117"
"1536","1","18","599","600",,"Ingen told, Wendische steder","nee","118"
"1537","1","19","605","608",,"Told, Rijnske win","nee","119"
"1537","1","20","608","633",,"Skibstold, Fremmede mand","nee","120"
"1537","1","21","634","637",,"Skibstold, Wendische steder","nee","121"
"1537","1","22","638","638",,"Ingen told, Wendische steder og andre steder","nee","122"
"1538","1","23","648","651",,"Told, Rijnske win","nee","123"
"1538","1","24","652","672",,"Skibstold, Fremmede mand","nee","124"
"1538","1","25","673","676",,"Skibstold, Wendische steder","nee","125"
"1538","1","26","677","677",,"Ingen told, Wendische steder","nee","126"
"1539","2","1","4","8",,"Told, Rijnske win","nee","201"
"1539","2","2","9","42",,"Skibstold, Fremmede mand","nee","202"
"1539","2","3","43","51",,"Told, Wendeske steder","nee","203"
"1539","2","4","52","56",,"Ingen told","nee","204"
"1540","2","5","66","71",,"Told, Rijnske win","nee","205"
"1540","2","6","72","96",,"Skibstold, Fremmede mand","nee","206"
"1540","2","7","97","101",,"Skibstold, Wendeske steder","nee","207"
"1540","2","8","102","105",,"Ingen told","nee","208"
"1541","2","9","113","117",,"Told, Rijnske win","nee","209"
"1541","2","10","118","136",,"Skibstold, Fremmede mand","nee","210"
"1541","2","11","137","143",,"Told, Wendeske steder","nee","211"
"1541","2","12","143","146",,"Ingen told","nee","212"
"1542","2","13","157","161",,"Told, Rijnske win","nee","213"
"1542","2","14","162","180",,"Skibstold, Fremmede mand","nee","214"
"1542","2","15","180","187",,"Told, Wendeske steder","nee","215"
"1542","2","16","188","194",,"Ingen told","nee","216"
"1543","2","17","202","250",,"Skibstold, Fremmede mand","nee","217"
"1543","2","18","206","207",,"Skibstold, Wendeske steder","nee","218"
"1543","2","19","207","209",,"Ingen told","nee","219"
"1544","2","20","217","218",,"Told, Rijnske win","nee","220"
"1544","2","21","218","231",,"Skibstold, Fremmede mand","nee","221"
"1544","2","22","232","237",,"Skibstold, Wendeske steder","nee","222"
"1544","2","23","238","241",,"Ingen told","nee","223"
"1545","2","24","250","253",,"Told, Rijnske win","nee","224"
"1545","2","25","255","256",,"Kaaber lester, Fuckers","nee","225"
"1545","2","26","258","279",,"Skibstold, Fremmede mand","nee","226"
"1545","2","27","280","292",,"Skibstold, Wendeske steder","nee","227"
"1545","2","28","293","297",,"Ingen told","nee","228"
"1545","2","29","298","298",,"Kaaber told","nee","229"
"1546","2","30","309","311",,"Told, Rijnske win","nee","230"
"1546","2","31","312","337",,"Skibstold, Fremmede mand","nee","231"
"1546","2","32","338","350",,"Skibstold, Wendeske steder","nee","232"
"1546","2","33","350","354",,"Ingen told","nee","233"
"1547","2","34","366","371",,"Told, Rijnske win","nee","234"
"1547","2","35","372","398",,"Skibstold, Fremmede mand","nee","235"
"1547","2","36","398","408",,"Skibstold, Wendeske steder","nee","236"
"1548","2","37","409","413",,"Ingen told","nee","237"
"1548","2","38","423","424",,"Skibstold","nee","238"
"1548","2","39","425","425",,"Ingen told","nee","239"
"1557","2","40","446","450",,"30 Penge, Rijnsch win","nee","240"
"1557","2","41","451","451",,"30 Penge, Pøytow","nee","241"
"1557","2","42","452","453",,"30 Penge, Bastert","nee","242"
"1557","2","43","454","454",,"30 Penge, Win thint, Romenie","nee","243"
"1557","2","44","455","455",,"30 Penge, Peliet, Alloij","nee","244"
"1557","2","45","457","457",,"30 Penge, Winedicke","nee","245"
"1557","2","46","458","458",,"30 Penge, Brendewin","nee","246"
"1557","2","47","462","485",,"Skibstold, Nederlander etc. ","nee","247"
"1557","2","48","487","489",,"Skibstold, Østersche Anse steder","nee","248"
"1557","2","49","491","496",,"Skibstold, Wendiske steder","nee","249"
"1557","2","50","497","501",,"Skibstold, Embder","nee","250"
"1557","2","51","502","508",,"Skibstold, 100 Penge, Schotter","nee","251"
"1557","2","52","510","529",,"Skibstold, 100 Penge, Engelsche","nee","252"
"1557","2","53","531","535",,"Skriver og Tøndepenge, Wendische steder","nee","253"
"1557","2","54","537","541",,"30 Penge, Rijnsch win","nee","254"
"1557","2","55","542","544",,"30 Penge, Pøytow, Win tint, Romenie, Peliet","nee","255"
"1557","2","56","546","580",,"Skibstold, Nederlander etc. ","nee","256"
"1557","2","57","582","587",,"Skibstold, Dantsche og andre Østersche Anse steder","nee","257"
"1557","2","58","588","599",,"Skibstold, Wendische steder","nee","258"
"1557","2","59","600","603",,"Skibstold, Embder","nee","259"
