terr_name,terr_id
Aachen-Burtscheid,0A0001
Freie Reichsstadt Anweiler,0A0002
Grafen von Altendorf,0A0003
Alaholfinger,0A0004
Grafen von Aichelberg,0A0005
Adelberg,0A0006
Stift Aschaffenburg,0A0007
Mgrf. Alcibiades,0A0008
Pfalzkapelle Altötting,0A0009
Adelhardsbaar,0A0010
Alemannenreich,0A0012
Austrasien,0A0013
Bergherr Allnped,0A0014
Albgau,0A0015
Schenken zu Apolda,0A0016
Viztume zu Apolda,0A0017
Kloster St. Aegidii,0A0018
von Alvensleben,0A0019
Herren von Allerstedt,0A0020
Herren von Atterodt,0A0021
Freiherren von Arnstorff,0A0022
von Asleben,0A0023
von Arnstedt,0A0024
von Arneburg,0A0025
Altenburg (Burggrafen),0A0026
Albrecht von Preußen,1A0001
Baumbach-Bebra,0B0002
Blois,0B0003
Bartholomäusstift in Frankfurt,0B0004
Herren von Bicken/Picken,0B0005
Grafschaft Bornheimer Berg,0B0006
die von Bevensen,0B0007
Herren von Boxberg,0B0008
Boxberg,0B0009
Brandhoch,0B0010
Grafen von Berg-Schlelklingen,0B0011
von Buttler,0B0012
Kloster Baumburg,0B0013
Franziskanerkloster zu den Barfüßern (Augsburg),0B0014
Brandecker,0B0015
von Blankenwald,0B0016
von Breitenlandenberg,0B0017
von Brohl,0B0018
von Büren,0B0019
von Berbisdorf,0B0020
von Bergau,0B0021
(Herren von; Reichsstadt) Bräunlingen,0B0022
von Berncastel,0B0023
von Beust,0B0024
Bernh. Von Bach,0B0025
von Bleichen-Blankenheim,0B0026
von Bleichen,0B0027
Kloster Bürgel,0B0028
Ritterfamilie von Berlstedt,0B0029
Herren von Bockmast,0B0030
von Bertensleben,0B0031
von Bülow,0B0032
von Bodendik,0B0033
von Baisen,0B0034
Melchior von Bodenhausen,0B0035
von Brilon,0B0036
von Bismarck,0B0037
von Buch,0B0038
von Biberstein (Bieberstein),0B0039
Burgsdorf,0B0040
von Bredow,0B0041
Reichsfreiherren von Bömmelburg,0B0042
Edelherren vom Berge,0B0043
Freiherren von Bernsau,0B0044
Ritter von Bergel,0B0045
Bottlenberg-Kessel,0B0046
Herren von Bylandt,0B0047
Kloster Buch,0B0048
