city_id,commentary_primary,commentary_secondary,terr_id,sovereign_number,beginning_reign,end_reign,time_point,type_reign,type_change,city_status,hanse,foreign_rule,multiple_1,multiple_2,multiple_3,multiple_4,multiple_5,multiple_6,multiple_7,multiple_8,multiple_9,multiple_10,multiple_11,multiple_12,multiple_13,multiple_14,multiple_15,multiple_16,uncertainty_1,uncertainty_2,uncertainty_3,primary_reign,source,revisioncommentary
1001,1256 bis 1525 Dt. Orden,,D063,,1256,1525,,0,6,0,0,P121,,,,,,,,,,,,,,,,,0,1,0,1,"3,10",
1001,,Mediatstadt unter Lehensherrlichkeit der Familie von Kanitz vor 1491,0K0025,,,,1491,6,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,10,
1001,,1454 erklärt der Preußische Städtebund dem Deutschen Orden den Krieg und unterstellt sich dem polnischen König als Schutzherrn,0J0011,,1454,1466,,7,7,0,0,P121,,,,,,,,,,,,,,,,,0,0,0,0,tree,
1001,1525 Hzt. Preussen,,P156,,1525,1578,,0,8,0,0,P121,,,,,,,,,,,,,,,,,0,0,0,1,10,1525 das Deutschordensgebiet an preußische Nebenlinie Brandenburgs durch Säkularisation
1001,,Mediatstadt der Fam. Polentz-Progen 1540-1810,0P0019,,1540,1810,,6,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,10,
1001,Ansbach wird 1578 mit Preußen belehnt,,A162,,1578,1603,,0,0,0,0,P121,,,,,,,,,,,,,,,,,0,0,0,1,tree,
1001,1603 fällt Preußen an Brandenburg (märkische Hohenzollern) nach Aussterben der älteren Linie fränkischer Hohenzollern,,B3742,,1603,1918,,0,3,0,0,,,,,,,,,,,,,,,,,,0,0,0,1,tree,
1001,1918 verkündet Max von Baden die Abdankung des preußischen Königs und deutschen Kaisers Wilhelm II. Ausrufung der Weimarer Republik am selben Tag,,0W0077,,1918,,,0,7,0,0,,,,,,,,,,,,,,,,,,0,0,0,1,tree,
1002,Bis 1466 Bt. Ermland unter Schutzherrschaft des Deutschen Ordens ,,D063,,1243,1466,,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,1,tree,
1002,,1410 huldigt der Bischof dem König von Polen nach Schlacht bei Tannenberg,0J0011,,1410,1411,,7,7,0,0,P121,,,,,,,,,,,,,,,,,0,0,0,0,tree,
1002,,bis 1772 vom Pomesan. Domkapitel,E172,,1243,1772,,6,0,0,0,,,,,,,,,,,,,,,,,,1,0,0,0,10,Fürstbistum Ermland von seiner Gründung 1243 bis 1772
1002,,1454 erklärt der Preußische Städtebund dem Deutschen Orden den Krieg und unterstellt sich dem polnischen König als Schutzherrn,0J0011,,1454,1466,,7,7,0,0,P121,,,,,,,,,,,,,,,,,0,0,0,0,tree,
1002,1466 unter der Oberherrschaft des Kg. Polens nach dem Zweiten Frieden von Thorn,,0J0011,,1466,1572,,0,7,0,0,P121,,,,,,,,,,,,,,,,,0,0,0,1,tree,
1002,"1572 wird Henri III., König von Frankreich aus dem Hause Valois-Orléans zum König von Polen gekrönt, nachdem die polnischen Jagellonen aussterben. Damit Herrscher über das Fürstbistum Ermland",,0V0011,,1572,1575,,0,3,0,0,P121,,,,,,,,,,,,,,,,,0,0,0,1,tree,
1002,1575 Stephen Bathory durch Heirat mit Anna Jagello König von Polen. Damit Herrscher über das Fürstbistum Ermland,,0B0080,,1575,1586,,0,2,0,0,P121,,,,,,,,,,,,,,,,,0,0,0,1,tree,
1002,1586 die polnische Linie der Vasa (schwedisches Königsgeschlecht) Könige Polens. Damit Herrscher über das Fürstbistum Ermland,,0V0013,,1586,1669,,0,0,0,0,P121,,,,,,,,,,,,,,,,,0,0,0,1,tree,
1002,1669 Michal Korybut aus dem Geschlecht der Wisniowiecki König von Polen. Damit Herrscher über das Fürstbistum Ermland,,0W0067,,1669,1673,,0,0,0,0,P121,,,,,,,,,,,,,,,,,0,0,0,1,tree,
1002,1673 Jan Sobieski König von Polen. Damit Herrscher über das Fürstbistum Ermland,,0S0109,,1673,1696,,0,0,0,0,P121,,,,,,,,,,,,,,,,,0,0,0,1,tree,
1002,"1696 August I, Kurfürst von Sachsen zum König von Polen gewählt. Damit Herrscher über das Fürstbistum Ermland",,A060,,1696,1763,,0,0,0,0,P121,,,,,,,,,,,,,,,,,0,0,0,1,tree,
1002,1763 Stanislav August Poniatowski als letzter König Polens. Damit Herrscher über das Fürstbistum Ermland,,0P0041,,1763,1772,,0,0,0,0,P121,,,,,,,,,,,,,,,,,0,0,0,1,tree,
