city,legal_family
Aachen,A01
Angermünde,A02
Alfeld,A03
Arnsberg,A04
Attendorn,A05
Augsburg,A06
Amberg,A07
Ansbach,A08
Auerbach/Opf.,A09
Annaberg,A10
Arnstadt,A11
Altenburg,A12
Bergstadt,B01
Biberach,B02
Bodenwerder,B03
Bremen,B04
Braunschweig,B05
Brandenburg,B06
Bingen,B07
Bamberg,B08
Borgentreich,B09
Büren,B10
Breslau,B11
Boppard,B12
Brieg,B13
Bretten,B14
Berlin,B15
Bayreuth,B16
Bopfingen,B17
Celle,C01
Coburg,C02
Crossen,C03
Clingen,C04
Calbe (Saale),C05
Diessenhofen,D01
Dinslaken,D02
Dortmund,D03
Dresden/Dippoldiswalde,D04
Eßlingen,E01
Eversberg,E02
Eger,E03
Frankfurt a. M.,F01
Freiburg,F02
Franken,F03
Freystadt,F04
Friedberg,F05
Fulda,F06
Fläming,F07
Gelnhausen,G01
Göttingen,G02
Goslar,G03
Greifswald,G04
Güstrow,G05
Greußen,G06
Gotha und Eisenach,G07
Gera,G08
Görlitz,G09
Glatz,G10
Glogau,G11
Gräfenthal,G12
Hagenau,H01
Hamburg,H02
Hallenberg,H03
Hof,H04
Harzgerode,H06
Halberstadt,H07
Hildburghausen,H08
Halle,H09
Hall,H10
Haselünne,H11
Iserlohn,I01
Iglau,I02
Ingolstadt,I03
Innsbruck,I04
Köln,K01
Kalkar,K02
Kulm,K03
Kaiserslautern,K04
Kelheim,K05
Kassel,K06
Lindau,L01
Lippstadt,L02
Lüdenscheid,L03
Lübeck,L04
Lüneburg,L05
Lemgo,L06
Landshut,L07
Liegnitz,L08
Löwenberg,L09
Leiningen,L10
Leobschütz,L11
Landau,L12
Leipzig,L13
Lößnitz,L14
Mainz,M01
Münster,M02
Minden,M03
Memmingen,M04
Magdeburg,M05
Münden,M06
München,M07
Mengen,M08
Neuß,N01
Neustadt,N02
Neubrandenburg,N03
Nürnberg,N04
Nieheim,N05
Neumarkt,N06
Neisse,N07
Naumburg,N08
Nabburg,N09
Offenburg,O01
Osnabrück,O02
Oppenheim,O03
Olpe,O04
Oberndorf,O05
Pfullendorf,P01
Parchim,P02
Ravensburg,R01
Rostock,R02
Rüthen,R03
Regensburg,R04
Rothenburg o. d. Tauber,R05
Reichsstadt,R06
Rixdorf,R07
Rothenburg,R08
Stuttgart,S01
Schwäb. Gmünd,S02
Stadthagen,S03
Speyer,S04
Siegburg,S05
Stade,S06
Schüttdorf,S07
Schwerin,S08
Stettin,S09
Stendal,S10
Schleswig,S11
Soest,S12
Spalt,S13
Schweinfurt,S14
Sulzbach,S15
Sagan,S16
Schweidnitz,S17
Spandau,S18
Schneeberg,S19
Schmoelln,S20
Saalfeld,S21
Steinau,S22
Salzwedel,S23
Seehausen,S24
Strausberg,S25
Soldin,S26
Sittard,S27
Tübingen,T01
Tachau,T02
Themar,T03
Ulm,U01
Ueberlingen,U02
Villingen,V01
Vianden,V02
Wigboldrecht/ Weichbildrecht,W01
Wetzlar,W02
Wunsiedel,W03
Würzburg,W04
Weißenburg,W05
Wetterau,W06
Weißensee,W07
Weimar/Weida,W08
Wittstock,W09
Warburg,W10
Weiden,W11
Weinsberg,W12
Zutphen,Z01
Zähringen ,Z02
Zwickau,Z03
