city_id,comment,time_point,type_origin,type_category,legal_family,legal_family_own,unused,uncertainty,range,source
1001,Hochmeister Konrad von Jungingen erteilte 1400 magdeb.-kulm. Stadtrecht,1400,1,1,K03,,0,0,0,4
1001,Die am gegenüberliegende w. Alleufer auf dem Zickelberg gelegene Preußenburg wurde nach der Eroberung durch den dt. Ritterorden 1256 wahrscheinl. neu befestigt,1256,5,10,,,0,0,0,3
1002,Die Stadt (nova civitas) war schon 1348 vorhanden u. hatte schon vor 1354 ein Landgebiet zugeteilt erhalten. Gründungsurk. 1353 vom Pomesan. Domkapitel für einen Lokator ausgestellt. Kulm. Recht,1348,0,2,K03,,0,2,0,4
1002,Nova civitas (1348),1348,5,10,,,0,0,0,1
1003,A. wurde 1725 zur Stadt erklärt,1725,1,3,,,0,0,0,4
1003,Als Dorf zuerst 1539 erwähnt,1539,5,10,,,0,0,0,3
1004,"1571 Gründungsurk. der Stadt, ausgestellt von Hz. Albrecht Friedrich von Preußen. Kulm. Recht.",1571,1,0,K03,,0,0,0,4
1004,Ordensburg (1335),1335,5,10,,,0,0,0,3
1005,1725 von Kg. Friedrich Wilhelm I. zur Stadt erhoben.,1725,1,1,,,0,0,0,4
1005,"Kirch- u. Zinsdorf A. 1443 als ""Neudorf"" gegr.",1443,5,10,,,0,0,0,3
1006,"B. wurde 1628 durch Kurf. Georg Wilhelm auch rechtlich zur Stadt erhoben, indem die E. zu Bürgern erklärt wurden. Kulm. Recht.",1628,1,1,K03,,0,0,0,4
1006,"Die Burg, später Deutschordensburg (1357), lag auf dem Schloßberg ö. der Stadt",1357,5,10,,,0,0,0,3
1007,Stadtgründung 1332 durch Hochmeister Luther von Braunschweig nach kulm. Recht.,1332,1,0,K03,,0,0,0,4
1007,Ordensburg B. um 1241. Stadt erwähnt zuerst etwa 1326.,1241,5,10,,,0,0,1,3
1008,Bf. Heinrich III. Sorbom von Ermland verlieh der Stadt (civitas) 1395 Kulmer Recht.,1395,1,1,K03,,0,0,0,4
1008,Bfl. Burg B. vor 1389 als Wacht- und Wildhaus u. Sperre gegen die Litauer,1389,5,10,,,0,0,0,3
1009,"Bf. Heinrich II. Sorbom von Ermland schuf 1385 in der Mitte zwischen den Burgstädten Heilsberg u. Rößel, als zweitletzte unter den Stadtanlagen des Ermlandes, aus dem Dorfe Strowangen (66 Hufen) u. neuem Gebiet (34 Hufen) zu kulm. Recht eine ""civitas"".",1385,1,2,K03,,0,0,0,4
1009,"1346 als ""villa Schöneflys"" bezeichnet",1346,5,10,,,0,0,0,3
1010,Bf. Rudolf von Pomesanien stellte 1331 die älteste Handfeste (Gründungsurk.?) für die Stadt aus. Kulm. Recht.,1331,1,4,K03,,0,0,0,4
1010,Bf. Rudolf von Pomesanien stellte 1331 die älteste Handfeste (Gründungsurk.?) für die Stadt aus. Kulm. Recht.,1331,5,10,,,0,0,0,4
1011,Der erste ermländ. Bf. Anselm verlieh um 1254 Stadtrecht. Die wiederbegr. Altstadt erhielt ihre Handfeste nach lüb. Recht 1284 vom Bf. Heinrich Fleming aus Lübeck. Die Neustadt auf dem r. Flußufer ist um 1342 von Bf. Hermann von Prag ebenfalls nach lüb. Recht begr.,1254,1,1,,,0,0,1,4
1011,Der erste ermländ. Bf. Anselm verlieh um 1254 Stadtrecht. Die wiederbegr. Altstadt erhielt ihre Handfeste nach lüb. Recht 1284 vom Bf. Heinrich Fleming aus Lübeck. Die Neustadt auf dem r. Flußufer ist um 1342 von Bf. Hermann von Prag ebenfalls nach lüb. Recht begr.,1284,3,8,L04,,0,0,1,4
1011,Burg des Dt. Ordens um 1240 erbaut,1240,5,10,,,0,0,0,3
1012,"Chr. erhielt 1288 von dem Komtur Helwig von Goldbach seine Gründungsurk., bestätigt u. erweitert 1290 durch den Landmeister des Dt. Ordens Meinhard von Querfurt. Erneuerung der Handfeste 1451 durch Hochmeister Ludwig von Erlichshausen. Kulm. Stadtrecht.",1288,1,0,K03,,0,0,0,4
1012,Ordensburg etwa 1248 gegr.,1248,5,10,,,0,0,0,3
1013,"Fürst Gwantopolk (1220-66) verlieh der Marktsiedlung dt. Stadtrecht um 1224. Lüb. Recht sicher seit 1263, vielleicht magdeb. Recht seit 1295, kulm. Recht seit 1343.",1224,1,1,L04,,0,0,1,4
1013,"Fürst Gwantopolk (1220-66) verlieh der Marktsiedlung dt. Stadtrecht um 1224. Lüb. Recht sicher seit 1263, vielleicht magdeb. Recht seit 1295, kulm. Recht seit 1343.",1224,1,1,,,0,0,1,4
1013,"Fürst Gwantopolk (1220-66) verlieh der Marktsiedlung dt. Stadtrecht um 1224. Lüb. Recht sicher seit 1263, vielleicht magdeb. Recht seit 1295, kulm. Recht seit 1343.",1343,3,8,K03,,0,0,1,4
1013,Urbs Gyddanycz 997 Fischerdorf u. Burg,997,5,10,,,0,0,0,3
1014,"Als Stadt von Sieghard von Schwarzburg, Ordenskomtur von Christburg, 1305 gegr. (…) Kulm. Recht.",1305,1,0,K03,,0,0,0,4
1014,Ylavia (lat. 1317),1317,5,10,,,0,0,0,1
1015,D. soll erstmalig 1400 Stadtrecht erhalten haben. (…) Kulm. Recht.,1400,1,1,K03,,0,0,0,4
1015,1427 Stadt genannt,1427,1,3,,,0,0,0,4
1015,Dt. Ordensburg D. 1324 erwähnt,1324,5,10,,,0,0,1,3
1016,Die Stadt Dr. wurde neben dem Dorf Dr. angelegt u. erhielt 1405 vom Hochmeister Konrad von Jungingen kulm. Stadtrecht.,1405,1,1,K03,,0,0,0,4
1016,Vor 1397 Gründung eines Dorfes Dr.,1397,5,10,,,0,0,0,3
1017,E. wurde durch Mandat Friedrich Wilhelms I. 1772 zur Stadt erhoben.,1772,1,1,,,0,0,0,4
1017,E. begegnet als Bauerndorf zuerst 1539,1539,5,10,,,0,0,0,3
1018,"Der Dt. Ritterorden gründete 1237 durch den Landmeister von Preußen u. Livland, Hermann Balk, am r. Ufer des Elbings die Burg. Gleichzeitig kamen über See Lübecker Kaufleute u. legten n. davon die Stadt E. an. 1240 verschaffte sich die Bürgerschaft durch Vermittlung des Legaten Wilhelm von Modena eine nicht mehr erhaltene lat. Abschrift des lüb. Rechts, dessen älteste vorhandene dt. Fassung (zweischen 1263 u. 1267) in E. liegt.",1237,1,0,,,0,0,0,4
1018,"Der Dt. Ritterorden gründete 1237 durch den Landmeister von Preußen u. Livland, Hermann Balk, am r. Ufer des Elbings die Burg. Gleichzeitig kamen über See Lübecker Kaufleute u. legten n. davon die Stadt E. an. 1240 verschaffte sich die Bürgerschaft durch Vermittlung des Legaten Wilhelm von Modena eine nicht mehr erhaltene lat. Abschrift des lüb. Rechts, dessen älteste vorhandene dt. Fassung (zweischen 1263 u. 1267) in E. liegt.",1240,1,1,L04,,0,0,0,4
1018,Got. Ilfing = Elvigge (1242),1242,5,10,,,0,0,0,1
1019,Durch Erlaß des preuß. Staatsministeriums von 1922 wurde der Gem. die Annahme der Städteordnung gestattet.,1922,1,1,,,0,0,0,4
1019,Eittkau ist 1557 von dem älteren Wildnisdorfe Leponichken abgezweigt worden.,1557,5,10,,,0,0,0,3
1020,Bf. Siegfried übernahm 1305 nach dem Scheitern des ersten Lokationsversuches erneut die Stadtgründung. (…) Kulm. Recht.,1305,1,0,K03,,0,0,0,4
1020,"Heinrich von Strittberg, Bf. von Samland, baute neben dem ihm vom Orden für Lochstedt 1264 überwiesenen Dorf Schonewik bald darauf einen befestigten Bischofsitz",1264,5,10,,,0,0,1,3
1021,"bereits 1287 werden Ratsleute u. Bürger, 1304 ein Schultheiß genannt.",1287,0,4,,,0,0,0,4
1021,Daher erfolgte die Verleihung dener städt. Handfeste u. des lüb. Rechts durch dem ermländ. Landesherrn Bf. Eberhard von Reiße erst 1310,1310,1,1,L04,,0,0,0,4
1021,Zuerst erwähnt 1278,1278,5,10,,,0,0,0,3
1022,"Das Gebiet der späteren Stadt Fr. kam 1285 vom Pomesanischen Domkapitel an den Ritter Dietrich Stange, der das Recht erhielt, dort eine Stadt zu errichten; Die Stdt. Fr. wurde wohl noch von Dietrich Stange (gest. bald nach 1320) gegr. Älteste Handfeste 1331. Kulm. Recht.",1285,1,4,K03,,0,0,3,"3, 4"
1022,"Das Gebiet der späteren Stadt Fr. kam 1285 vom Pomesanischen Domkapitel an den Ritter Dietrich Stange, der das Recht erhielt, dort eine Stadt zu errichten.",1285,5,10,,,0,0,0,3
1023,Die Stadtgründung erfolgte wahrscheinl. 1335 durch Heinrich Dusler (…) Verleihung von 28 Hufen zu kulm. Rechte,1335,1,0,K03,,0,0,0,4
1023,Die Stadtgründung erfolgte wahrscheinl. 1335 durch Heinrich Dusler,1335,5,10,,,0,0,0,4
1024,Gründung der Stadt G. (1328) neben dem Dorf G. durch den Bf. von Pomesanien. (…) Kulm. Recht.,1328,1,0,K03,,0,0,0,4
1024,Neugründung der Stadt 1559 nach Wüstlegung durch Brand 1554,1554,2,,,,0,0,0,4
1024,Neugründung der Stadt 1559 nach Wüstlegung durch Brand 1554,1559,3,7,,,0,0,0,4
1024,Niederlassung auf altpreuß. Wohnstätte im Besitz des Ritters Dietrich Stange (vor 1285),1285,5,10,,,0,0,0,3
1025,G. wurde von Kg. Friedrich Wilhelm I. 1722 zur Stadt erhoben.,1722,1,1,,,0,0,0,4
1025,Dorf G. 1428 gegr.,1428,5,10,,,0,0,0,3
1026,Der Hochmeister Konrad von Jungingen erhob die Siedlung zur Stadt 1398. Kulm. Recht.,1398,1,1,K03,,0,0,0,4
1026,Ordensburg G. an Stelle einer Preußenburg (?) 1325 errichtet.,1325,5,10,,,0,0,0,3
1027,"Der Komtur zu Christburg, Hz. Luther von Braunschweig, legte 1326 die Stadt an.",1326,1,0,,,0,0,0,4
1027,Die Ilienburg 1316 Sitz eines Ordenspflegers kurz vor Besiedlung der Landschaft Gassen.,1316,5,10,,,0,0,0,3
1028,Die Stadt wurde 1566-70 auf dem Boden des Dorfes Schileiten u. einigem Übermaßland des Dorfes Järkischken errichtet. (…) Kulm. Recht.,1566,1,0,K03,,0,0,1,4
1028,Haus u. Hof G. eines hzl. Wildschützen (1551),1551,5,10,,,0,0,0,3
1029,Die Stadt G. wurde an der Stelle des Dorfes Pisserkeim durch eine KO. Kg. Friedrich Wilhelms I. 1724 gegr.,1724,1,0,,,0,0,0,4
1029,Das Kirchdorf Pisserkeim entstand aus einer Abzweigung des Dorfes Kulligkehmen (1554),1554,5,10,,,0,0,0,3
1030,Bf. Heinrich Wogenap verlieh 1329 der Stadt (civitas) ihre Handfeste zu kulm. Rechte.,1329,1,1,K03,,0,0,0,4
1030,G. 1325 zuerst erwähnt,1325,5,10,,,0,0,0,3
1031,Stadtgründung an der Stelle des alten Gw. vermutl. 1301. Kulm. Recht.,1301,1,0,K03,,0,0,0,4
1031,"1330 ""civitas""",1330,1,2,K03,,0,0,0,4
1031,"Erste dt. Siedlung 1 km w. der heutigen Stadt am w. Ufer der Bahnau, an der Stelle des soäteren Her Dorfes, bessere Schutzanlage gegen O, jedoch spätestens 1260 im Prussenaufstand zerstört.",1260,5,10,,,0,0,0,3
1032,"Der dritte Bf. von Ermland, Eberhard von Reiße (1301-26), residierte 1315-21 in H.), verlieh dem Ort neben der bfl. Burg 1308 kulm. Stadtrecht",1308,1,1,K03,,0,0,0,4
1032,1241 Ordensburg,1241,5,10,,,0,0,0,3
1033,Neben dem Dorf Marken gründete Hochmeister Winrich von Kinprode 1359 die Stadt H. Kulm. Recht mit Rechtszug nach Osterode.,1359,1,0,K03,,0,0,0,4
1033,Deutschordensburg um 1350 erb.,1350,5,10,,,0,0,1,3
1034,"Mkgr. Georg Friedrich von Anspach, regierender Hz. in Preußen, verlieh dem Marktflecken Inter 1583 das dt. Stadtrecht nach kulm. Recht",1583,1,1,K03,,0,0,0,4
1034,Interburg (1336),1336,5,10,,,0,0,0,3
1035,Gründung der Stadt durch Hochmeister Ludwig von Erlichhausen 1451 kam nicht zustande oder ging während des 13j. Krieges (1454-66) ein.,1454,1,0,,,0,0,1,4
1035,Gründung der Stadt durch Hochmeister Ludwig von Erlichhausen 1451 kam nicht zustande oder ging während des 13j. Krieges (1454-66) ein.,1451,2,,,,0,0,0,4
1035,"Zweite Stadtgründung 1645 durch Kurf. Friedrich Wilhelm, nachdem die E. schon 1595 um Stadtrecht gebeten hatte. Kulm. Recht",1645,3,8,K03,,0,0,0,4
1035,Deutschordenshaus J. um 1342,1342,5,10,,,0,0,1,3
1036,"Diese erhielt 1286 von Konrad von Thierberg, dem Landmeister von Preußen, kulm. Recht",1286,1,1,K03,,0,0,0,4
1036,"Daneben Marktsiedlung von Handwerkern u. Ackerbürgern, deren Kirche 1256 belegt ist.",1256,5,10,,,0,0,0,3
1037,Durch Priv. des Landmeisters Heinrich von Pltzke von 1315 wurde an der Stelle der nach 1260 erstörten Ansiedlung eine Stadt nach kulm. Recht gegr.,1315,1,0,K03,,0,0,0,4
1037,Um 1240 wurde die Feste vom Orden unter Führung Ottos von Braunschweig erobert,1240,5,10,,,0,0,1,3
1038,Stadtpriv. von Gr. Kurf. 1642 erteilt.,1642,1,4,,,0,0,0,4
1038,Bei der pruss. Burg u. Siedlung Labegowe errichtete der Dt. Orden 1258 eine Burg zur Sicherung Königsbergs gegen Angriffe der Litauer übers Haff.,1258,5,10,,,0,0,0,3
1039,Verleihung des kulm. Stadtrechts 1335,1335,1,1,K03,,0,0,0,4
1039,1440 civitas,1440,1,2,,,0,0,0,4
1039,Landstraß od. Landsberg (1335),1335,5,10,,,0,0,0,3
1040,Die Stadt L. wurde von dem Christburger Ordenskomtur Dietrich von Altenburg 1335 gegr. (…) Kulm. Recht mit Rechtszug nach Christburg,1335,1,0,K03,,0,0,0,4
1040,Ordenshaus L. errichtet vor 1335,1335,5,10,,,0,0,0,3
1041,1323 schon Stadt genannt,1323,0,3,,,0,2,0,4
1041,"Erneuerte Gründungshandfeste 1490 durch Hochmeister Hans von Tieffen, da die alte Handfeste verbrannt war. Kulm. Recht.",1323,2,,,,0,0,5,4
1041,"Erneuerte Gründungshandfeste 1490 durch Hochmeister Hans von Tieffen, da die alte Handfeste verbrannt war. Kulm. Recht.",1490,3,7,K03,,0,0,0,4
1041,Oein Ort (schon Stadt?) L. erstmalig 1314 erwähnt,1314,5,10,,,0,0,0,3
1042,Hz. Johann Sigismund von Preußen erteilte der neu zu erbauenden Stadt L. 1612 die Gründungsurk. u. kulm. Recht.,1612,1,1,K03,,0,0,0,4
1042,1340 Pflegeamt Leczen,1340,5,10,,,0,0,0,3
1043,Erhebung zur Stadt 1669.,1669,1,1,,,0,0,0,4
1043,Als Dorf 1325 von dem Dt. Orden vor seiner Burg auf der Luckseeinsel begr.,1325,5,10,,,0,0,0,3
1044,Der Landmeister von Preußen Conrad von Thyrberch gab der neben der Burg angelegten neuen Stadt (civitas) 1276 eine Handfeste zu kulm. Recht,1276,1,1,K03,,0,0,0,4
1044,Der Orden begann etwa 1274 den Bau einer Burg.,1274,5,10,,,0,0,0,3
1045,"Landmeister Hermann Balke gründete die Stadt 1233, kulm. Recht",1233,1,0,K03,,0,0,0,4
1045,"Landmeister Hermann Balke gründete die Stadt 1233, kulm. Recht",1233,5,10,,,0,0,0,4
1046,"Die Umwandlung der bereits 1282 erwähnten Siedlung Mehlsack in eine Stadt fand um 1295 unter Leitung des Lokators Dietrich von Lichtenfeld statt. (…) 1312 erhielt die schon einige Jahre bestehende Stadt (civitas) ihre abschließende Gründungsurk. von ihrer Landesherrschaft, dem ermländ. Domkapitel, kulm. Recht.",1295,1,1,K03,,0,0,2,4
1046,Die Umwandlung der bereits 1282 erwähnten Siedlung Mehlsack in eine Stadt fand um 1295 unter Leitung des Lokators Dietrich von Lichtenfeld statt.,1282,5,10,,,0,0,0,4
1047,"Die Stadt wurde von dem Elbinger Komtur Hermann von Ottingen zwischen 1320 u. 1331, wahrscheinl. 1327, gegr. (….) Kulm. Recht",1327,1,0,K03,,0,0,0,4
1047,Deutschordenshaus M. um 1280 gegr.,1280,5,10,,,0,0,1,3
1048,Bei dem Ordenshof wurde die Stadt M. von dem Elbinger Komtur Hermann von Öttingen zwischen 1320 u. 1329 gegr. (…) Kulm. Recht.,1320,1,0,K03,,0,0,2,4
1048,Ordenshof in M. vor 1414,1414,5,10,,,0,0,0,3
1049,Die Stadt N. wurde von Hochmeister Winrich von Kniprode 1381 gegr.(…) Kulm. Recht,1381,1,0,K03,,0,0,0,4
1049,Städtlein (1679) u. Stadt 2. Klasse (1723) genannt,1679,1,6,,,0,0,0,4
1049,Deutschordensburg N. erstmalig 1376 erwähnt,1376,5,10,,,0,0,0,3
1050,Stadtgründung angebl. 1329,1329,1,0,,,0,0,0,4
1050,Dorf vom Dt. Ritterorden wohl 1310 angelegt,1310,5,10,,,0,0,0,3
