"id","name","prefix","year1","year2","language","nodesid"
"1","Rode",null,null,null,null,"8166"
"2","Walesroth",null,null,null,null,"8166"
"3","Walesrode",null,null,null,null,"8166"
"4","Berlaer",null,null,null,null,"17645"
"5","Berlar",null,null,null,null,"17645"
"6","Barlaer",null,null,null,null,"17645"
"7","Osborch",null,null,null,null,"11911"
"8","Osburg",null,null,null,null,"11911"
"9","Ostburg",null,null,null,null,"11911"
"10","Ostburh",null,null,null,null,"11911"
"11","Oistburg",null,null,null,null,"11911"
"12","Oostburgh",null,null,null,null,"11911"
"13","Pumeruel",null,null,null,null,"17671"
"14","Edingen",null,null,null,null,"17598"
"15","Vilese",null,null,null,null,"17477"
"16","Vilsen",null,null,null,null,"17477"
"17","Sumaringahem",null,null,null,null,"8827"
"18","Sumeringehem",null,null,null,null,"8827"
"19","Somerengem",null,null,null,null,"8827"
"20","Somergem",null,null,null,null,"8827"
"21","Anderskov",null,null,null,null,"15048"
"22","Andworhscogh",null,null,null,null,"15048"
"23","Andwarthæscog",null,null,null,null,"15048"
"24","Sønder Kirkebye",null,null,null,null,"15015"
"25","Aastrup",null,null,null,null,"15025"
"26","Grøshauge",null,null,null,null,"15018"
"27","Grydeshaghen",null,null,null,null,"15018"
"28","Sandbye",null,null,null,null,"15017"
"29","Horrebye",null,null,null,null,"15013"
"30","Halstathe",null,null,null,null,"15016"
"31","Avnslev",null,null,null,null,"15232"
"32","Agnslef",null,null,null,null,"15232"
"33","Vindinge Roesilde",null,null,null,null,"15231"
"34","Winimgæ",null,null,null,null,"15231"
"35","Winingæ",null,null,null,null,"15231"
"36","Snakathorp",null,null,null,null,"15238"
"37","Twet",null,null,null,null,"15227"
"38","Thwet",null,null,null,null,"15227"
"39","Ræthingh",null,null,null,null,"15237"
"40","Rædhing",null,null,null,null,"15237"
"41","Æwældur",null,null,null,null,"15228"
"42","Æweldurp",null,null,null,null,"15228"
"43","Hildistada",null,null,null,null,"15020"
"44","Kogsbølle By",null,null,null,null,"15230"
"45","Koxbøle",null,null,null,null,"15230"
"46","Swinninge",null,null,null,null,"15229"
"47","Svinge",null,null,null,null,"15229"
"48","Hulsleuæ",null,null,null,null,"15019"
"49","Østre Wlsløff",null,null,null,null,"15019"
"50","Mæthelby",null,null,null,null,"15248"
"51","Meelbye",null,null,null,null,"15248"
"52","Horscamp",null,null,null,null,"17841"
"53","Orscamp",null,null,null,null,"17841"
"54","Oostcamp",null,null,null,null,"17841"
"55","Bethætoft",null,null,null,null,"15266"
"56","Bechætoft",null,null,null,null,"15266"
"57","Beuetof",null,null,null,null,"15266"
"58","Oueriastal",null,null,null,null,"15269"
"59","Vloesberg",null,null,null,null,"19206"
"60","Woltofte",null,null,null,null,"15249"
"61","Harby",null,null,null,null,"15251"
"62","Brægenmose",null,null,null,null,"15250"
"63","Store Snøde",null,null,null,null,"15273"
"64","Snøwith",null,null,null,null,"15273"
"65","Bregninge",null,null,null,null,"15272"
"66","Bregningh",null,null,null,null,"15272"
"67","Beldinge",null,null,null,null,"15241"
"68","Bellingh",null,null,null,null,"15241"
"69","Bellinge Bye",null,null,null,null,"15241"
"70","Alistæth",null,null,null,null,"15243"
"71","Sdr. Broby",null,null,null,null,"15240"
"72","Broby",null,null,null,null,"15240"
"73","Synderbroby",null,null,null,null,"15240"
"74","Sallingøe",null,null,null,null,"15242"
"75","Salinggæ",null,null,null,null,"15242"
"76","Bregninge",null,null,null,null,"15274"
"77","Bregning",null,null,null,null,"15274"
"78","Sundrus",null,null,null,null,"15253"
"79","Svndrøse",null,null,null,null,"15253"
"80","Hetby",null,null,null,null,"15244"
"81","Hethium",null,null,null,null,"15244"
"82","Toffte skouff",null,null,null,null,"15264"
"83","Wiby",null,null,null,null,"15256"
"84","Viibye",null,null,null,null,"15256"
"85","Stavrby",null,null,null,null,"15257"
"86","Stauærby",null,null,null,null,"15257"
"87","Burg/ Schloss Arnstein",null,null,null,null,"63"
"88","Yoorløsø",null,null,null,null,"15278"
"89","Vlwersleff",null,null,null,null,"15285"
"90","Wluersløff",null,null,null,null,"15285"
"91","Munkeboe",null,null,null,null,"15284"
"92","Munkæbothæ",null,null,null,null,"15284"
"93","Munkæboth",null,null,null,null,"15284"
"94","Riisinge",null,null,null,null,"15286"
"95","Riszeningen",null,null,null,null,"15286"
"96","Riszinnge",null,null,null,null,"15286"
"97","Heszinge",null,null,null,null,"15276"
"98","Vr. Hæsinge",null,null,null,null,"15277"
"99","Heszinge",null,null,null,null,"15277"
"100","Westre Hæsinge",null,null,null,null,"15277"
"101","Gerup",null,null,null,null,"15275"
"102","Gierup",null,null,null,null,"15275"
"103","Gerdorp",null,null,null,null,"15275"
"104","Grypsvad",null,null,null,null,"15279"
"105","Grydz Veed",null,null,null,null,"15279"
"106","Grydswad",null,null,null,null,"15279"
"107","Høyby",null,null,null,null,"15282"
"108","Odolvessen",null,null,null,null,"85"
"109","Odolfshusen",null,null,null,null,"85"
"110","Odolvishusin",null,null,null,null,"85"
"111","Odolpheshusen",null,null,null,null,"85"
"112","Odolfishusen",null,null,null,null,"85"
"113","Odelshusen",null,null,null,null,"85"
"114","Odelshausen",null,null,null,null,"85"
"115","Adels Hausen",null,null,null,null,"85"
"116","Adorp",null,null,null,null,"87"
"117","Athorpe",null,null,null,null,"87"
"118","Athorp",null,null,null,null,"87"
"119","Adorp",null,null,null,null,"87"
"120","Adorff",null,null,null,null,"87"
"121","Aggerschau",null,null,null,null,"97"
"122","Akerbeck",null,null,null,null,"97"
"123","Akærskogh",null,null,null,null,"97"
"124","in Alnon",null,null,null,null,"101"
"125","de Alnen",null,null,null,null,"101"
"126","Alnun",null,null,null,null,"101"
"127","Alen",null,null,null,null,"101"
"128","Limburg",null,null,null,null,"4453"
"129","Lympurg",null,null,null,null,"4453"
"130","Lintburk",null,null,null,null,"4453"
"131","Lintburc",null,null,null,null,"4453"
"132","Limburc",null,null,null,null,"4453"
"133","Lympurg",null,null,null,null,"4453"
"134","in Albagthon",null,null,null,null,"114"
"135","et terram Albucten",null,null,null,null,"114"
"136","Albatten",null,null,null,null,"114"
"137","Albuthen",null,null,null,null,"114"
"138","Albach",null,null,null,null,"114"
"139","Albrecteslo",null,null,null,null,"116"
"140","Alberteslon",null,null,null,null,"116"
"141","Albratteslo",null,null,null,null,"116"
"142","Albrahteslo",null,null,null,null,"116"
"143","Albrahtello",null,null,null,null,"116"
"144","Alebragsteslo",null,null,null,null,"116"
"145","Alberteslo",null,null,null,null,"116"
"146","Albersloe",null,null,null,null,"116"
"147","Allenburg",null,null,null,null,"127"
"148","Družba",null,null,null,null,"127"
"149","Druschba",null,null,null,null,"127"
"150","Дружба",null,null,null,null,"127"
"151","Allenburgk",null,null,null,null,"127"
"152","Allendorf",null,null,null,null,"129"
"153","Allenstein",null,null,null,null,"132"
"154","Olsten",null,null,null,null,"132"
"155","Allemsteyn",null,null,null,null,"132"
"156","Allensteyn Nowemiasto",null,null,null,null,"132"
"157","Olchsztyn",null,null,null,null,"132"
"158","Olsthin",null,null,null,null,"132"
"159","Olsztin",null,null,null,null,"132"
"160","Olsztyn",null,null,null,null,"132"
"161","Nova civitas",null,null,null,null,"132"
"162","Aluer",null,null,null,null,"133"
"163","aldernkusz",null,null,null,null,"136"
"164","aldrinchusz",null,null,null,null,"136"
"165","Aldrienhusen",null,null,null,null,"136"
"166","Alderckhausen",null,null,null,null,"136"
"167","Alpheim",null,null,null,null,"144"
"168","Alt Lobitz",null,null,null,null,"160"
"169","Mariagger",null,null,null,null,"9557"
"170","Marieager",null,null,null,null,"9557"
"171","Marieagher",null,null,null,null,"9557"
"172","Alt Thorn",null,null,null,null,"168"
"173","Alt Tramm",null,null,null,null,"169"
"174","Lichtenscheid",null,null,null,null,"173"
"175","Lichtenscheidt",null,null,null,null,"173"
"176","Lechtenscheit",null,null,null,null,"173"
"177","Lichtenschet",null,null,null,null,"173"
"178","Astenbergk",null,null,null,null,"173"
"179","Astenberg",null,null,null,null,"173"
"180","Ostenberg",null,null,null,null,"173"
"181","Alt-Astenberg",null,null,null,null,"173"
