"id","nodesid","language","pertainsto","description"
"22408","19818","deu","bridge","Eine Br&uuml;cke &uuml;ber die Trave am Holstentor ist 1216 erstmals erw&auml;hnt, war vielleicht um 1191 bereits vorhanden. Um 1550 erneuert mit vier B&ouml;gen und steilen Auffahrten. 1853/4 wurde eine neue Br&uuml;cke mit ebener erh&ouml;hter Fahrbahn errichtet, diese wurde 1934 verbreitert."
"22411","925","deu","toll","Conrad und Johanna von Krayk &uuml;bergaben 1531 der Stadt Brandeis den dortigen Zoll, &quot;welcher von altersher&quot; bestand, und die Verpflichtung, die Stra&szlig;en und Wege zu unterhalten. "
"22612","19960","fin","settlement","&lt;b&gt;Kievari:&lt;/b&gt; Vuonna 1543 Helsingan pit&auml;j&auml;ss&auml; oli 19 krouvia, joista kuusi kirkonkyl&auml;ss&auml; (Jacob Sigfridsson, Knut Hansson, Per Olsson, Knut J&ouml;nsson, Olof Rute and Michel Larsson). Sipoon ja Helsingin pit&auml;jien krouvit maksoivat vuonna 1543 oluenmyyntiveronsa luonnossa toimittamalla humalia Viipurin linnaan ja Porvoon kuninkaankartanoon. 1500-luvun puoliv&auml;liss&auml; Hindrich-niminen mies piti krouvia Helsingan kirkonkyl&auml;ss&auml;. 1620-luvulla kirkonkyl&auml;&auml;n perustettiin kestikievari, joka toimi vuosisatojen ajan. 1660-luvulla perustettiin toinen kievari Hakkilaan, joka oli Helsingan pit&auml;j&auml;n toinen perinteinen kievaripaikka. "
"22110","17645","nld","settlement","Vroegste vermelding in ca. 1155, in een kopie uit 1243."
"22111","17598","nld","city","Edingen werd in de 14e, mogelijk al in de 13e, eeuw versterkt."
"22113","17841","nld","settlement","Vroegste vermelding in 1089."
"13206","2097","nld","settlement","Vroegste vermelding in 1288, in een zestiende- of zeventiende-eeuwse kopie."
"22412","8280","deu","staple","Das Stapelrecht wurde 1337 bei der Neugr&uuml;ndung der Stadt verliehen und mehrmals best&auml;tigt. 1396 wurde verordnet, dass durch die Stadt gef&uuml;hrte Waren einen Tag und zwei N&auml;chte liegen bleiben m&uuml;ssten."
"22413","2060","deu","toll","Ein landesherrlicher Zoll in Gabel wird im Stadtrecht von 1466 erw&auml;hnt, zusammen mit einem Deichselpfennig, der durch die Stadt seit etwa hundert Jahren f&uuml;r die Unterhaltung des Pflasters erhoben wurde. Es ist anzunehmen, dass der Zoll mindestens seit 1361, als die Stra&szlig;e &uuml;ber Gabel zur offiziellen Stra&szlig;e zwischen Prag und Zittau erkl&auml;rt wurde, bestand."
"22414","8807","deu","toll","Der Zoll in Zittau geh&ouml;rte urspr&uuml;nglich dem K&ouml;nig, aber wurde 1310 Heinrich von Liepa erblich &uuml;berlassen. Teile des Zolls wurden mehrmals verpf&auml;ndet, bis sie in die H&auml;nde der Stadt gerieten, die sie 1357 an Kaiser Karl zur&uuml;ckgab. 1348 wurde zudem ein neuer Zoll von einem Heller f&uuml;r jedes Pferd zur Unterhaltung der Stra&szlig;en und Br&uuml;cken eingerichtet. Die Stadt pachtete diesen Zoll zusammen mit dem neuen Geleitsgeld an der Burg Karlsfried 1364 vom Kaiser und erneurte den Vertrag in den Folgejahren."
