"description","id"
"A navigable connection via the Regge between Diepenheim and Goor was dug in 1610, as can be seen on a map of Nicolaas van Geelkercken.","428"
"According to Bruns and Weczerka, the route between Helsa, Hessisch Lichtenau and Walburg went through the valley near the village Eschenstruth, but G&ouml;rich chose a more direct route over the hills between Helsa and Walburg, with a branch to Lichtenau. We have chosen to include both options here.","429"
"Because of limitations imposed by the Dutch Republic on the international shipping on the Scheldt and Zwin rivers from the late 16th century onwards, the cities of Bruges and Gendt sought to improve their waterways with the Flemish sea ports by building and extending canals. As part of this project, the canal between Bruges and Plassendale was dug in 1618 in the river bed of the Ieperleet.","430"
"Because of limitations imposed by the Dutch Republic on the international shipping on the Scheldt and Zwin rivers from the late 16th century onwards, the cities of Bruges and Gendt sought to improve their waterways with the Flemish sea ports by building and extending canals. As part of this project, the canal between Plassendale and Ostend, an extension of the canal Bruges-Plassendale, was dug in 1622-1623.","431"
"The canal Plassendale-Nieuwpoort-Dunkirk was dug in 1638-1641, partially in the old river bed of the Ieperleet, as an extension of the canal Gent-Bruges-Ostend. Its construction was part of a project to improve the connections between Gent, Bruges and the Flemish sea ports.","432"
"The use of the road between Schleiz and Gera for long-distance traffic between Nuremberg and Leipzig was forbidden by the Ernestinians in the 1470s, who declared that such traffic should use the road via Plauen and Oelsnitz. However, records of the safe conduct of Gro&szlig;ebersdorf from 1485-1536 still show a considerable amount of traffic.","62"
"In 1470 the route from Hof to Schleiz was forbidden for trade to Leipzig by the Ernestinian Electors and only trade to Erfurt was allowed. Traffic to Leipzig had to travel via Plauen or Oelsnitz. Apparently, this decree had to be enforced several times; in 1551 people are still reminded of the proper road.","156"
"The road between Środa Śląska/Neumarkt and Legnica/Liegnitz via Rogoźnik/Rosenig is marked as &quot;small road&quot; (&#039;kleine Strasse&#039;) on Reymann&#039;s topographischer Special-Karte von Central Europa from the 19th century. The main road ran parallel to the North.","433"
"The course of the river Meuse shifted 2km to the East into the former bed of the Geul river around 1410.","439"
"In the 17th century, travellers on the road between Jablonn&eacute; v Podje&scaron;těd&iacute;/Gabel and Běl&aacute; pod Bezdězem/Wei&szlig;wasser started taking a shortcut via Str&aacute;ž pod Ralskem/Wartenberg and Sv&eacute;bořice/Schwabitz, thereby circumventing the toll station in Mimoň/Niemes. The toll station was therefore moved to Sv&eacute;bořice, where it is first attested in 1659.","434"
"A road between G&ouml;rlitz and Prague via Fr&yacute;dlant/Friedland, Liberec/Reichenberg and Mlad&aacute; Boleslav/Jungbunzlau had been established in the 14th century, but circumvented the staple of Zittau and many toll stations in Bohemia. The use of this road for merchants coming from Poland or Saxony was forbidden by king John in 1341 and repeatedly by his successors in 1351 and 1383, but it remained in use. King Ladislav finally permitted the use of the road in 1454, with a toll station in Liberec, but it was forbidden again in 1516 and 1544, although this did not prevent further use of the route.","435"
"The winter way from P&auml;lk&auml;ne and Kangasala area to Laukaa dates to the Middle Ages. There are different views on the location of the road in L&auml;ngelm&auml;vesi, but it is likely that it followed the eastern shore of the watercourse. The summer road that from P&auml;lk&auml;ne to L&auml;nkipohja east of Lake L&auml;ngelm&auml;vesi is mentioned in 1696. The summer road north of L&auml;ngelm&auml;vesi from Kangasala to Orivesi dates to the Middle Ages, while the summer road north of L&auml;ngelm&auml;vesi to L&auml;nkipohja probably dates to the 1600s. There have been several local winter roads in the area. The Governor-General of Finland, Per Brahe, travelled on the Laukaa winter way and its extension from P&auml;lk&auml;ne to Marttila in March 1640, when he stayed overnight on 20 March in Kierkilla (K&auml;rkk&auml;l&auml;, K&auml;rk&auml;l&auml;nsalo) in Rautalammi, on 21 March in Pernasaari parish constable&rsquo;s farm, on 22 in Muurame village, on 23 March J&auml;ms&auml; vicarage, on 24 March in L&auml;ngelm&auml;ki village, on 25 March in P&auml;lk&auml;ne parish constable&rsquo;s farm, on 27. March in Kankaanp&auml;&auml; parish constable&rsquo;s farm in Urjala, and on 28 March in Marttila. The route marked in Viabundus is indicative, not geographically precise, and has been extended to the Kuusvesi inn (1600) in Laukaa, from where winter roads and portage trails branched off in different directions.","484"
"The proper trade route between G&ouml;rlitz and Prague went via the staple of Zittau and Wei&szlig;wasser/Běl&aacute; pod Bezdězem. Other roads, especially those via Fr&yacute;dlant, were forbidden by King John in 1341, and by his successors repeatedly afterwards. Although King Ladislav permitted the use of the road via Fr&yacute;dlant in 1454, the road via Zittau was declared to be the official route again in 1516 and 1544.","436"
"Already in the late Middle Ages, winter ways following different river valleys led from the lower reaches of the River Aura in the direction of Satakunta and H&auml;me. One of the oldest seems to have been the winter way from R&auml;nt&auml;m&auml;ki in Maaria along the Paattistenjoki river to lake Savonj&auml;rvi and further to Yl&auml;ne, from where it continued across lake Pyh&auml;j&auml;rvi to S&auml;kyl&auml;, K&ouml;yli&ouml;nkartano and from the northern end of lake K&ouml;yli&ouml;nj&auml;rvi to Ylistaro in Kokem&auml;ki. The northern end of the road from Ylistaro to K&ouml;yli&ouml;nkartano appears both in the legend of St. Henry written at the end of the 13th century and in The Death-lay of Bishop Henrik from the 1600s. Before S&auml;kyl&auml;, a branch of the winter way led from the Pyh&auml;j&auml;rvi route to Kauttua in Eura mentioned in 1591 as the &quot;old winter Way&quot;. The route marked in Viabundus is indicative, not geographically precise.","493"
"Main course of the via regia probably since the 13th century.","48"
"The road between G&ouml;rlitz and Ossig was plastered with stone by the council of G&ouml;rlitz in 1514.","437"
"Circumvention route of the safe conduct in Erfurt and Gotha, as proclaimed in a report to the safe conduct in Guthmannshausen from 1515. In the &quot;Acta die Landstra&szlig;e von Wei&szlig;ensee nach Erfurt und die Sachsenburgische Stra&szlig;e betr. von 1522 - 72&quot; (M. st. A. Hep. A 24 b Tit. XXIV, Nr 11.) from 1522 the road is already declared deserted, due to the forced passage (&#039;Stra&szlig;enzwang&#039;) via Erfurt.","68"
"In southwestern Finland a variety of historical sources refer to certain medieval and early modern roads as Huovintie -roads. Active in the contemporary administration a huovi (sw. hofman) was a mounted and armed steward in the service of bailiffs, district judges, bishops or other dignitaries acting as messengers, forming the convoys and occasionally sojourning in the areas controlled by his master. Even if the name unequivocally refers to roads organised to the common maintenance of taxpaying peasants in between the late 14th century and the end of the 16th , some of the known Huovintie -roads are part of an older road network connecting main areas of permanent late Iron age (11th to 12th centuries) settlement in Western Finland. The most famous of them is the Huovintie, which led from Ulvila in the mouth of the Kokem&auml;enjoki River via Torttila, K&ouml;yli&ouml; and Virttaa to Orip&auml;&auml;, and which may have continued as far as Koski and Somero traversing the southwestern Finland diagonally from northwest to southeast. The section of the road following the eastern shore of Lake K&ouml;yli&ouml;nj&auml;rvi may together with the winter way from Turku area to Virttaa, K&ouml;yli&ouml; and Kokem&auml;ki have been in use already in the 12th and 13th centuries. The earliest end point of the road before the funding of Ulvila town in the 1340s and 1350s was Lammaistenkoski. The section between Kokem&auml;ki and K&ouml;yli&ouml; is mentioned as a public road in 1422. The oldest section of the summer road from Virttaa to K&ouml;yli&ouml; Kankaanp&auml;&auml; ran along the ridge and was moved closer to the lake Pyh&auml;j&auml;rvi sometime in the late 15th century. The road is included in 1556 list of Duke John&#039;s lodging places and in Jakob Teitt&#039;s 1555&ndash;1556 list of the most important common roads in Finland","440"
"Already in the Middle Ages, a road led from H&auml;me Castle via Hattula and P&auml;lk&auml;ne to Tammerkoski and further via Karkku and Tyrv&auml;&auml; to Huittinen, which in Jakob Teitt&#039;s list of the most important common roads in Finland from 1555&ndash;56 was presented in the administrative plans of the time as part of the road from Olavinlinna Castle via Hauho, Pirkkala and Huittinen to Loimaa and Turku. The section of the road from Huittinen to H&auml;me Castle is also included in the contemporaneous list of Duke John&#039;s lodgings in 1556. Several 15th century sources mention the road as a common road in the context of bridges and boundary markers alongside it. In places, such as in Tampere Messukyl&auml;, the road&#039;s alignment can be traced back to the 12th and 13th centuries, and the road may have been a relatively uniform horse track connecting different areas of settlement in Tavastland and Satakunta already at that time. The various sections of the route were organised as a common road maintained by land-owning peasants in a period from the late 14th century to the early 15th century. From Lauttakyl&auml; in Huittinen the road branched off via Kokem&auml;ki to Lammainen in Harjavalta and further to Ulvila and Pori, and along the Loimijoki River to Vampula and from there to Virttaa, Alastaro and Orip&auml;&auml;. The road had parallel winter ways in Hauho-P&auml;lk&auml;ne-Kangasala region, and a winter way leading from Pirkkala via Nokia to Sastamala Church and from there to Lammainen, mentioned as early as 1414.","463"
"The winter way from Keiky&auml; via Puurij&auml;rvi and Harhinoja to Kokem&auml;ki and further to Lammainen was part of the route along which the Bishop of Turku had his tax parcels transported in 1414 from Sastamala church to Lammainen. The winter way that led north of Lake Puurij&auml;rvi through Harhinoja to Kokem&auml;ki is also mentioned in 1551. The road was in use in March 1809, when a detachment of the Swedish army retreated along it in minus 40 degrees Celsius from Keiky&auml; to Kokem&auml;ki and Ulvila. The march from Keiky&auml; to Kokem&auml;ki took 9 hours in the night. The route marked in Viabundus is indicative, not geographically precise.","494"
"The exact date of the organisation of the maintenance of the summer road from P&auml;lk&auml;ne and Kangasala area to Laukaa is not known. There are different views on the location of the road in L&auml;ngelm&auml;vesi, but it is likely that it followed the eastern shore of the watercourse. The summer road that from P&auml;lk&auml;ne to L&auml;nkipohja east of Lake L&auml;ngelm&auml;vesi is mentioned in 1696. The summer road north of L&auml;ngelm&auml;vesi from Kangasala to Orivesi dates to the Middle Ages, while the summer road north of L&auml;ngelm&auml;vesi to L&auml;nkipohja probably dates to the 17th century. An important older winter way connected P&auml;lk&auml;ne and Kangasala regions to L&auml;nkipohja, J&auml;ms&auml; and Laukaa areas since the Middle Ages.","485"
"The road from Viborg to the medieval Swedish-Novgorodian border via Kivennapa and to the mouth of the Neva River and Ingria was since the peace of N&ouml;teborg in 1323 a strategic road, along which a roadside fortress was built in Kivennapa in the 15th century. The redoubts at Muola and Kivennapa were strengthened in connection with the war of 1555&ndash;57 and are mentioned in 1556. The road may have been organised into a common road maintained by land-owning peasants as far as Kivennapa in the latter half of the 15th century at the latest, fiom Kivennapa to Joutselk&auml; after 1595 and to the old border possibly after 1617 and to Nyenskants in the 1640s when the road was improved in the &Auml;yr&auml;p&auml;&auml; judicial district. The bridge over Sistarjoki at the old border was in 1625 maintained by Kivennapa parish.","481"
"Already in the late Middle Ages a road branched off from Viborg-Kivennapa road at Sudenoja, from where it run on the Southern side of Vuoksi River to Kiviniemi and further to K&auml;kisalmi (Sw. Kexholm, rus. Korela, Priozersk). The road was organised into a common road at the latest in the early 17th century and it is included in a route guide from the early 18th century. The right of the burghers of Viborg to the traditional market on the Saijanjoki River in Kiviniemi on the border between Sweden and Russia was confirmed in 1606.","479"
"A route from Mei&szlig;en to Prague via Rumburk, Waltersdorf, Kratzau/Chrastava, Reichenberg/Liberec, Turnau/Turnov and Jič&iacute;n came into being in the 15th century, circumventing the staple of Zittau. The use of this road was forbidden by King Wenceslas in 1418. King Mathias used part of this road between Gabel/Jablonn&eacute; v Podje&scaron;těd&iacute; and Bautzen to circumvent plague-infested Zittau in 1611, whereupon it became known as the King&#039;s road (&quot;K&ouml;nigstra&szlig;e&quot;).","438"
"The winter way and portage trail from Savo to S&auml;r&auml;isniemi and Oulu are included in the report by the castellan of Olavinlinna Ture Pedersson (Bielke) to King Gustav Vasa in 1556. The actual route started from Joroinen, from where it was 20 Swedish miles (about 120 km) to Tavinsalmi and further 17 miles (about 100 km) to Ouluntaipale, from where the route took to Lake Ouluj&auml;rvi (Vuolijoki) and further to S&auml;r&auml;isniemi. From there, the winter way and the portage trail continued along the river to Oulu. Alongside the norther part of the route the burghers of Oulu were in 1625 granted the right to hold a winter fair in Saaresm&auml;ki village. The southern end of the route may have branched off from Joroinen to both Juva (1556) and Rantasalmi, and further to Olavinlinna. The route marked in Viabundus is indicative, not geographically precise.","490"
