"id","descriptionid","language","description"
"734","428","nld","Een bevaarbare verbinding via de Regge tussen Diepenheim en Goor werd in 1610 gegraven, zoals op een kaart van Nicolaas van Geelkercken te zien is."
"735","429","deu","Nach Bruns und Weczerka verlief die Stra&szlig;e zwischen Helsa, Hessisch Lichtenau und Walburg wie die sp&auml;tere Chaussee durch den Tal an das Dorf Eschenstruth vorbei, aber G&ouml;rich w&auml;hlt eine direkte Route &uuml;ber den Berg zwischen Helsa und Walburg, mit einem Abzweig nach Lichtenau. Hier sind beide M&ouml;glichkeiten aufgenommen worden."
"736","430","nld","Vanwege de sluiting van de Schelde door de Nederlandse Republiek vanaf het eind van de 16e eeuw, probeerden Gent en Brugge hun scheepvaartverbindingen met de Vlaamse zeehavens te verbeteren door de aanleg en verbreding van kanalen. Het kanaal tussen Brugge en Plassendale werd in 1618 gegraven in de oude rivierbedding van de Ieperleet."
"737","431","nld","Vanwege de sluiting van de Schelde door de Nederlandse Republiek vanaf het eind van de 16e eeuw, probeerden Gent en Brugge hun scheepvaartverbindingen met de Vlaamse zeehavens te verbeteren door de aanleg en verbreding van kanalen. Het kanaal tussen Plassendale en Oostende werd in 1622-1623 gegraven als voortzetting van het kanaal Brugge-Plassendale. "
"738","432","nld","Het kanaal Plassendale-Nieuwpoort-Duinkerke werd in 1638-1641 gegraven, gedeeltelijk in de oude bedding van de Ieperleet. Het stond in Plassendale in verbinding met het kanaal (Gent-)Brugge-Oostende, en maakte deel uit van pogingen om de verbindingen tussen Gent, Brugge en de Vlaamse zeehavens te verbeteren."
"427","62","deu","Die Benutzung der Stra&szlig;e zwischen Schleiz und Gera wurde 1470 von den Ernestinern f&uuml;r den Fernverkehr zwischen Leipzig und N&uuml;rnberg verboten, der die Route &uuml;ber Plauen und Oelsnitz nehmen sollte. Allerdings kann davon ausgegangen werden, dass die Stra&szlig;e auch weiterhin genutzt wurde, wie zum Beispiel die Geleitseinnahmen von Gro&szlig;ebersdorf an dieser Stra&szlig;e zeigen."
"513","156","deu","1470 wurde die Strecke von Hof auf Schleiz von den Ernestiner Kurf&uuml;rsten f&uuml;r den Handel nach Leipzig verboten und nur der Erfurter Handel durfte weiterhin auf dieser Strecke fahren. Der Verkehr auf Leipzig hatte &uuml;ber Plauen oder Oelsnitz zu fahren. Anscheinend ben&ouml;tigte dieses Gebot der mehrfachten Erinnerung; noch 1551 wird auf die rechte Stra&szlig;e verwiesen."
"739","433","deu","Die Stra&szlig;e zwischen Środa Śląska/Neumarkt und Legnica/Liegnitz &uuml;ber Rogoźnik/Rosenig ist auf Reymanns topographischer Special-Karte von Central Europa aus dem 19. Jahrhundert als &quot;kleine Strasse&quot; gekennzeichnet. Die Hauptstra&szlig;e verlief n&ouml;rdlich davon."
"740","434","deu","Im 17. Jh. fingen Reisenden zwischen Gabel und Wei&szlig;wasser an, eine k&uuml;rzere Route &uuml;ber Wartenberg und Schwabitz zu benutzen, die die Zollstelle in Niemes umging. Diese wurde deswegen nach Schwabitz verlegt, wo ein Zollhaus erstmals 1659 belegt ist."
"741","435","dan","Eine Stra&szlig;e zwischen G&ouml;rlitz und Prague &uuml;ber Fr&yacute;dlant/Friedland, Liberec/Reichenberg und Mlad&aacute; Boleslav/Jungbunzlau hatte sich im 14. Jh. entwickelt, dabei den Stapel von Zittau und die viele b&ouml;hmische Zollstellen umgehend. Die Benutzung dieser Stra&szlig;e f&uuml;r Kaufleute aus Sachsen und Polen wurde deswegen durch K&ouml;nig Johann 1341 verboten, und wiederholt 1351 und 1383, aber sie wurde weiterhin benutzt. K&ouml;nig Ladislaus gab 1454 die Stra&szlig;e dem Durchgangsverkehr frei, mit einer Zollstelle in Reichenberg. 1516 und 1544 wurden die alten Verbote der Stra&szlig;e wiederholt, aber die Stra&szlig;e wurde weiterhin durch den Fernverkehr benutzt."
