"id","nodesid","name","continuationfromid","fromyear","toyear","description","category","commodities","date","fixedday","fixedmonth","numberofdays","weekday","beforeafter","datedependson","startmax","startmin","endmax","endmin"
"2","1828",null,null,"1346",null,"Inventio Crucis (for wool and cloth)","local","wool; cloth","fixed","3","5",null,null,null,null,null,"-1",null,"1"
"3","1828",null,null,"1422",null,"Sacramentum","local",null,"movable",null,null,null,null,null,"Sacramentum",null,"-1",null,"1"
"4","1828",null,null,"1422",null,"Ascension Day","local",null,"movable",null,null,null,null,null,"Ascension",null,"-1",null,"1"
"5","1828",null,null,"1465",null,"Sunday and Monday after the birth of St Mary. Mentioned by the town chronicler in 1465 to have been the new fair among the three fairs in the town","local",null,"movable","8","9",null,"Sunday","after","Fixed date",null,"0",null,"1"
"1966","2685","",null,"1544",null,"Three-day fair on St Hubert","local","","fixed","3","11",null,"","","",null,null,null,"2"
"260","973","",null,"965","1381","Autumn fair, which took place on seven days before St Willehad (8 November), according to a 1035 privilege. In 1288 it took place on the Birth of the Virgin Mary. The 1339 privilege for retail traders (&#039;kr&auml;mer&#039;) mentions the eight days after the Nativity of the Virgin Mary.","regional","","fixed","8","9",null,"","","",null,null,null,"7"
"266","973",null,"260","1382","1637","In 1382, the Autumn fair is mentioned to take place in the week after St Dionysius.","regional",null,"fixed","9","10",null,null,null,null,null,null,null,"7"
"1042","5460","",null,"1491",null,"Horse and cattle fair, which is held once a year on the square known as Pferdemarkt (horse market) since 1491. It was cancelled at a later date and revived in 1715.","local","horses; cattle","fixed",null,null,null,"","","",null,null,null,null
"42","7714","",null,"1447",null,"The horse fair started eight days before St James. The market right started four days earlier. ","local","horses","fixed","17","7",null,"","","","-4",null,null,null
"1886","4181","",null,"1549",null,"A (horse) fair on Sunday after St John&#039;s day was privileged in 1549.","local","horses","movable","24","6",null,"Sunday","after","Fixed date",null,null,null,null
"1880","2024","",null,"1625",null,"A second cattle market on St Bartholomew was privileged in 1625. In the first hour of the market, only the duke was allowed to trade, in the second hour only Friedland citizens. Afterwards the market was free.","local","cattle","fixed","24","8",null,"","","",null,null,null,null
"1881","6947","",null,"1364",null,"Fair on Sunday before St Simon and Jude","local","","movable","28","10",null,"Sunday","before","Fixed date",null,null,null,null
"1901","18126","Oulu fair",null,"1642",null,"Saloinen (Raahe) St Olaf&rsquo;s (29 July) fair was relocated to Oulu in 1642 and set to St Laurentius (10 August), which may also have been an older date of fairs in Oulu rivermouth. The fair was confirmed to last eight days in 1650 and lengthened to twelve days in 1652.","regional","","fixed","10","8",null,"","","",null,null,null,"7"
"1887","19621","Winter fair",null,"1638","1708","Tammerkoski winter fair was ordained to be held for three days on St. Matthew (24 February) in 1638, but transferred to Epiphany (6 January) in 1639. The fair was relocated in 1708 to Harju and in 1750 to Pispala.","local","","fixed","6","1",null,"","","",null,null,null,"3"
"1888","19621","Tammerkoski autumn fair",null,"1638","1708","Tammerkoski autumn fair was ordained to be held for three days on St Bartholomew (24 August). The fair was relocated in 1708 to Harju and in 1750 to Pispala.","local","","fixed","24","8",null,"","","",null,null,null,"3"
"834","6505","",null,"1400","1497","The fair on St Walpurga was one of the original three fairs in R&ouml;mhild, which date was moved in 1498. It is unknown how old it was.","local","","fixed","1","5",null,"","","",null,null,null,null
"1891","19662","",null,"1498",null,"Carnival fair, granted in 1498","local","","movable",null,null,null,"Tuesday","before","Ash",null,null,null,null
"1889","19624","Harju winter fair",null,"1602","1638","Burghers of Pori were granted the rights of annual Candlemas winter fair in Harju in 1602 and again in 1604. The actual status of the fair since the 1610s is unknown. The fair was relocated in 1638 to Tammerkoski village.","local","","fixed","2","2",null,"","","",null,null,null,null
"1196","12499","","1194","1540",null,"Fair on Friday before St Martin.","local","","movable","11","11",null,"Friday","before","Fixed date",null,null,null,null
"1194","12499","",null,"1409","1539","Fair on Sunday after Corpus Christi","local","","movable",null,null,null,"Sunday","after","Sacramentum",null,null,null,null
"638","8752","Brüdermarkt/Brüderablass",null,"1252",null,"Fair connected to the church dedication festival on Ascension Day. Only locals are allowed to trade at first, in 1532 trade by non-locals is allowed.","local","","movable",null,null,null,"","","Ascension",null,null,null,null
"1894","19664","Kemi Haminasaari",null,"1420","1821","In 1622 the annual winter and summer fair in Kemi was set to New Year&rsquo;s day (1 January) and St John the Baptist (24 June). In 1660 annual fairs were held in summer starting from the feast of apostle Peter (29 June) for 14 days.","interregional","","fixed","24","6",null,"","","",null,null,null,"14"
"1895","19664","Kemi Haminasaari winter fair",null,"1622","1650","In 1622 the annual winter and summer fair in Kemi was set to New Year&rsquo;s day (1 January) and St John the Baptist (24 June). In 1660 annual fairs were held in summer starting from the feast of apostle Peter (29 June) for 14 days.","regional","","fixed","1","1",null,"","","",null,null,null,null
