"id","fairid","language","description"
"2","1","deu","St. Simeon & St. Judas"
"4","2","deu","Inventio Crucis (for wool and cloth)"
"6","3","deu","Sacramentum"
"8","4","deu","Himmelfahrt"
"10","5","deu","Sunday and Monday after the birth of St Mary. Mentioned by the town chronicler in 1465 to have been the new fair among the three fairs in the town"
"16","8","deu","St. Victor"
"18","9","deu","St. Walburgis"
"20","10","deu","Erster Montag in September"
"102","78","deu","Margarethenmarkt"
"1968","1885","deu","Jahrmarkt am Sonnabend vor Johannistag, 1575 neu gegr&uuml;ndet."
"1962","260","deu","Herbstjahrmarkt, der im Privileg vom Jahre 1035 auf den sieben Tagen vor St. Willehad (8.11.) festgelegt wurde, 1288 auf Mari&auml; Geburt. Das Privileg f&uuml;r die Kramer von 1339 erw&auml;hnt die acht Tage ab Mari&auml; Geburt."
"1292","1042","deu","Pferde- und Viehmarkt, der einmal im Jahr auf dem Platz gehalten wird, der seit 1491 Pferdemarkt genannt wird. Er wurde zu einem sp&auml;teren Zeitpunkt eingestellt und wird erst 1715 wieder aufgenommen."
"1524","42","nld","De paardenmarkt begon acht dagen voor St. Jacobus. Vier dagen eerder begon het marktrecht."
"1963","1880","deu","Ein zweiter Viehmarkt zu Bartholom&auml;i wurde 1625 verliehen. In der ersten Marktstunde durfte nur der Herzog handeln, in der zweiten dann die Friedl&auml;nder. Ab der dritten Stunde war der Handel frei."
"116","92","deu","Jahrmarkt am Petri Stuhlfeier"
"118","94","deu","Jahrmarkt am Sonntag Cantate"
"1964","1881","deu","Jahrmarkt am Sonntag vor St. Simon-Judas"
"1969","1886","deu","1549 wurde ein Pferde- und Jahrmarkt am Sonntag nach Johannistag priviligiert."
"124","100","deu","1306 ist von einem Gallusmarkt die Rede, für den bis 1345 Geleitsbriefe vorliegen. Einer Amtsrechnung von 1613 zufolge fand dieser am Sonntag und Montag nach St. Dionysius statt."
"126","102","deu","Markt am Sonntag vor Mitfasten"
"128","104","deu","Markt am Sonntag vor Simon und Judas"
"1970","1887","fin","Tammerkosken talvimarkkinat m&auml;&auml;r&auml;ttiin 1638 pidett&auml;v&auml;ksi Matinp&auml;iv&auml;n&auml; 24.2., mutta siirrettiin 1639 loppiaiseen 6.1. Markkinapaikka siirrettiin takaisin Harjuun 1708 ja sielt&auml; 1750 Pispalaan."
"1971","1888","fin","Tammerkosken syysmarkkinat m&auml;&auml;r&auml;ttiin pidett&auml;v&auml;ksi P&auml;rttylinp&auml;iv&auml;n&auml; 24.8. Markkina-aika oli kolme p&auml;iv&auml;&auml;. Markkinapaikka siirrettiin takaisin Harjuun 1708 ja sielt&auml; 1750 Pispalaan."
"1972","1889","fin","Porin porvarit saivat oiikeuden kynttil&auml;np&auml;iv&auml;n markkinoihin Pirkkalan Harjussa 1602. Siirrettiin Tammerkoskelle 1638."
"1973","1196","deu","Jahrmarkt am Freitag vor Martini."
"1978","834","deu","Der Jahrmarkt am Walpurgistag war einer der urspr&uuml;nglichen drei Jahrm&auml;rkte in R&ouml;mhild, der 1498 verlegt wurde. Sein Alter ist unbekannt."
"148","126","deu","Neujahrsmarkt"
"150","128","deu","Walpurgismarkt"
"152","130","deu","Ägidiusmarkt"
"154","132","deu","Jahrmarkt am Kirchweihtag der Paulinerkirche (Sonntag Jubilate)"
"156","134","deu","Jahrmarkt am Kirchweihtag der Franziskanerkirche (Sonntag Rogate)."
"1982","1891","deu","Jahrmarkt am Fasnacht, 1498 verliehen."
"160","138","deu","Der Neujahrsmarkt, vorher schon auf einen Termin vor Weihnachten verschoben, wurde im Marktprivileg Kaiser Maximilians 1505 auf den Tag nach Mariä Empfängnis verlegt, die Dauer auf 10 Tage erweitert."
"162","140","deu","Der Walpurgismarkt wurde im Marktprivileg Kaiser Maximilians 1505 auf Freitag nach Himmelfahrt verlegt, die Dauer auf 10 Tage erweitert."
"1985","1894","fin","Haminasaaren vuotuismarkkinoiden p&auml;iviksi vahvistettiin 1622 uudenvuoden (1.1.) j&auml;lkeinen aika ja Juhannusaika (24.6.). Vuonna 1660 markkinat alkoivat Pietarinp&auml;iv&auml;st&auml; (29.6.) ja jatkuivat 14 p&auml;iv&auml;n ajan."
"1987","1896","fin","Oulun porvarit saivat 1625 oikeudet kaksiin vuosimarkkinoihin Kajaneborgin (Paltamon) pit&auml;j&auml;ss&auml;. Niist&auml; juhannusmarkkinat pidettiin (24.6.) Paltaniemess&auml; ja siirrettiin 1650 Kajaaniin."
"168","146","deu","Der Jahrmarkt nach Himmelfahrt, vorher Walpurgismarkt, wurde 1521 in die zweite Woche nach Ostern verschoben, seine Dauer auf 6 Tage beschränkt."
"2028","1875","deu","Jahrmarkt am Mittwoch nach Trinitatis."
"1992","1901","fin","Saloisten Olavinp&auml;iv&auml;n (29.7.) markkinat siirrettiin 1642 Ouluun ja m&auml;&auml;r&auml;ttiin pidett&auml;viksi Laurentiuksen p&auml;iv&auml;n&auml; (10.8.), joka on voinut olla Oulun vanhin markkinap&auml;iv&auml;. Markkinat vahvistettiin 1650 kahdeksan p&auml;iv&auml;n mittaisiksi ja pidennettiin 1652 kahteentoista p&auml;iv&auml;&auml;n."
"1993","1902","fin","Saloisten vanhin satama- ja markkinapaikka sijaitsi Satamalahdessa ja sittemmin Satamakankaan Markkinaniemess&auml;, jonne markkinapaikka on voitu siirt&auml;&auml; 1420. Saloisten Olavin markkinat (29.7.) mainitaan 1616. Markkinat siirrettiin 1642 Ouluun, jossa ne piti pit&auml;&auml;  kahdeksan p&auml;iv&auml;n ajan Laurentiuksesta (10.8.) alkaen. Saloisissa saatiin kuitenkin pit&auml;&auml; maamarkkinat sopivana p&auml;iv&auml;n&auml;. "
"1994","1903","fin","Kokkolan vuotuismarkkinoiden ajankohdaksi vahvistettiin 1642 pyh&auml; Bartolomeus (24.8.), 1650 pyh&auml; Olavi (29.7.) ja 1652 j&auml;lleen Bartolomeus."
"1995","908","deu","Jahrmarkt am Bartholom&auml;ustag."
"1997","1904","fin","Peders&ouml;ren kirkolla pidetyt Olavin (29.7.) markkinat siirrettiin 1624 Uuteenkaarlepyyhyn, jossa ne rajattiin kolmen p&auml;iv&auml;n mittaisiksi."
"182","160","deu","Jahrmarkt am St. Vitus (falls an einem Sonntag: am nächsten Montag)"
"184","162","deu","Jahrmarkt am Donnerstag vor St. Gallus
"
"186","164","deu","1456 verkündete der Goslarer Rat, dass in Alfeld am Sonntag vor Allerheiligen ein Jahrmarkt abgehalten werden sollte."
"238","216","deu","Jahrmarkt am Sonntag vor Pfingsten, der in der Neustadt stattfand."
"2090","1996","nld","Achtdaagse jaarmarkt op St. Maria Magdalena-avond (21 juli)."
"2092","1998","nld","Jaarmarkt op St. Bavo, met een duur van ca. zes weken."
"200","178","deu","St. Jacobus"
"202","180","deu","St. Simon und Judas Thaddäus"
"208","186","deu","Mariä Geburt"
"328","308","deu","Viertägiger Pferdemarkt am Palmsonntag."
"1526","43","nld","De lakenjaarmarkt op St. Jacobusdag duurde drie dagen. Het marktrecht duurde een dag langer. Het is in een onbekend jaar verplaatst naar St. Petrus&#039; Stoel."
"1965","1882","deu","Jahrmarkt am Montag nach dem Sonntag Judica."
"1974","1194","deu","Jahrmarkt am Sonntag nach Fronleichnam."
"1979","838","deu","Jahrmarkt am Montag nach Letare."
"1983","1892","deu","Jahrmarkt am St. Peter und Paulstag, 1498 verliehen."
"1986","1895","fin","Haminasaaren vuotuismarkkinoiden p&auml;iviksi vahvistettiin 1622 uudenvuoden (1.1.) j&auml;lkeinen aika ja Juhannusaika (24.6.). Vuonna 1660 markkinat alkoivat Pietarinp&auml;iv&auml;st&auml; (29.6.) ja jatkuivat 14 p&auml;iv&auml;n ajan."
