"id","refshort","reflong","type"
"2","Bruns & Weczerka 1962","Bruns, Friedrich. Weczerka, Hugo. <cite>Hansische Handelsstraßen Bd. 1: Atlas</cite>. Köln/Graz, 1962.",null
"3931","Görich 1960","Görich, Willi, &#60;q&#62;Landstraßen 16.-18. Jahrhundert&#60;/q&#62;, in: &#60;cite&#62;Geschichtlicher Atlas von Hessen&#60;/cite&#62; (Frankfurt am Main, 1960), Karte 29a","secondary"
"3765","Debrabandere et al. 2022","Debrabandere, Frans; Devos, Magda; Kempeneers, Paul; Mennen, Victor; Ryckeboer, Hugo; Van Osta, Ward, &#60;cite&#62;De Vlaamse gemeentenamen: verklarend woordenboek. Tweede, grondig herziene en vermeerderde uitgave&#60;/cite&#62; (Leuven, 2022)","secondary"
"3914","Asaert 1993","Asaert, G., &#60;q&#62;Antwerpen en de zee&#60;/q&#62;, in: J. Van der Stock, &#60;cite&#62;Antwerpen verhaal van een metropool. 16de-17de eeuw&#60;/cite&#62; (Antwerpen 1993) 32-35","secondary"
"3915","DenkXWeb Hessen","Landesamt für Denkmalpflege Hessen, &#60;cite&#62;Kulturdenkmäler in Hessen - &#60;a href=&#34;https://denkxweb.denkmalpflege-hessen.de&#34;&#62;DenkXWeb&#60;/a&#62;&#60;/cite&#62;","secondary"
"3916","Brulez 1970","Brulez, W., &#60;q&#62;De economische kaart van de Nederlanden in de 16e eeuw volgens Guicciardini&#60;/q&#62;, in: &#60;cite&#62;Tijdschrift voor Geschiedenis&#60;/cite&#62; 83 (1970) 352-357 (with a separate map)","secondary"
"3917","ZA OA Zierikzee","Zeeuws Archief, Oud Archief Zierikzee","archive"
"3918","Gaemers 2010","Carin Gaemers, &#60;q&#62;De ziel van Gouda&#60;/q&#62;, &#60;cite&#62;Tidinge van die Goude&#60;/cite&#62; 28:4 (2010), 332-340","secondary"
"3919","Brummelhuis 2022","Benny Brummelhuis, &#60;q&#62;Waterlopen in het Diepenheimse Reggedal&#60;/q&#62;, &#60;cite&#62;Historische Vereniging Old Deep&#39;n&#60;/cite&#62; 3 (2022), 13-23","secondary"
"2913","Berkelbach 1937","Berkelbach van der Sprenkel, J.W. (ed.), &#60;cite&#62;Regesten van oorkonden betreffende de bisschoppen van Utrecht uit de jaren 1301-1340&#60;/cite&#62; (Utrecht 1937)","edition"
"48","Casemir 2003","Casemir, Kerstin, &#60;cite&#62;Niedersächsisches Ortsnamenbuch, Teil III: Die Ortsnamen des Landkreises Wolfenbüttel und der Stadt Salzgitter&#60;/cite&#62; (Bielefeld 2003).",null
"2035","Burgers 2010","Burgers,  J.W.J.  (ed.), &#60;cite&#62;Registers Hollandse grafelijkheid 1299-1345&#60;/cite&#62;, &#60;a href=&#34;https://resources.huygens.knaw.nl/registershollandsegrafelijkheid&#34;&#62;https://resources.huygens.knaw.nl/registershollandsegrafelijkheid&#60;/a&#62; (2010).","edition"
"3920","Arends 2007","Arends, G. Jan, &#60;cite&#62;Schutten, schuren en overbruggen. Cultuurhistorische analyse van de oude scheepvaartroute door Gouda en het Goudse waterverversingsysteem&#60;/cite&#62;. Rapportage in opdracht van de Gemeente Gouda, Afdeling Cultuur en Havenkwartier (Delft, oktober 2007)","secondary"
"1985","NA, Abdij Rijnsburg","Den Haag, Nationaal Archief, Archief Abdij Rijnsburg","archive"
"3921","Korteweg 1948","Korteweg, K.N., &#60;cite&#62;Rechtsbronnen van Woudrichem en het Land van Altena&#60;/cite&#62; (Utrecht 1948 WOVR 3e r. no. 14)","edition"
"3922","Habets  1884","Habets, J., &#60;cite&#62;Geschiedenis van het leenhof en de leenen van Valkenburg&#60;/cite&#62; (Roermond 1884)","edition"
"3923","Habets 1891","Habets, J., &#60;cite&#62;Limburgsche Wijsdommen. Dorpscostumen en gewoonten, bevattende voornamelijk Bank-, Laat- en Boschrechten&#60;/cite&#62; (&#39;s-Gravenhage 1891 WOVR 1e reeks no. 19)","edition"
"3924","Bemmel 2024","Bemmel, Ad van, &#60;q&#62;Licht op de eeuwenoude, in 1814 opgeheven Rijntol te Wijk bij Duurstede &#60;/q&#62;, in: Burik, C.A. van, E. van Mourik, D. Verhoef, R. Vonk (red.), &#60;cite&#62;De bronnen, de mensen, het land. Liber amicorum voor Kees van Schaik&#60;/cite&#62; (Hilversum 2024) 23-60","secondary"
"3925","HUA Huis Amerongen","HUA, Huis Amerongen","archive"
"3926","Graswinckel 1941","Graswinckel. D.P.M., H. Hardenberg, &#60;cite&#62;Het archief van het kasteel Rechteren&#60;/cite&#62; (Zaltbommel 1941)","edition"
"3927","ZA, OA Arnemuiden","Zeeuws Archief (Middelburg), Stad Arnemuiden","archive"
"3928","Haugner 1934","Haugner, C. C., &#60;cite&#62;Nakskov Købstadts Historie. Bind 1&#60;/cite&#62; (København, 1934)","secondary"
"2365","Degn 2010","Degn, Ole (ed.), &#60;cite&#62;Tolden i Sundet. Toldopkrævning, politik og skibsfart i Øresund 1429-1857&#60;/cite&#62; (København 2010). ","secondary"
"3929","STRO","Soundtoll Registers Online &#60;a href=&#34;https://www.soundtoll.nl&#34;&#62;https://www.soundtoll.nl&#60;/a&#62;","edition"
"3930","Ellinger Bang 1906-1922","Ellinger Bang, Nina, &#60;cite&#62;Tabeller over skibsfart og varentransport gennem Øresund 1497-1660&#60;/cite&#62;, 2 vols. (København, 1906-1922)","edition"
"708","Keil 1932","Keil, Ernst, &#60;q&#62;Das anhaltische Gericht Hoym im Pfandbesitz der Stadt Quedlinburg 1417-1424 und 1434-1473,&#60;/q&#62; in: &#60;cite&#62;Zeitschrift des Harzvereins für Geschichte und Alterthumskunde&#60;/cite&#62; 65 (1932), 82-111","secondary"
"3401","ThStA, Kanzlei Arnstadt 1134","Landesarchiv Thüringen, Staatsarchiv Rudolstadt, Kanzlei Arnstadt 1134: Der Zoll zu Marlishausen","archive"
