"id","literatureid","nodesid","edgesid","pertainsto","pages","namesid"
"30","28","2148","\N","fairs","646-649, 661-664","\N"
"34","28","1828","\N","fairs","646-649, 661-664","\N"
"33103","1328","16149","\N","ferry","220","\N"
"38","28","5421","\N","fairs","646-649, 661-664","\N"
"40","28","6477","\N","fairs","646-649, 661-664","\N"
"42","28","7458","\N","fairs","646-649, 661-664","\N"
"44","28","8000","\N","fairs","646-649, 661-664","\N"
"33104","3922","14526","\N","ferry","525","\N"
"31249","3647","17727","\N","fairs","inv.nrs. 1528, 1563","\N"
"33031","3765","17645","\N","","42-43","\N"
"33032","1646","17598","\N","","160-161","\N"
"18236","1742","8827","\N","\N","292","\N"
"58","28","8701","\N","fairs","649-651, 661-663, 665","\N"
"60","6","3852","\N","tolls","18","\N"
"62","6","3888","\N","tolls","19-21","\N"
"33035","3914","12623","\N","harbour","35","\N"
"66","6","1611","\N","staple","20, 33","\N"
"68","6","517","\N","staple","29","\N"
"33036","3915","16951","\N","bridge","Alte Lahnbrücke mit Brückenturm, &#60;a href=&#34;https://denkxweb.denkmalpflege-hessen.de/53176/&#34;&#62;https://denkxweb.denkmalpflege-hessen.de/53176/&#60;/a&#62;","\N"
"33037","3915","16951","\N","tolls","Alte Lahnbrücke mit Brückenturm, &#60;a href=&#34;https://denkxweb.denkmalpflege-hessen.de/53176/&#34;&#62;https://denkxweb.denkmalpflege-hessen.de/53176/&#60;/a&#62;","\N"
"33038","3916","7751","\N","fairs","357","\N"
"76","6","2409","\N","staple","29","\N"
"33039","3916","1521","\N","staple","356","\N"
"33043","574","8583","\N","","&#60;a href=&#34;https://www.lagis-hessen.de/de/subjects/idrec/sn/ol/id/2279&#34;&#62;Wolfhagen, Landkreis Kassel&#60;/a&#62; (Stand: 26.2.2024)","\N"
"33121","2179","19486","\N","bridge","","\N"
"84","6","7806","\N","staple","29","\N"
"34093","820","19818","\N","bridge","63","\N"
"33045","2361","13881","\N","","48-53","\N"
"90","6","8875","\N","staple","30","\N"
"92","6","1052","\N","staple","31","\N"
"33046","2149","12767","\N","ferry","inv.nr. 221","\N"
"96","6","3500","\N","staple","32","\N"
"33049","2001","16189","\N","tolls","no. 2228","\N"
"33050","3917","11915","\N","fairs","F340 en F?","\N"
"104","6","5623","\N","fairs","34","\N"
"106","6","5623","\N","staple","34","\N"
"33051","2177","19302","\N","lock","16","\N"
"110","6","7321","\N","tolls","34","\N"
"112","6","3344","\N","staple","35","\N"
"33106","3928","15028","\N","","136-139","\N"
"33053","3919","\N","428","edge","17-18","\N"
"36644","3966","19784","\N","","2, 459-560","\N"
"120","6","268","\N","staple","63, 65-67","\N"
"33054","3920","19303","\N","lock","12-13","\N"
"124","6","8876","\N","tolls","64","\N"
"126","6","4816","\N","fairs","66-67","\N"
"128","6","4816","\N","staple","66-67","\N"
"33055","3920","19302","\N","lock","9-10","\N"
"33058","2209","12462","\N","harbour","3","\N"
"33056","3920","12462","\N","harbour","9","\N"
"33059","1865","19305","\N","lock","102, 106-108","\N"
"33069","3920","19305","\N","bridge","11","\N"
"33070","3920","19318","\N","bridge","11-12","\N"
"33071","1973","14896","\N","ferry","330-332","\N"
"33075","2389","12623","\N","tolls","121-123","\N"
"33076","3921","11905","\N","fairs","Tweede stuk nr. 334 sub 61","\N"
"33077","3921","16809","\N","fairs","Tweede stuk nr. 334 sub 61","\N"
"33105","3928","19400","\N","","136, 139","\N"
"33340","2285","12781","\N","tolls","inv.nr. 2290 f.8v/9","\N"
"33084","3123","19348","\N","tolls","","\N"
"33086","3923","14627","\N","fairs","25/26","\N"
"33087","2161","14627","\N","fairs","144","\N"
