"id","parentid","name","latitude","longitude","links","zoomlevel","Is_Settlement","Settlement_From","Settlement_To","Settlement_Description","Is_Town","Town_From","Town_To","Town_Description","Is_Fair","Fair_From","Fair_To","Gregorian_Calendar","Fair_Description","Is_Toll","Toll_From","Toll_To","Toll_Primary_Owner","Toll_Description","Is_Bridge","Bridge_From","Bridge_To","Bridge_Description","Is_Staple","Staple_From","Staple_To","Staple_Duration_Of_Stay","Staple_Description","Is_Ferry","Ferry_From","Ferry_To","Ferry_Description","Is_Harbour","Harbour_From","Harbour_To","Harbour_Description","Is_Lock","Lock_From","Lock_To","Lock_Description","ready"
"19808",null,"Espoon Kuninkaankartano","60.198696","24.582853",null,"12","y","1556",null,"&lt;b&gt;Inn:&lt;/b&gt; Royal manors (fi: kuninkaankartano, sw: kungsg&aring;rd)  were obliged to provide accommodation for travelling officials. Information to be amended.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"19789",null,"Forsby (Pernaja)","60.499395","25.948301",null,"11","y","1250",null,"Permanent agricultural settlement in Pernaja (sw. Pern&aring;) area and Eastern Nyland (sw. &Ouml;stra Nyland) dates to the Swedish colonisation in the latter half of the 13th century when new farms were founded amongst earlier 12th and 13th century area of usufruct and colonisation from inner H&auml;me. The parish organisation of Eastern Nyland dates at the latest to the first quarter of the 14th century. King Magnus Eriksson donated the rights of patronate of Porvoo parish and its two chapels of Sipoo (sw. Sibbo) and Pernaja to the Cistercian Abbey of Padise in present Estonia in 1351. The bishop and Cathedral Chapter of Turku reclaimed the rights in 1428. Independent parish at the latest since 1363. The first wooden church was built in the late 13th century or early 14th, pope Bonifacius IX supported the maintenance of the church with indulgences in 1398. After a stone sacristy constructed in 1410s, a vaulted stone church and vestibule were built in the turn of the 1430s and 1440s.

&lt;b&gt;Inn:&lt;/b&gt; Forsby alehouse is mentioned in 1543. It was run by Peder Hindersson. Alehouses in Pernaja paid taxes to the king and Vogt (fi. vouti, sw. fogde), 4&frac12; and 13&frac12; &ouml;res respectively. ",null,null,null,null,"y","1584",null,null,"King Gustaf I granted the burghers of Helsinki in 1553 the rights for three fairs in Eastern Nyland in Helsinki, in Pernaja (sw. Pern&aring;), and in Pyht&auml;&auml; (sw. Pyttis). In 1584 the official fair dates in the Eastern Nyland were Midsummer in Sipoo (sw. Sibbo), Visitation of Mary (2 July) and Excaltation of the Cross (14 September) in Porvoo, St Michael (29 September) in Pernaja and St Laurentius (10 August) at Pyht&auml;&auml; (sw. Pyttis) church. The same year burghers of Porvoo and Helsinki were granted joint rights for trading with peasants of the eastern half of Pernaja parish at the St Bartolomeus free fair in V&auml;h&auml;-Ahvenkoski in Pyht&auml;&auml;, whereas peasants from the western half of Pernaja were obliged to trade in Porvoo only. Previous traditional local fairs in Mustijoki (sw. Svarts&aring;) and Kulloonm&auml;ki (sw. Kullo) in Porvoo, Pikku Pernajanlahti (sw. Lillpern&aring;viken) in Pernaja and elsewhere were prohibited. After intense litigation over local fairs both Porvoo and Helsinki were in 1602 and in 1607 respectively confirmed right to trade in the four annual fairs at Porvoo, Pernaja and Pyht&auml;&auml; so that burghers of Helsinki had free right to trade in confirmed fairs east of Porvoo and those of Porvoo west of Helsinki. Pyht&auml;&auml; Bartholomeus fair is cited in an almanac in 1616, but Pernaja Michaelmas fair not. Fair in Pyht&auml;&auml; was held in V&auml;h&auml;-Ahvenkoski and those of Pernaja at Koskenkyl&auml; (sw. Forsby) bridge on the Great Coastal Road, where they were held in 1708. The fair site in Pikku-Pernjanalahti is unknown. The fair was held either close to the 16th century rivermouth or in Ilola (sw. Illby) alongside the Great Coastal Road. A short lived castle was located at Husholmen close to the mouth of Ilolanjoki (sw. Illby &aring;) river in Pikku-Pernajanlahti (sw. Lillpern&aring;viken) from the late 1380s to ca. 1400.

Annual summer and early autumn fairs in Sipoo, Pernaja and Pyht&auml;&auml; and the summer fair in Porvoo Saksala may have been organised in the context of ecclesiastical feasts of respective parish churches. In addition to the tar which had a growing status as an export article since the latter half of the 16th century, all the summer fairs were also connected to spawning seasons of Salmon, whitefish and Baltic herring, where summer fairs of Sipoo (24 June) and Porvoo in Saksala (1-2 July) of Julian calendar corresponded July the 4th and 12th in Gregorian calendar which was the high season of Salmon and right after the early spawning of Baltic herring which took place in the inner archipelago of the Gulf of Finland. Julian dates for autumn fairs at Pyht&auml;&auml; parish church (10 August), V&auml;h&auml;-Ahvenkoski (24 August), Porvoo (14 September), and Pernaja (29 September) correspond Gregorian calendar dates of 20 August, 3 and 24 September and 9 October, all of which occurred during the high season of whitefish migration and the autumn spawning of Baltic herring in the outer archipelago.
","y","1622",null,null,"The 1/32 duty worth of all goods intended for sale in towns and fairs and brought to the site by peasants was collected in Pernaja Forsby since 1622.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"19791",null,"Vähä-Ahvenkoski (Pyhtää)","60.490275","26.44687",null,"11","y","1250",null,"Permanent agricultural settlement in Pyht&auml;&auml; (sw. Pyttis) area and Eastern Nyland (sw. &Ouml;stra Nyland) dates to the Swedish colonisation in the latter half of the 13th century when new farms were founded amongst earlier 12th and 13th century area of usufruct and colonisation from inner H&auml;me. The parish organisation of Eastern Nyland dates at the latest to the first quarter of the 14th century. Independent parish at the latest since 1380. Stone church in the 1460s. The border between Sweden and Russia was in 1743&ndash;1809 in Ahvenkoski.",null,null,null,null,"y","1553",null,null,"King Gustaf I granted the burghers of Helsinki in 1553 the rights for three fairs in Eastern Nyland in Helsinki, in Pernaja (sw. Pern&aring;), and in Pyht&auml;&auml;. Sipoo (sw. Sibbo), Pyht&auml;&auml; and Porvoo fairs were confirmed as the privilege of Helsinki burghers in 1576. In 1584 the official fair dates in the Eastern Nyland were Midsummer in Sipoo, Visitation of Mary (2 July) and Excaltation of the Cross (14 September) in Porvoo, St Michael (29 September) in Pernaja and St Laurentius (10 August) at Pyht&auml;&auml; church. The same year burghers of Porvoo and Helsinki were granted joint rights for trading with peasants of the eastern half of Pernaja parish at the St Bartolomeus free fair in V&auml;h&auml;-Ahvenkoski in Pyht&auml;&auml;, whereas peasants from the western half of Pernaja were obliged to trade in Porvoo only. After intense litigation over local fairs both Porvoo and Helsinki were in 1602 and in 1607 respectively confirmed right to trade in the four annual fairs at Porvoo, Pernaja and Pyht&auml;&auml; so that burghers of Helsinki had free right to trade in confirmed fairs east of Porvoo and those of Porvoo west of Helsinki. Pyht&auml;&auml; Bartholomeus fair is cited in an almanac in 1616, but Pernaja Michaelmas fair not. Fair in Pyht&auml;&auml; was held in V&auml;h&auml;-Ahvenkoski and those of Pernaja at Koskenkyl&auml; (sw. Forsby) bridge on the Great Coastal Road, where they were held in 1708. The rich late iron age find site in Haasianniemi on the eastern side of the rivermouth may have been connceted to older trading traditions of the area.

Annual summer and early autumn fairs in Sipoo, Pernaja and Pyht&auml;&auml; and the summer fair in Porvoo Saksala may have been organised in the context of ecclesiastical feasts of respective parish churches. In addition to the tar which had a growing status as an export article since the latter half of the 16th century, all the summer fairs were also connected to spawning seasons of Salmon, whitefish and Baltic herring, where summer fairs of Sipoo (24 June) and Porvoo in Saksala (1-2 July) of Julian calendar corresponded July the 4th and 12th in Gregorian calendar which was the high season of Salmon and right after the early spawning of Baltic herring which took place in the inner archipelago of the Gulf of Finland. Julian dates for autumn fairs at Pyht&auml;&auml; parish church (10 August), V&auml;h&auml;-Ahvenkoski (24 August), Porvoo (14 September), and Pernaja (29 September) correspond Gregorian calendar dates of 20 August, 3 and 24 September and 9 October, all of which occurred during the high season of whitefish migration and the autumn spawning of Baltic herring in the outer archipelago.
","y","1622",null,null,"The 1/32 duty worth of all goods intended for sale in towns and fairs and brought to the site by peasants was collected in Pyht&auml;&auml; V&auml;h&auml;-Ahvenkoski since 1622.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"8166",null,"Walsrode","52.86033","9.595205","gn:2814462;wd:Q33513395;wd:Q33513395","9","y","986",null,"Around 986 Count Wala founded a monastery of canonesses (from 1225: Benedictine nuns), next to which a market settlement developed. The settlement received borough (&#039;weichbild&#039;) privileges after the Brunswick law in 1383/88.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"y"
"19201",null,null,"50.473613","4.080091",null,"11",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"20170",null,"Kausala","60.889329","26.339582","gn:653492;wd:Q11870657","9","y","1580",null,"&lt;b&gt;Inn:&lt;/b&gt; An inn was established in Kausala in the end of the 16th c. In 1642, Sipi Pekanpoika is mentioned as the innkeeper.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"17645",null,"Berlaar","51.118438","4.660274","gn:2802156","11","y","1155",null,"First mentioned in c. 1155, in a copy from 1243.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"20173",null,"Ahtiala","61.001561","25.77695","gn:661889","11","y","1642",null,"&lt;b&gt;Inn:&lt;/b&gt; An inn was established in Ahtiala in 1642, and Jyri Markunpoika was appointed as the innkeeper. ",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"11911",null,"Oostburg","51.327136","3.489656","gn:2749541;wd:Q1615032;wd:Q1615032;loc:n85207564;viaf:145486526","10","y","879",null,"In the period 879-918, a castle (&#039;burcht&#039;) was built at the site of Oostburg as a defence against attacks by Norsemen. The first mention in written records dates from 949.","y","1174",null,"Oostburg was first mentioned as town in 1174. It must have been  granted town rights before 1187 by Philip of Alsace, count of Flanders. After a flourishing in the 13th century, the town shrunk significantly and lost its urban character.","y","1298",null,null,"In 1297/8 (Jan.) count Gui de Dampierre granted a fair for three days starting St. Laurentius (August 10).","y","1252","1502",null,"Oostburg was one of the toll stations of the Zwin toll of the count of Flanders after 1252. A toll-account dated 1380 is preserved, combined with a.o. Damme. And another dated 1485 on beer with a.o. Sluis and Cadzand. In 1502, a &quot;knight toll&quot; (&#039;riddertol&#039;) is mentioned in Oostburg, that was abolished that year because of the construction of the canal Brugse Vaart.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"19837","19836","Vuolenkosken silta ja lautta","61.087605","26.188915","gn:10082881","12",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"y","1400","1592","Vuolenkoski bridge on the Northern route of Upper Viipuri Road was burned down in the Russian attack of 1592, and again in the internal conflict of the realm between duke Karl and Finnish nobility in Finland in 1599. The bridge was maintained by Hollola judicial district in H&auml;me and Lapvesi judicial district under Viipuri castle. H&auml;me was exempted from the bridge in the time of king Johan III (1568-92). The bridge was not rebuilt in the beginning of the 17th century but replaced with a ferry because of low use the road. In the late 16th century, the bridge is said to have been 200 fathoms long (sw. fathom = 1,78 m, ca. 356 m). The Northern and Southern routes of Upper Viipuri Road were organised into a common road between Viipuri and H&auml;me castles at the latest in the first quarter of the 15th century, but the organisation of the maintenance may date to mid-14th century. The Northern route via Vuolenkoski appears to have been more important in the 16th century, whereas in the 17th the Southern road was the main route. In 1556 king Gustaf I ordered either of the routes demolished, apparently without consecutions.",null,null,null,null,null,"y","1600","1936","The ferry operated 1600-1914 near the former bridge in Siltasaari and after that closer to the falls until it was replaced with a bridge in 1936.",null,null,null,null,null,null,null,null,null
