display_name,city_id,year,legal_capacity_score,merchant_capital_score,agricultural_surplus_score,peasant_mobility_score,noble_extraction_score,conflict_risk_score,trade_access,composite_raw,composite_0_3,notes,has_formal_charter_by_y,charter_withdrawn_by_y,has_townhall_by_y,legal_family,city_status,is_hanseatic,best_fair_category,has_messe_by_y,has_staple,population,pop_growth_50yr,dist_river_km,n_polity_changes_50yr,is_prince_bishop_seat,n_conflicts_50yr,n_major_conflicts_50yr,imputed
Augsburg,23006,1250,1,1,3,1,1,1,0.0,3.3999999999999995,1,—,0,0,0,A06,0,0,0,0,0,16000.0,1.231,196.6,0,0,0,0,True
Augsburg,23006,1300,3,1,3,2,0,0,0.0,7.3,3,imperial city,0,0,0,A06,2,0,0,0,0,19000.0,1.188,196.6,0,0,0,0,True
Augsburg,23006,1350,3,1,2,2,0,1,0.0,6.1000000000000005,3,imperial city,0,0,0,A06,2,0,0,0,0,15500.0,0.816,196.6,0,0,0,0,True
Augsburg,23006,1400,3,1,2,2,0,1,0.0,6.1000000000000005,3,imperial city,0,0,0,A06,2,0,0,0,0,12000.0,0.774,196.6,0,0,0,0,True
Augsburg,23006,1450,3,1,3,2,0,1,0.0,6.8,3,imperial city; pop ≈21k,0,0,0,A06,2,0,0,0,0,21000.0,1.75,196.6,0,0,0,0,True
Augsburg,23006,1500,3,1,3,2,0,1,0.0,6.8,3,imperial city; pop ≈30k,0,0,0,A06,2,0,0,0,0,30000.0,1.429,196.6,0,0,0,0,True
Bamberg,22016,1250,1,1,1,1,2,0,0.0,1.7000000000000002,0,prince-bishop seat,0,0,0,B08,0,0,0,0,0,8000.0,1.0,121.7,0,1,0,0,True
Bamberg,22016,1300,1,1,1,1,2,0,0.0,1.7000000000000002,0,prince-bishop seat,0,0,0,B08,0,0,0,0,0,8000.0,1.0,121.7,0,1,0,0,True
Bamberg,22016,1350,2,2,1,1,2,0,0.0,3.7,2,annual fair (Messe); prince-bishop seat,1,0,0,B08,0,0,0,1,0,6500.0,0.812,121.7,0,1,0,0,True
Bamberg,22016,1400,3,2,1,1,2,0,0.0,4.699999999999999,2,annual fair (Messe); prince-bishop seat,1,0,1,B08,0,0,0,1,0,5000.0,0.769,121.7,0,1,0,0,True
Bamberg,22016,1450,3,2,2,1,2,1,0.0,4.9,2,annual fair (Messe); prince-bishop seat,1,0,1,B08,0,0,0,1,0,6000.0,1.2,121.7,0,1,1,0,True
Bamberg,22016,1500,3,2,2,1,2,0,0.0,5.4,3,annual fair (Messe); prince-bishop seat,1,0,1,B08,0,0,0,1,0,7000.0,1.167,121.7,0,1,0,0,True
Cologne (Köln),14060,1250,3,0,3,2,1,0,0.0,5.5,3,pop ≈42k,1,0,1,K01,0,0,0,0,0,42000.0,1.05,10.8,0,0,0,0,True
Cologne (Köln),14060,1300,3,3,3,3,0,0,0.0,9.9,3,free imperial city; Hanseatic; staple right; pop ≈44k,1,0,1,K01,3,1,0,0,1,44000.0,1.048,10.8,0,0,0,0,True
Cologne (Köln),14060,1350,3,3,3,3,0,0,0.0,9.9,3,free imperial city; Hanseatic; staple right; pop ≈42k,1,0,1,K01,3,1,0,0,1,42000.0,0.955,10.8,0,0,0,0,True
Cologne (Köln),14060,1400,3,3,3,3,0,0,0.0,9.9,3,free imperial city; Hanseatic; staple right; pop ≈40k,1,0,1,K01,3,1,0,0,1,40000.0,0.952,10.8,0,0,0,0,True
Cologne (Köln),14060,1450,3,3,3,3,0,0,0.0,9.9,3,free imperial city; Hanseatic; staple right; pop ≈42k,1,0,1,K01,3,1,0,0,1,42500.0,1.062,10.8,0,0,0,0,True
Cologne (Köln),14060,1500,3,3,3,3,0,0,3.0,12.9,3,free imperial city; Hanseatic; staple right; pop ≈45k,1,0,1,K01,3,1,0,1,1,45000.0,1.059,10.8,0,0,0,0,True
Erfurt,11039,1250,2,0,2,1,2,3,0.0,0.8999999999999999,0,prince-bishop seat; major conflict in window,0,0,1,,0,0,0,0,0,15500.0,1.033,68.2,0,1,1,1,True
Erfurt,11039,1300,2,3,2,1,2,0,3.0,8.4,3,Hanseatic; staple right; prince-bishop seat,0,0,1,,0,1,0,0,1,16000.0,1.032,68.2,0,1,0,0,True
Erfurt,11039,1350,2,3,2,1,2,3,3.0,6.9,3,Hanseatic; interregional fair; staple right; prince-bishop seat; major conflict in window,0,0,1,,0,1,3,1,1,13500.0,0.844,68.2,0,1,2,2,True
Erfurt,11039,1400,2,3,2,1,2,0,3.0,8.4,3,Hanseatic; interregional fair; staple right; prince-bishop seat,0,0,1,,0,1,3,1,1,11000.0,0.815,68.2,0,1,0,0,True
Erfurt,11039,1450,2,3,3,1,2,0,3.0,9.1,3,Hanseatic; interregional fair; staple right; prince-bishop seat,0,0,1,,0,1,3,1,1,15000.0,1.364,68.2,0,1,0,0,True
Erfurt,11039,1500,2,3,3,1,2,0,3.0,9.1,3,Hanseatic; regional fair; staple right; prince-bishop seat,0,0,1,,0,1,2,1,1,19000.0,1.267,68.2,0,1,0,0,True
Frankfurt am Main,15027,1250,1,3,2,1,1,0,0.0,5.2,2,interregional fair,0,0,0,F01,0,0,3,1,0,8500.0,2.125,3.0,0,0,0,0,True
Frankfurt am Main,15027,1300,3,3,3,3,1,0,3.0,12.099999999999998,3,interregional fair,1,0,1,F01,0,0,3,1,0,13000.0,1.529,3.0,0,0,0,0,True
Frankfurt am Main,15027,1350,3,3,2,3,1,0,3.0,11.4,3,interregional fair,1,0,1,F01,0,0,3,1,0,11000.0,0.846,3.0,0,0,0,0,True
Frankfurt am Main,15027,1400,3,3,2,3,0,1,3.0,11.7,3,free imperial city; interregional fair,1,0,1,F01,3,0,3,1,0,9000.0,0.818,3.0,1,0,1,0,True
Frankfurt am Main,15027,1450,3,3,3,3,0,1,3.0,12.4,3,free imperial city; interregional fair,1,0,1,F01,3,0,3,1,0,10500.0,1.167,3.0,0,0,0,0,True
Frankfurt am Main,15027,1500,3,3,3,3,0,0,3.0,12.9,3,free imperial city; interregional fair,1,0,1,F01,3,0,3,1,0,12000.0,1.143,3.0,0,0,0,0,True
Leipzig,9070,1250,3,3,2,3,1,1,0.0,7.899999999999999,3,Magdeburg/Lübeck/Kulm law; interregional fair,1,0,0,M05,0,0,3,0,0,3500.0,1.167,7.7,0,0,0,0,True
Leipzig,9070,1300,3,3,2,3,1,0,2.0,10.4,3,Magdeburg/Lübeck/Kulm law; interregional fair,1,0,0,M05,0,0,3,0,0,4000.0,1.143,7.7,0,0,0,0,True
