city_id,name,lat,lon,year,lat_band,dist_river_km,elev_m,voronoi_area_km2,centuries_since_first_mention,population,pop_growth_50yr,agricultural_surplus_score,agricultural_surplus_continuous,nodesid
1001,Allenburg,54.4925,21.192223,1250,north,15.9,,244.3,0.0,,,0,2.3024,127.0
1002,Allenstein,53.783333,20.483334,1250,north,83.5,90.0,529.4,0.0,0.0,,0,2.3095,132.0
1003,Angerapp,54.416668,22.016666,1250,north,40.1,,681.8,0.0,,,0,2.4105,
1004,Angerburg,54.216667,21.75,1250,north,48.5,,522.4,0.0,,,0,2.3041,
1005,Arys,53.805557,21.945833,1250,north,96.0,,705.8,0.0,,,0,2.4243,
1006,Barten,54.216667,21.35,1250,north,47.4,,235.9,0.0,,,0,1.987,445.0
1007,Bartenstein (Ostpreussen),54.250278,20.816668,1250,north,47.5,,288.2,0.09,,,0,2.0939,446.0
1008,Bischofsburg,53.863609,20.954721,1250,north,86.5,,493.2,0.0,,,0,2.2812,690.0
1009,Bischofstein,54.084721,20.901945,1250,north,63.1,,282.6,0.0,,,0,2.0591,
1010,Bischofswerder,53.501667,19.349167,1250,north,41.0,,6039.8,0.0,,,0,3.2825,
1011,Braunsberg,54.38361,19.816668,1250,north,36.7,14.0,328.5,0.1,500.0,,0,2.1902,941.0
1012,Christburg,53.916668,19.35,1250,north,25.0,,438.1,0.02,,,0,2.4273,1214.0
1013,Danzig,54.350555,18.652779,1250,north,0.6,15.0,2068.8,2.53,7000.0,1.4,2,4.1055,1333.0
1014,Dt. Eylau,53.599998,19.566668,1250,north,51.7,,913.0,0.0,,,0,2.5271,1411.0
1015,Domnau,54.426109,20.826666,1250,north,28.0,,437.5,0.0,,,0,2.3833,1512.0
1016,Drengfurt,54.213612,21.519167,1250,north,46.5,,251.5,0.0,,,0,2.0126,
1017,Ebenrode,54.633335,22.566668,1250,north,48.3,,554.0,0.0,,,0,2.3276,
1018,Elbing,54.166668,19.4,1250,north,0.9,10.0,472.7,0.08,2500.0,1.25,1,2.7774,1750.0
1019,Eydtkau,54.633335,22.733334,1250,north,51.7,,2393.6,0.0,,,0,2.9124,
1020,Fischhausen,54.733334,20.0,1250,north,51.0,,332.4,0.0,,,0,2.1238,1955.0
1021,Frauenburg,54.349998,19.683332,1250,north,27.9,,419.9,0.0,,,0,2.3688,1991.0
1022,Freystadt in Westpreussen,53.599998,19.266666,1250,north,32.2,,321.9,0.0,,,0,2.2081,
1023,Friedland in Ostpreussen,54.450001,21.016666,1250,north,22.1,,286.2,0.0,,,0,2.2878,
1024,Garnsee,53.607224,18.941111,1250,north,11.7,,6039.8,0.0,,,1,3.6363,2098.0
1025,Gehlenburg,53.616665,22.066668,1250,north,118.4,,332.4,0.0,,,0,2.1238,
1026,Gerdauen,54.358334,21.322222,1250,north,32.5,,364.7,0.0,,,0,2.2539,2167.0
1027,Gilgenburg,53.433334,20.033333,1250,north,86.0,,5683.8,0.0,,,0,3.2582,2202.0
1028,Goldap,54.299999,22.299999,1250,north,62.5,,1012.7,0.0,,,0,2.5685,2265.0
1029,Gumbinnen,54.583332,22.183332,1250,north,43.1,45.0,815.7,0.0,0.0,,0,2.4821,
1030,Guttstadt,53.985832,20.396111,1250,north,68.9,,533.3,0.0,,,0,2.3124,2710.0
1031,Heiligenbeil,54.466667,19.933332,1250,north,48.5,,399.4,0.0,,,0,2.197,2909.0
1032,Heilsberg,54.116665,20.583334,1250,north,63.7,,369.8,0.09,,,0,2.1933,2921.0
1033,Hohenstein,53.583332,20.283333,1250,north,87.7,,661.3,0.0,,,0,2.3983,3124.0
1034,Insterburg,54.633335,21.816668,1250,north,19.2,30.0,1252.4,0.0,0.0,,0,2.9136,3325.0
1035,Johannisburg,53.616665,21.799999,1250,north,114.3,,4696.3,0.0,,,0,3.1819,3434.0
1036,Koenigsberg Pr.,54.710278,20.509445,1250,north,18.3,5.0,4065.0,0.0,2000.0,2.0,0,3.396,3911.0
1037,Kreuzburg,54.493332,20.440277,1250,north,30.3,,327.4,0.1,,,0,2.269,
