city_id,name,lat,lon,town_from,town_to,ready,year,population,distance_river_km,distance_road_km,distance_fair_km,num_fairs_50km,num_fairs_100km,has_own_fair,own_fair_category,has_own_toll,has_own_staple,has_own_bridge,has_own_ferry,has_own_harbour,on_trade_route,trade_access_score
11911,Oostburg,51.327136,3.489656,1174,1650,,1300,,4.885,0.197,6.59,2,2,0,,1,0,0,0,0,1,2
6712,Salzwedel,52.850548,11.151767,1197,1650,y,1300,3000.0,4.512,0.326,27.839,1,7,0,,0,0,0,0,0,1,2
1036,Brugge,51.20876,3.224332,1127,1650,,1300,40000.0,0.114,0.029,0.0,2,2,1,interregional,1,1,0,0,0,1,3
2456,Groningen,53.218044,6.566612,1245,1650,,1300,4000.0,0.09,0.019,0.0,3,10,1,regional,0,0,0,0,0,1,3
20547,,53.216851,6.573825,1245,1650,,1300,,0.038,0.008,0.498,3,10,0,,0,0,0,0,0,1,2
20548,,53.217631,6.573445,1245,1650,,1300,,0.053,0.091,0.457,3,10,0,,0,0,0,0,0,1,2
20544,Steentilbrug,53.216887,6.574072,1245,1650,,1300,,0.041,0.008,0.513,3,10,0,,0,0,0,0,0,1,2
20203,,51.864696,12.652601,1293,1650,,1300,,7.099,0.337,61.433,0,6,0,,0,0,0,0,0,1,2
20545,A-brug,53.216613,6.559369,1245,1650,,1300,,0.454,0.009,0.508,3,10,0,,0,0,0,0,0,1,2
20546,Boteringebrug,53.221307,6.562786,1245,1650,,1300,,0.363,0.221,0.443,3,10,0,,0,0,0,0,0,1,2
255,Angermünde,53.017316,14.004271,1267,1650,,1300,,12.673,0.121,126.82,0,0,0,,0,0,0,0,0,1,2
941,Braniewo,54.381613,19.823706,1254,1650,,1300,1000.0,36.918,0.205,400.958,0,0,0,,0,0,0,0,0,1,2
1239,Coesfeld,51.945492,7.167782,1197,1650,,1300,2000.0,24.939,0.043,23.977,8,45,0,,0,0,0,0,0,1,2
2048,Fulda,50.55032,9.677818,1150,1650,,1300,3000.0,38.153,0.23,30.565,4,13,0,,0,0,0,0,0,1,2
1260,Krosno Odrzańskie,52.046621,15.098408,1201,1650,,1300,,2.304,0.126,203.517,0,0,0,,0,0,0,0,0,1,2
2970,Herborn,50.683159,8.303189,1251,1650,,1300,,60.562,0.086,69.122,0,7,0,,0,0,0,0,0,1,2
9679,,52.261515,9.764217,1214,1650,,1300,,15.314,0.174,17.591,6,16,0,,0,0,0,0,0,1,2
2019,Friedberg,50.336756,8.753571,1216,1650,,1300,,25.47,0.123,25.678,1,5,0,,0,0,0,0,0,1,2
3312,Immenhausen,51.427298,9.480362,1298,1650,,1300,,9.348,4.109,39.155,3,19,0,,0,0,0,0,0,0,2
3951,Korbach,51.27119,8.873668,1188,1650,,1300,,42.689,0.136,50.376,0,6,0,,0,0,0,0,0,1,2
4418,Hessisch Lichtenau,51.196971,9.721036,1289,1650,,1300,,14.819,0.149,48.572,3,18,0,,0,0,0,0,0,1,2
3029,Hettstedt,51.645736,11.512438,1283,1650,y,1300,,13.287,1.325,35.735,5,13,0,,0,0,0,0,0,1,2
5365,Niedermarsberg,51.457647,8.857712,1104,1650,,1300,,42.684,0.19,29.823,2,14,0,,0,0,0,0,0,1,2
3876,Koknese,56.63887,25.420517,1277,1650,,1300,,8.167,0.063,732.184,0,0,0,,0,0,0,0,0,0,1
6111,Pasłęk,54.06548,19.659172,1297,1650,,1300,,21.128,0.294,404.126,0,0,0,,0,0,0,0,0,1,2
4178,Kyritz,52.942615,12.397703,1237,1650,,1300,,24.861,0.209,88.824,0,1,0,,0,0,0,0,0,1,2
