city_id,name,lat,lon,year,trade_access_continuous,trade_access_score,distance_river_km,distance_road_km,distance_fair_km,num_fairs_50km,has_own_staple,on_trade_route,trade_access_source
12064,Holzminden,51.827778,9.4505558,1600,5.4767,2,3.974,0.244,0.489,60,0,1,viabundus
12064,Holzminden,51.827778,9.4505558,1650,5.4767,2,3.974,0.244,0.489,60,0,1,viabundus
13013,Beverungen,51.662777,9.3725004,1600,5.4335,2,0.055,0.109,12.243,49,0,1,viabundus
13013,Beverungen,51.662777,9.3725004,1650,5.4335,2,0.055,0.109,12.243,49,0,1,viabundus
13078,Hoexter,51.775555,9.3813887,1600,5.4185,2,3.682,0.022,0.193,54,0,1,viabundus
13078,Hoexter,51.775555,9.3813887,1650,5.4185,2,3.682,0.022,0.193,54,0,1,viabundus
12011,Bodenwerder,51.975834,9.5119448,1650,5.386,2,3.849,0.103,17.347,52,0,1,viabundus
5016,Glueckstadt,53.787777,9.4236107,1650,5.364,3,0.484,0.142,7.178,45,1,1,viabundus
12011,Bodenwerder,51.975834,9.5119448,1600,5.3452,2,3.849,0.103,17.347,49,0,1,viabundus
11002,Alsleben,51.700279,11.677222,1650,5.3427,2,0.208,0.042,7.157,43,0,1,viabundus
12064,Holzminden,51.827778,9.4505558,1550,5.3376,2,3.974,0.244,7.64,49,0,1,viabundus
12052,Hameln,52.104168,9.3561115,1650,5.3367,3,2.986,0.104,0.242,47,1,1,viabundus
12061,Hessisch-Oldendorf,52.168335,9.2524996,1650,5.3338,2,0.469,0.125,0.249,43,0,1,viabundus
11013,Bernburg,51.794167,11.736944,1650,5.3291,2,0.099,0.043,14.337,42,0,1,viabundus
11022,Calbe a. d. Saale,51.902779,11.774722,1650,5.3289,2,0.517,0.238,22.299,43,0,1,viabundus
13013,Beverungen,51.662777,9.3725004,1550,5.3279,2,0.055,0.109,12.243,42,0,1,viabundus
15131,Bad Sooden-Allendorf,51.279724,9.9663887,1650,5.3137,2,0.034,0.055,16.452,41,0,1,viabundus
13013,Beverungen,51.662777,9.3725004,1500,5.3115,2,0.055,0.109,12.243,41,0,1,viabundus
12064,Holzminden,51.827778,9.4505558,1500,5.309,2,3.974,0.244,7.64,47,0,1,viabundus
11103,Nienburg (Saale),51.836388,11.766111,1650,5.2926,2,2.18,0.163,18.52,43,0,1,viabundus
13004,Anholt,51.846111,6.4274998,1600,5.2924,2,2.945,0.106,16.167,44,0,1,viabundus
13004,Anholt,51.846111,6.4274998,1650,5.2924,2,2.945,0.106,16.167,44,0,1,viabundus
12052,Hameln,52.104168,9.3561115,1600,5.2915,2,2.986,0.104,0.242,44,0,1,viabundus
14026,Emmerich,51.83139,6.2424998,1600,5.2885,2,1.859,0.03,15.443,42,0,1,viabundus
14026,Emmerich,51.83139,6.2424998,1650,5.2885,2,1.859,0.03,15.443,42,0,1,viabundus
15057,Helmarshausen,51.630554,9.46,1600,5.2877,2,2.356,0.189,6.8,43,0,1,viabundus
15057,Helmarshausen,51.630554,9.46,1650,5.2877,2,2.356,0.189,6.8,43,0,1,viabundus
12080,Hann. Muenden,51.417221,9.6511106,1650,5.2847,3,4.0,0.062,15.232,45,1,1,viabundus
12061,Hessisch-Oldendorf,52.168335,9.2524996,1600,5.2844,2,0.469,0.125,0.249,40,0,1,viabundus
13004,Anholt,51.846111,6.4274998,1550,5.2767,2,2.945,0.106,16.167,43,0,1,viabundus
5024,Krempe,53.837776,9.4872227,1650,5.276,2,1.797,2.316,0.0,46,0,1,viabundus
14090,Rees,51.759445,6.396111,1600,5.2737,2,2.481,0.037,18.867,42,0,1,viabundus
14090,Rees,51.759445,6.396111,1650,5.2737,2,2.481,0.037,18.867,42,0,1,viabundus
12118,Stade,53.601112,9.4758329,1600,5.2722,3,1.87,0.016,0.0,41,1,1,viabundus
12118,Stade,53.601112,9.4758329,1650,5.2722,3,1.87,0.016,0.0,41,1,1,viabundus
14026,Emmerich,51.83139,6.2424998,1550,5.272,2,1.859,0.03,15.443,41,0,1,viabundus
13078,Hoexter,51.775555,9.3813887,1550,5.2623,2,3.682,0.022,0.193,43,0,1,viabundus
5024,Krempe,53.837776,9.4872227,1600,5.2609,2,1.797,2.316,0.0,45,0,1,viabundus
13004,Anholt,51.846111,6.4274998,1500,5.2606,2,2.945,0.106,16.167,42,0,1,viabundus
14090,Rees,51.759445,6.396111,1550,5.2572,2,2.481,0.037,18.867,41,0,1,viabundus
14026,Emmerich,51.83139,6.2424998,1500,5.2551,2,1.859,0.03,15.443,40,0,1,viabundus
13078,Hoexter,51.775555,9.3813887,1500,5.2462,2,3.682,0.022,0.193,42,0,1,viabundus
14090,Rees,51.759445,6.396111,1500,5.2404,2,2.481,0.037,18.867,40,0,1,viabundus
12064,Holzminden,51.827778,9.4505558,1450,5.232,2,3.974,0.244,7.64,42,0,1,viabundus
12124,Uslar,51.65889,9.6344442,1650,5.223,2,7.145,0.161,5.951,46,0,1,viabundus
13013,Beverungen,51.662777,9.3725004,1450,5.2227,2,0.055,0.109,12.243,36,0,1,viabundus
11002,Alsleben,51.700279,11.677222,1600,5.2214,2,0.208,0.042,7.157,36,0,1,viabundus
12011,Bodenwerder,51.975834,9.5119448,1550,5.2063,2,3.849,0.103,17.854,40,0,1,viabundus
11013,Bernburg,51.794167,11.736944,1600,5.2047,2,0.099,0.043,14.337,35,0,1,viabundus
12080,Hann. Muenden,51.417221,9.6511106,1600,5.2041,3,4.0,0.062,15.232,40,1,1,viabundus
11094,Magdeburg,52.12611,11.6325,1650,5.1941,3,2.17,0.049,1.023,37,1,1,viabundus
12124,Uslar,51.65889,9.6344442,1600,5.1926,2,7.145,0.161,5.951,44,0,1,viabundus
12011,Bodenwerder,51.975834,9.5119448,1500,5.189,2,3.849,0.103,17.854,39,0,1,viabundus
11022,Calbe a. d. Saale,51.902779,11.774722,1600,5.1885,2,0.517,0.238,22.299,35,0,1,viabundus
12138,Wolfenbuettel,52.162777,10.536111,1650,5.1883,2,1.566,0.083,0.166,36,0,1,viabundus
15057,Helmarshausen,51.630554,9.46,1550,5.185,2,2.356,0.189,6.8,37,0,1,viabundus
12064,Holzminden,51.827778,9.4505558,1400,5.1814,2,3.974,0.244,7.64,39,0,1,viabundus
15057,Helmarshausen,51.630554,9.46,1500,5.1664,2,2.356,0.189,6.8,36,0,1,viabundus
15131,Bad Sooden-Allendorf,51.279724,9.9663887,1600,5.1658,2,0.034,0.055,16.452,33,0,1,viabundus
11103,Nienburg (Saale),51.836388,11.766111,1600,5.1522,2,2.18,0.163,18.52,35,0,1,viabundus
12049,Goslar,51.906387,10.428889,1650,5.1511,2,8.771,0.266,0.533,44,0,1,viabundus
13078,Hoexter,51.775555,9.3813887,1450,5.141,2,3.682,0.022,0.193,36,0,1,viabundus
15156,Witzenhausen,51.341389,9.8586111,1650,5.1343,2,5.482,0.07,19.862,38,0,1,viabundus
11010,Barby,51.952499,11.869166,1650,5.1294,2,0.449,0.858,12.198,33,0,1,viabundus
12138,Wolfenbuettel,52.162777,10.536111,1600,5.1292,2,1.566,0.083,0.166,33,0,1,viabundus
5041,Rendsburg,54.306389,9.6630554,1600,5.121,2,0.054,0.114,0.227,31,0,1,viabundus
5041,Rendsburg,54.306389,9.6630554,1650,5.121,2,0.054,0.114,0.227,31,0,1,viabundus
11056,Guesten,51.794445,11.605278,1650,5.1192,2,8.286,0.609,17.851,42,0,1,viabundus
12065,Hornburg (Schladen-Werla),52.030277,10.605833,1650,5.1186,2,4.684,1.629,0.0,39,0,1,viabundus
12053,Hannover,52.371387,9.7366667,1650,5.1166,2,3.838,0.068,0.363,35,0,1,viabundus
13004,Anholt,51.846111,6.4274998,1450,5.1165,2,2.945,0.106,16.167,34,0,1,viabundus
