city_id,name,lat,lon,town_from,town_to,distance_river_km,distance_road_km,on_trade_route,population_1300,population_1400,population_1500,population_1550,population_1600,population_1650,distance_fair_km_1300,distance_fair_km_1350,distance_fair_km_1400,distance_fair_km_1450,distance_fair_km_1500,distance_fair_km_1550,distance_fair_km_1600,distance_fair_km_1650,num_fairs_50km_1300,num_fairs_50km_1350,num_fairs_50km_1400,num_fairs_50km_1450,num_fairs_50km_1500,num_fairs_50km_1550,num_fairs_50km_1600,num_fairs_50km_1650,num_fairs_100km_1300,num_fairs_100km_1350,num_fairs_100km_1400,num_fairs_100km_1450,num_fairs_100km_1500,num_fairs_100km_1550,num_fairs_100km_1600,num_fairs_100km_1650,has_own_fair_1300,has_own_fair_1350,has_own_fair_1400,has_own_fair_1450,has_own_fair_1500,has_own_fair_1550,has_own_fair_1600,has_own_fair_1650,own_fair_category_1300,own_fair_category_1350,own_fair_category_1400,own_fair_category_1450,own_fair_category_1500,own_fair_category_1550,own_fair_category_1600,own_fair_category_1650,has_own_toll_1300,has_own_toll_1350,has_own_toll_1400,has_own_toll_1450,has_own_toll_1500,has_own_toll_1550,has_own_toll_1600,has_own_toll_1650,has_own_staple_1300,has_own_staple_1350,has_own_staple_1400,has_own_staple_1450,has_own_staple_1500,has_own_staple_1550,has_own_staple_1600,has_own_staple_1650,has_own_bridge_1300,has_own_bridge_1350,has_own_bridge_1400,has_own_bridge_1450,has_own_bridge_1500,has_own_bridge_1550,has_own_bridge_1600,has_own_bridge_1650,has_own_ferry_1300,has_own_ferry_1350,has_own_ferry_1400,has_own_ferry_1450,has_own_ferry_1500,has_own_ferry_1550,has_own_ferry_1600,has_own_ferry_1650,has_own_harbour_1300,has_own_harbour_1350,has_own_harbour_1400,has_own_harbour_1450,has_own_harbour_1500,has_own_harbour_1550,has_own_harbour_1600,has_own_harbour_1650,trade_access_score_1300,trade_access_score_1350,trade_access_score_1400,trade_access_score_1450,trade_access_score_1500,trade_access_score_1550,trade_access_score_1600,trade_access_score_1650,trade_access_continuous_1300,trade_access_continuous_1350,trade_access_continuous_1400,trade_access_continuous_1450,trade_access_continuous_1500,trade_access_continuous_1550,trade_access_continuous_1600,trade_access_continuous_1650
11911,Oostburg,51.327136,3.489656,1174,1650,4.885,0.197,1,,,,,,,6.59,6.59,6.59,20.835,20.835,20.835,20.835,20.835,2.0,6.0,7.0,6.0,8.0,8.0,8.0,8.0,2.0,12.0,13.0,12.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.3485,3.9416,4.0351,3.9416,4.1175,4.1175,4.1175,4.1175
6712,Salzwedel,52.850548,11.151767,1197,1650,4.512,0.326,1,3000.0,2000.0,5000.0,6000.0,7000.0,5000.0,27.839,27.839,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,11.0,16.0,16.0,18.0,18.0,7.0,13.0,30.0,38.0,43.0,46.0,72.0,78.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,local,local,local,local,local,local,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.069,3.069,3.946,4.3233,4.5671,4.5671,4.6449,4.6449
1036,Brugge,51.20876,3.224332,1127,1650,0.114,0.029,1,40000.0,37000.0,35000.0,31000.0,27000.0,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,4.0,6.0,6.0,6.0,6.0,2.0,8.0,9.0,8.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,interregional,interregional,interregional,interregional,interregional,interregional,interregional,interregional,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.4654,3.9506,4.0585,3.823,4.0585,4.0585,4.0585,4.0585
2456,Groningen,53.218044,6.566612,1245,1650,0.09,0.019,1,4000.0,5000.0,14000.0,13000.0,19000.0,21000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,13.0,13.0,17.0,16.0,16.0,10.0,20.0,35.0,50.0,60.0,69.0,71.0,68.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,regional,regional,regional,regional,regional,regional,regional,regional,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.6677,3.9515,3.9515,4.5446,4.5446,4.7205,4.6805,4.6805
20547,,53.216851,6.573825,1245,1650,0.038,0.008,1,,,,,,,0.498,0.498,0.498,0.498,0.498,0.498,0.498,0.498,3.0,5.0,5.0,13.0,13.0,17.0,16.0,16.0,10.0,20.0,35.0,50.0,60.0,69.0,71.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.6692,3.9531,3.9531,4.5462,4.5462,4.7221,4.6821,4.6821
20548,,53.217631,6.573445,1245,1650,0.053,0.091,1,,,,,,,0.457,0.457,0.457,0.457,0.457,0.457,0.457,0.457,3.0,5.0,5.0,13.0,13.0,17.0,16.0,16.0,10.0,20.0,35.0,50.0,60.0,69.0,71.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.6661,3.95,3.95,4.5431,4.5431,4.719,4.679,4.679
20544,Steentilbrug,53.216887,6.574072,1245,1650,0.041,0.008,1,,,,,,,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,3.0,5.0,5.0,13.0,13.0,17.0,16.0,16.0,10.0,20.0,35.0,50.0,60.0,69.0,71.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.6692,3.953,3.953,4.5461,4.5461,4.722,4.682,4.682
20203,,51.864696,12.652601,1293,1650,7.099,0.337,1,,,,,,,61.433,61.433,43.997,43.997,40.588,29.848,29.848,28.057,0.0,0.0,2.0,2.0,6.0,9.0,12.0,15.0,6.0,12.0,23.0,33.0,44.0,58.0,76.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.5231,2.5231,3.2922,3.2922,3.8853,4.135,4.3186,4.464
20545,A-brug,53.216613,6.559369,1245,1650,0.454,0.009,1,,,,,,,0.508,0.508,0.508,0.508,0.508,0.508,0.508,0.508,3.0,5.0,5.0,13.0,13.0,17.0,16.0,16.0,10.0,20.0,35.0,50.0,60.0,69.0,71.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.6595,3.9433,3.9433,4.5365,4.5365,4.7124,4.6724,4.6724
20546,Boteringebrug,53.221307,6.562786,1245,1650,0.363,0.221,1,,,,,,,0.443,0.443,0.443,0.443,0.443,0.443,0.443,0.443,3.0,5.0,5.0,13.0,13.0,17.0,16.0,16.0,10.0,20.0,35.0,50.0,60.0,69.0,71.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.6545,3.9384,3.9384,4.5315,4.5315,4.7074,4.6674,4.6674
