nodesid,city_id,viabundus_name,bairoch_name,lat_v,lon_v,lat_b,lon_b,dist_km,match_method,confidence
4337,9070.0,Leipzig,Leipzig,51.339915,12.374475,51.340557,12.375,0.08016268949178484,manual,1.0
3888,14060.0,Köln,Koeln,50.936623,6.960704,50.938057,6.9569445,0.3079341647874197,manual,1.0
5492,22094.0,Nürnberg,Nuernberg,49.453915,11.077314,49.450832,11.075,0.3814455138285835,manual,1.0
1987,15027.0,Frankfurt am Main,Frankfurt,50.110394,8.682175,50.110832,8.6822224,0.048820596896840165,manual,1.0
1826,11039.0,Erfurt,Erfurt,50.977868,11.028775,50.976944,11.027223,0.14954222440062903,manual,1.0
4705,11094.0,Magdeburg,Magdeburg,52.131591,11.638959,52.12611,11.6325,0.7522196263107078,manual,1.0
6712,11121.0,Salzwedel,Salzwedel,52.850548,11.151767,52.852779,11.153334,0.26946880612423635,exact,0.95
402,13007.0,Balve,Balve,51.329368,7.865133,51.330276,7.8641667,0.121249225241043,exact,0.95
941,1011.0,Braniewo,Braunsberg,54.381613,19.823706,54.38361,19.816668,0.5069751656266003,exact,0.95
1239,13034.0,Coesfeld,Coesfeld,51.945492,7.167782,51.944721,7.1666665,0.1148732678362341,exact,0.95
1585,13043.0,Drolshagen,Drolshagen,51.023816,7.776677,51.024723,7.7758331,0.11685558739347263,exact,0.95
2017,8027.0,Kożuchów,Freystadt (Schlesien),51.745447,15.594335,51.75,15.6,0.6390696802647569,exact,0.95
2048,15036.0,Fulda,Fulda,50.55032,9.677818,50.553055,9.6750002,0.3634851696370292,exact,0.95
1260,7034.0,Krosno Odrzańskie,Crossen,52.046621,15.098408,52.046665,15.099167,0.052135938832788414,exact,0.95
2710,1030.0,Dobre Miasto,Guttstadt,53.986802,20.397187,53.985832,20.396111,0.1287735409164269,exact,0.95
2749,15054.0,Haiger,Haiger,50.742221,8.204276,50.743057,8.2049999,0.10599988925677672,exact,0.95
2791,15055.0,Hanau,Hanau,50.13654,8.917454,50.135555,8.915,0.20636626843610717,exact,0.95
2970,15059.0,Herborn,Herborn,50.683159,8.303189,50.682499,8.3027782,0.07888974791623735,exact,0.95
3074,13077.0,Hirschberg,Hirschberg,51.429855,8.276224,51.429165,8.2758331,0.0813700383134455,exact,0.95
3268,15071.0,Hungen,Hungen,50.475422,8.900916,50.475555,8.9013891,0.036600081111541186,exact,0.95
2019,15032.0,Friedberg,Friedberg (Hessen),50.336756,8.753571,50.337502,8.7538891,0.08596886824982652,exact,0.95
3312,15073.0,Immenhausen,Immenhausen,51.427298,9.480362,51.427223,9.4799995,0.026480014120665748,exact,0.95
2350,9046.0,Bad Gottleuba,Bad Gottleuba,50.849247,13.941653,50.851665,13.943055,0.2863183909731689,exact,0.95
3951,15080.0,Korbach,Korbach,51.27119,8.873668,51.271667,8.8730555,0.06803565441723462,exact,0.95
4054,8068.0,Kluczbork,Kreuzburg O.S.,50.972808,18.214288,50.966667,18.216667,0.7028749386919834,exact,0.95
2736,11057.0,Hadmersleben,Hadmersleben,51.9946161,11.3037172,51.991943,11.301389,0.3372836122571655,exact,0.95
4418,15062.0,Hessisch Lichtenau,Hessisch-Lichtenau,51.196971,9.721036,51.198055,9.7213888,0.12301670962068442,exact,0.95
4419,13092.0,Lichtenau,Lichtenau (Westfalen),51.616427,8.899076,51.616665,8.8955555,0.24450376042014746,exact,0.95
3029,11067.0,Hettstedt,Hettstedt,51.645736,11.512438,51.644722,11.514444,0.17852528168572676,exact,0.95
4746,15092.0,Marburg,Marburg,50.808961,8.770484,50.807499,8.7722225,0.20334849351410844,exact,0.95
4899,13103.0,Meschede,Meschede,51.346126,8.283285,51.346668,8.2849998,0.13347952742434357,exact,0.95
5365,13108.0,Niedermarsberg,Niedermarsberg,51.457647,8.857712,51.460278,8.854167,0.38198322179144173,exact,0.95
4178,7069.0,Kyritz,Kyritz,52.942615,12.397703,52.940556,12.396667,0.23924419177786285,exact,0.95
6297,13123.0,Recklinghausen,Recklinghausen,51.61491,7.198298,51.614445,7.1975002,0.07555030688788057,exact,0.95
6675,15118.0,Sachsenberg,Sachsenberg,51.125436,8.787741,51.126667,8.7897224,0.194568023216287,exact,0.95
6855,1066.0,Sępopol,Schippenbeil,54.270883,21.013658,54.25,21.016666,2.330290920496079,exact,0.95
4686,7083.0,Lychen,Lychen,53.21045,13.315652,53.210835,13.315278,0.04952760190634774,exact,0.95
7084,13136.0,Sendenhorst,Sendenhorst,51.844468,7.827345,51.844444,7.8272223,0.00884139127282415,exact,0.95
7115,13137.0,Siegen,Siegen,50.874588,8.024642,50.874443,8.0244446,0.021255739571819584,exact,0.95
7267,15130.0,Sontra,Sontra,51.069568,9.934618,51.06889,9.9327774,0.1490761873473498,exact,0.95
5160,7091.0,Nauen,Nauen,52.606647,12.876269,52.606945,12.876111,0.034811430413472524,exact,0.95
5622,5034.0,Oldenburg (Holstein),Oldenburg (Holstein),54.292143,10.886782,54.292778,10.888056,0.10872797051173541,exact,0.95
8176,15147.0,Wanfried,Wanfried,51.182213,10.170328,51.183056,10.17,0.09648515750786954,exact,0.95
8208,13152.0,Warstein,Warstein,51.447222,8.350129,51.44278,8.353611,0.549726466323266,exact,0.95
8487,13164.0,Winterberg,Winterberg,51.194241,8.533238,51.194168,8.5338888,0.04607108791539063,exact,0.95
6658,10072.0,Saalburg,Saalburg,50.501255,11.730537,50.502499,11.733611,0.25768599450215773,exact,0.95
10897,13013.0,Beverungen,Beverungen,51.664127,9.374692,51.662777,9.3725004,0.21303308053890202,exact,0.95
10936,13020.0,Borgentreich,Borgentreich,51.569773,9.240804,51.571388,9.2402782,0.18322001969174695,exact,0.95
12236,15093.0,Melsungen,Melsungen,51.131279,9.543776,51.130833,9.5436115,0.05090409967427453,exact,0.95
7651,11151.0,Bad Tennstedt,Bad Tennstedt,51.154602,10.83576,51.15361,10.838611,0.22738832451059196,exact,0.95
5831,4031.0,Parchim,Parchim,53.428167,11.848376,53.425556,11.8475,0.29607486633490393,exact,0.95
7261,10079.0,Sondershausen,Sondershausen,51.371269,10.871889,51.370277,10.869722,0.18653487835556976,exact,0.95
3305,10038.0,Ilmenau,Ilmenau,50.687144,10.914421,50.685833,10.915556,0.16626612377317945,exact,0.95
11009,12104.0,Rodenberg,Rodenberg,52.314019,9.360021,52.311668,9.351944,0.6081239848861262,exact,0.95
11020,12095.0,Otterndorf,Otterndorf,53.807724,8.899566,53.807777,8.8999996,0.02907387014937369,exact,0.95
5224,4026.0,Neubrandenburg,Neubrandenburg,53.557107,13.261152,53.55722,13.259722,0.09528666541047265,exact,0.95
12443,10089.0,Teichel,Teichel,50.786208,11.312168,50.786667,11.311944,0.05341254171651483,exact,0.95
12440,10083.0,Stadtroda,Stadtroda,50.857167,11.72709,50.857777,11.7275,0.07368167803501349,exact,0.95
12446,10097.0,Weida,Weida,50.773175,12.061207,50.773335,12.061389,0.021916122964876904,exact,0.95
11493,11108.0,Oschersleben,Oschersleben,52.026643,11.226761,52.02639,11.226944,0.030792727024812495,exact,0.95
17425,10044.0,Kranichfeld,Kranichfeld,50.852047,11.201988,50.854443,11.201667,0.2673746476438914,exact,0.95
4222,11083.0,Landsberg,Landsberg bei Halle,51.524544,12.158964,51.525276,12.158611,0.08497954464822838,exact,0.95
101,13002.0,Ahlen,Ahlen,51.763127,7.889927,51.762779,7.8897223,0.0411804655724458,exact,0.95
132,1002.0,Olsztyn,Allenstein,53.77672,20.476163,53.783333,20.483334,0.8733314165953948,exact,0.95
8583,15157.0,Wolfhagen,Wolfhagen,51.324889,9.168362,51.325832,9.1694441,0.12902928208318318,exact,0.95
338,13006.0,Attendorn,Attendorn,51.126049,7.903323,51.125,7.9050002,0.16524531271612664,exact,0.95
366,15004.0,Babenhausen,Babenhausen,49.962245,8.952945,49.962776,8.9522219,0.07849590995963836,exact,0.95
445,1006.0,Barciany,Barten,54.221833,21.347845,54.216667,21.35,0.5912729476840817,exact,0.95
516,13010.0,Belecke,Belecke,51.484286,8.339095,51.481945,8.332778,0.5090221954563201,exact,0.95
1,12089.0,Northeim,Northeim,51.705568,10.00041,51.705555,10.000278,0.009209991917294144,exact,0.95
626,8004.0,Bytom,Beuthen O.S.,50.346983,18.923447,50.348057,18.92,0.2721863469586446,exact,0.95
35,12031.0,Dransfeld,Dransfeld,51.502875,9.759786,51.502224,9.7624998,0.2013057018952011,exact,0.95
47,12079.0,Moringen,Moringen,51.698832,9.870282,51.696945,9.8708334,0.21323871973185476,exact,0.95
647,15009.0,Biedenkopf,Biedenkopf,50.911357,8.530669,50.91,8.5319443,0.17539423461996204,exact,0.95
50,12033.0,Einbeck,Einbeck,51.81823,9.86698,51.816387,9.8658333,0.21956810262646792,exact,0.95
59,11063.0,Heilbad Heiligenstadt,Heiligenstadt,51.37845,10.137951,51.378334,10.137777,0.01766964142110668,exact,0.95
65,14001.0,Aachen,Aachen,50.776489,6.083815,50.773335,6.084722,0.35646106250633897,exact,0.95
98,13001.0,Ahaus,Ahaus,52.075564,7.006802,52.075832,7.0050001,0.1267011051888555,exact,0.95
112,11001.0,Aken,Aken,51.855297,12.044939,51.852501,12.043889,0.31915576174929955,exact,0.95
122,12002.0,Alfeld ,Alfeld,51.987089,9.825358,51.987221,9.8269444,0.10962085520162466,exact,0.95
147,15001.0,Alsfeld,Alsfeld,50.750914,9.271114,50.750832,9.271389,0.021387867370259727,exact,0.95
148,11002.0,Alsleben (Saale),Alsleben,51.704118,11.677092,51.700279,11.677222,0.42697190869990986,exact,0.95
197,18003.0,Altenkirchen,Altenkirchen,50.686835,7.645567,50.686943,7.6455555,0.012036365159778656,exact,0.95
257,13004.0,Anholt,Anholt,51.846574,6.427365,51.846111,6.4274998,0.05230943828886722,exact,0.95
12439,10082.0,Stadtlengsfeld,Stadtlengsfeld,50.782259,10.131079,50.782223,10.130834,0.01768382000286093,exact,0.95
999,13029.0,Brilon,Brilon,51.395534,8.567905,51.395279,8.5680552,0.030209006641737136,exact,0.95
285,11005.0,Arendsee,Arendsee,52.881627,11.486042,52.881668,11.488889,0.19109425354435594,exact,0.95
295,11006.0,Arneburg,Arneburg,52.675187,12.005312,52.675278,12.002222,0.20857697077977594,exact,0.95
322,11008.0,Aschersleben,Aschersleben,51.755573,11.455672,51.755833,11.455,0.054546621480543726,exact,0.95
298,13005.0,Arnsberg,Arnsberg,51.397174,8.064169,51.395557,8.0647221,0.18385156487614782,exact,0.95
303,3002.0,Choszczno,Arnswalde,53.168794,15.41904,53.166668,15.4,1.2910085677976237,exact,0.95
317,22009.0,Aschaffenburg,Aschaffenburg,49.974495,9.146622,49.973331,9.1477776,0.15356417537144795,exact,0.95
350,10005.0,Auma,Auma,50.699549,11.900843,50.699722,11.900833,0.01924963732957724,exact,0.95
351,12005.0,Aurich,Aurich,53.469328,7.482427,53.469723,7.4822221,0.04596822569932978,exact,0.95
368,7025.0,Babimost,Bomst,52.162103,15.826857,52.150002,15.833333,1.4162421202171873,exact,0.95
446,1007.0,Bartoszyce,Bartenstein (Ostpreussen),54.251529,20.811104,54.250278,20.816668,0.38730400575271723,exact,0.95
1165,15014.0,Bad Camberg ,Camberg,50.298163,8.269594,50.298054,8.2658329,0.26742822256399457,exact,0.95
448,2002.0,Barth,Barth,54.368785,12.725255,54.36861,12.726389,0.07599257983511752,exact,0.95
455,7006.0,Baruth,Baruth,52.049702,13.504317,52.045277,13.501945,0.518086986983529,exact,0.95
457,7005.0,Mieszkowice,Baerwalde (Neumark),52.784962,14.494922,52.785278,14.495,0.035527040057847424,exact,0.95
473,22017.0,Baunach,Baunach,49.985809,10.851712,49.988056,10.85,0.27822472950930716,exact,0.95
476,9008.0,Bautzen,Bautzen,51.181365,14.423985,51.180832,14.4275,0.25207537125929697,exact,0.95
479,22018.0,Bayreuth,Bayreuth,49.944915,11.57351,49.943333,11.577778,0.3524473830495798,exact,0.95
494,7007.0,Beelitz,Beelitz,52.233148,12.977821,52.232224,12.9775,0.1050441593401204,exact,0.95
500,7008.0,Beeskow,Beeskow,52.17187,14.246516,52.172222,14.246667,0.04047257859710373,exact,0.95
584,7019.0,Bernau bei Berlin,Bernau,52.677802,13.588344,52.679165,13.587222,0.1693860849005997,exact,0.95
586,11013.0,Bernburg,Bernburg,51.798839,11.735776,51.794167,11.736944,0.5256762403424206,exact,0.95
612,7021.0,Pszczew,Betsche,52.479797,15.779185,52.466667,15.766666,1.6883667029572365,exact,0.95
652,13014.0,Bielefeld,Bielefeld,52.020467,8.531712,52.020557,8.5319443,0.01878356153600185,exact,0.95
1441,15017.0,Dillenburg,Dillenburg,50.739142,8.287189,50.739166,8.2872219,0.0035329721328570666,exact,0.95
671,13015.0,Billerbeck,Billerbeck,51.977533,7.291476,51.977501,7.2908335,0.04415031145403603,exact,0.95
690,1008.0,Biskupiec,Bischofsburg,53.864027,20.955109,53.863609,20.954721,0.05298725457291212,exact,0.95
695,9011.0,Bischofswerda,Bischofswerda,51.127675,14.179732,51.127499,14.179444,0.02805223080487555,exact,0.95
720,7023.0,Bledzew,Blesen,52.517464,15.414854,52.516666,15.4,1.0090051537897435,exact,0.95
713,10010.0,Blankenhain,Blankenhain,50.858975,11.344392,50.859722,11.342222,0.1734876363223362,exact,0.95
728,13017.0,Blomberg,Blomberg,51.943487,9.090953,51.943333,9.0908337,0.018976381970531593,exact,0.95
755,13019.0,Bochum,Bochum,51.481705,7.219411,51.482498,7.2169442,0.19223656062920488,exact,0.95
757,12010.0,Bockenem,Bockenem,52.008598,10.129077,52.007778,10.129167,0.09138781916355827,exact,0.95
792,4001.0,Boizenburg,Boizenburg,53.373992,10.723842,53.374168,10.7225,0.09115081577320855,exact,0.95
826,18020.0,Boppard,Boppard,50.231702,7.591199,50.231388,7.5905557,0.05755747877662967,exact,0.95
917,13026.0,Brakel,Brakel,51.717326,9.183744,51.716667,9.1841669,0.07885669345275291,exact,0.95
1750,1018.0,Elbląg,Elbing,54.158416,19.396069,54.166668,19.4,0.9526027941987321,exact,0.95
942,12016.0,Braunschweig,Braunschweig,52.262815,10.517142,52.262222,10.520278,0.22337860787653174,exact,0.95
948,13027.0,Breckerfeld,Breckerfeld,51.260288,7.466277,51.261391,7.4650002,0.15144570424749942,exact,0.95
989,8010.0,Brzeg,Brieg,50.861908,17.470135,50.866665,17.483334,1.0667147635070386,exact,0.95
2014,11041.0,Freyburg (Unstrut),Freyburg,51.212626,11.769675,51.212502,11.768888,0.05652688660534559,exact,0.95
1955,1020.0,Primorsk,Fischhausen,54.728918,20.007799,54.733334,20.0,0.7013258439309432,exact,0.95
12278,10095.0,Waltershausen,Waltershausen,50.897903,10.555962,50.897778,10.555833,0.0165843294839529,exact,0.95
1131,12022.0,Burgdorf,Burgdorf,52.446119,10.007293,52.446667,10.008611,0.10813033553406433,exact,0.95
1152,15013.0,Butzbach,Butzbach,50.434071,8.671943,50.433334,8.6719446,0.08195085248718799,exact,0.95
1154,12023.0,Buxtehude,Buxtehude,53.476376,9.700347,53.475834,9.6986113,0.1297168393109399,exact,0.95
1159,7031.0,Calau,Calau,51.746686,13.949255,51.746666,13.949166,0.006518333451451993,exact,0.95
1160,11022.0,Calbe,Calbe a. d. Saale,51.903387,11.776012,51.902779,11.774722,0.11137036786215802,exact,0.95
1177,12024.0,Celle,Celle,52.624105,10.081862,52.62611,10.080556,0.2397413934540333,exact,0.95
1214,1012.0,Dzierzgoń,Christburg,53.923065,19.346759,53.916668,19.35,0.7423023941555233,exact,0.95
2098,1024.0,Gardeja,Garnsee,53.609649,18.942869,53.607224,18.941111,0.2935322659387375,exact,0.95
