City (1500),Actual pop.,Lag-only predicted pop.,Residual,Actual / predicted,legal_capacity,merchant_capital,trade_access,agricultural_surplus,noble_extraction,conflict_risk
Nuremberg,38000.0,7698.160574150675,1.5966047458786043,4.936244137021327,3,2,2,3,0,0
Augsburg,30000.0,14348.81368898829,0.7375301126307718,2.0907651775437643,3,1,1,3,0,1
Cologne,45000.0,42319.63553788752,0.06141131431105684,1.0633361896444695,3,3,3,3,0,0
Leipzig,7000.0,4130.074967165189,0.5276145903911367,1.6948844889381456,3,3,2,2,2,0
Frankfurt am Main,12000.0,11080.970734070333,0.07967736092832567,1.0829376133179338,3,3,2,3,0,0
Regensburg,22000.0,9968.3930656704,0.7916230593388232,2.2069755732009195,3,2,2,3,0,1
Ulm,16000.0,11080.970734070333,0.36735943338010735,1.443916817757245,3,2,2,3,0,1
Bamberg,7000.0,6535.138954086152,0.06871653914685893,1.0711325419673272,3,2,2,2,2,0
Würzburg,7000.0,7698.160574150675,-0.09507126479246786,0.9093081305039287,3,2,2,2,2,1
Rothenburg ob der Tauber,6000.0,7698.160574150675,-0.2492219446197268,0.7794069690033674,3,2,2,1,0,0
