city_id,year,pop_pers,pop_pers_lag,log_pop,log_pop_lag,buringh_city,country,transport,p_lat,p_lon,elev_m,legal_capacity_cont,legal_capacity_score,merchant_capital_cont,merchant_capital_score,trade_access_cont,trade_access_score,agricultural_surplus_cont,agricultural_surplus_score,noble_extraction_cont,noble_extraction_score,conflict_risk_cont,conflict_risk_score,yr_1400,yr_1500,pred_lag_only,residual_lag_only,z_legal_capacity_cont,z_merchant_capital_cont,z_trade_access_cont,z_agricultural_surplus_cont,z_noble_extraction_cont,z_conflict_risk_cont
2001,1300,2000.0,1000.0,7.600902459542082,6.907755278982137,Anklam,Germany,river baltic,53.85,13.68,6,2.5,3,1.0,2,3.0838,2,2.8521,1,0.0,1,0.0,0,0,0,7.281551122584915,0.3193513369571672,-0.08143585334883845,-0.050788418976354825,0.4840903448407836,-0.9831930700773235,-0.16981822983744027,-0.37234730701128815
2009,1300,8000.0,1000.0,8.987196820661973,6.907755278982137,Greifswald,Germany,baltic + river,54.08,13.38,7,3.5,3,4.3,3,3.1307,3,3.0551,2,0.0,1,0.0,0,0,0,7.281551122584915,1.705645698077058,0.3710396379155492,2.076464975840967,0.5136709865035135,-0.7287040342761237,-0.16981822983744027,-0.37234730701128815
2018,1300,12000.0,2000.0,9.392661928770137,7.600902459542082,Stralsund,Germany,baltic,54.32,13.13,9,2.8,3,1.0,2,2.4845,2,3.0449,3,0.0,1,0.0,0,0,0,7.904236977768518,1.488424951001619,0.054306794030477765,-0.050788418976354825,0.10610146321020714,-0.7414911680947059,-0.16981822983744027,-0.37234730701128815
4015,1300,1000.0,1000.0,6.907755278982137,6.907755278982137,Guestrow,Germany,river baltic,53.8,12.17,13,1.8,2,0.0,0,2.3629,2,2.5609,1,0.0,1,0.0,0,0,0,7.281551122584915,-0.3737958436027782,-0.3981686972339098,-0.6954106598300887,0.029406238771231254,-1.3482532041921482,-0.16981822983744027,-0.37234730701128815
4026,1300,2000.0,1000.0,7.600902459542082,6.907755278982137,Neubrandenburg,Germany,river baltic,53.55,13.25,18,2.8,3,0.0,0,1.9787,2,2.01,0,0.0,1,0.0,0,0,0,7.281551122584915,0.3193513369571672,0.054306794030477765,-0.6954106598300887,-0.21291535028678218,-2.0388837944526466,-0.16981822983744027,-0.37234730701128815
4037,1300,10000.0,3000.0,9.210340371976184,8.006367567650246,Rostock,Germany,baltic + river,54.08,12.12,14,2.5,3,1.0,2,2.4982,2,3.2386,3,0.0,1,0.0,0,0,0,8.268484852780409,0.9418555191957747,-0.08143585334883845,-0.050788418976354825,0.11474229030571675,-0.49866098959868443,-0.16981822983744027,-0.37234730701128815
4040,1300,2000.0,2000.0,7.600902459542082,7.600902459542082,Schwerin,Germany,river baltic,53.63,11.42,38,1.8,2,1.8,1,3.338,2,3.5777,1,0.0,1,0.0,0,0,0,7.904236977768518,-0.30333451822643553,-0.3981686972339098,0.46490937370663227,0.6444186840873922,-0.07355147215933985,-0.16981822983744027,-0.37234730701128815
4051,1300,8000.0,3000.0,8.987196820661973,8.006367567650246,Wismar,Germany,baltic,53.88,11.47,13,1.0,1,1.0,2,2.767,2,2.8768,2,0.0,1,0.0,0,0,0,8.268484852780409,0.7187119678815641,-0.76014909024542,-0.050788418976354825,0.2842791022234522,-0.9522281479872271,-0.16981822983744027,-0.37234730701128815
5011,1300,2000.0,1000.0,7.600902459542082,6.907755278982137,Flensburg,Germany,baltic,54.78,9.43,26,1.8,2,0.0,0,1.9988,2,3.5451,0,0.0,1,6.0,3,0,0,7.281551122584915,0.3193513369571672,-0.3981686972339098,-0.6954106598300887,-0.2002379324313265,-0.11442015475598571,-0.16981822983744027,5.5852096051693225
5023,1300,2000.0,1000.0,7.600902459542082,6.907755278982137,Kiel,Germany,baltic + river,54.33,10.13,5,2.5,3,1.0,2,2.2124,2,3.0222,0,0.0,1,0.0,0,0,0,7.281551122584915,0.3193513369571672,-0.08143585334883845,-0.050788418976354825,-0.06551671581812571,-0.7699488090439041,-0.16981822983744027,-0.37234730701128815
