city_id,year,legal_capacity,merchant_capital,trade_access,agricultural_surplus,noble_extraction,conflict_risk,pop_pers,pop_pers_lag,pred_lag_only,residual_lag_only,display_name
23006,1250,1,1,,3,1,1,,,,,Augsburg
23006,1300,3,1,1.0,3,0,0,19000.0,13000.0,9.585762593030971,0.2664316651176062,Augsburg
23006,1350,3,1,1.0,2,0,1,,,,,Augsburg
23006,1400,3,1,1.0,2,0,1,12000.0,19000.0,9.413167708396426,-0.020505779626288856,Augsburg
23006,1450,3,1,1.0,3,0,1,,,,,Augsburg
23006,1500,3,1,1.0,3,0,1,30000.0,12000.0,9.57142254801352,0.7375301126307718,Augsburg
22016,1250,1,1,,1,2,0,,,,,Bamberg
22016,1300,1,1,1.0,1,2,0,8000.0,8000.0,9.149608688135725,-0.16241186747375203,Bamberg
22016,1350,2,2,2.0,1,2,0,,,,,Bamberg
22016,1400,3,2,2.0,1,2,0,5000.0,8000.0,8.63610089748066,-0.11890770606442125,Bamberg
22016,1450,3,2,2.0,2,2,1,,,,,Bamberg
22016,1500,3,2,2.0,2,2,0,7000.0,5000.0,8.784948888890591,0.06871653914685893,Bamberg
14060,1250,3,0,,3,1,0,,,,,Cologne (Köln)
14060,1300,3,3,2.0,3,0,0,44000.0,40000.0,10.595440469575495,0.09650444332490338,Cologne (Köln)
14060,1350,3,3,2.0,3,0,0,,,,,Cologne (Köln)
14060,1400,3,3,2.0,3,0,0,40000.0,44000.0,10.167554178197417,0.4290805548986558,Cologne (Köln)
14060,1450,3,3,2.0,3,0,0,,,,,Cologne (Köln)
14060,1500,3,3,3.0,3,0,0,45000.0,40000.0,10.6530064544414,0.06141131431105684,Cologne (Köln)
11039,1250,2,0,,2,2,3,,,,,Erfurt
11039,1300,2,3,3.0,2,2,0,16000.0,15000.0,9.714316634220182,-0.03397263299826392,Erfurt
11039,1350,2,3,3.0,2,2,3,,,,,Erfurt
11039,1400,2,3,3.0,2,2,0,11000.0,16000.0,9.258786752664262,0.046863799116245275,Erfurt
11039,1450,2,3,3.0,3,2,0,,,,,Erfurt
11039,1500,2,3,3.0,3,2,0,19000.0,11000.0,9.493256243351182,0.3589380147973955,Erfurt
15027,1250,1,3,,2,1,0,,,,,Frankfurt am Main
15027,1300,3,3,2.0,3,1,0,13000.0,4000.0,8.52692283295212,0.9457818034915526,Frankfurt am Main
15027,1350,3,3,2.0,2,1,0,,,,,Frankfurt am Main
15027,1400,3,3,2.0,2,0,1,9000.0,13000.0,9.072254802375905,0.03272505394245151,Frankfurt am Main
15027,1450,3,3,2.0,3,0,1,,,,,Frankfurt am Main
15027,1500,3,3,2.0,3,0,0,12000.0,9000.0,9.312984567841811,0.07967736092832567,Frankfurt am Main
9070,1250,3,3,,2,1,1,,,,,Leipzig
9070,1300,3,3,3.0,2,1,0,4000.0,3000.0,8.268484852780409,0.02556478732161871,Leipzig
9070,1350,3,3,3.0,2,1,0,,,,,Leipzig
9070,1400,3,3,3.0,2,1,0,3000.0,4000.0,8.013415042297055,-0.007047474646808993,Leipzig
9070,1450,3,3,2.0,2,1,0,,,,,Leipzig
9070,1500,3,3,2.0,2,2,0,7000.0,3000.0,8.326050837646314,0.5276145903911367,Leipzig
11094,1250,3,2,,2,1,1,,,,,Magdeburg
11094,1300,3,3,2.0,2,1,1,15000.0,16000.0,9.772294543319328,-0.15648906323498046,Magdeburg
11094,1350,3,3,3.0,2,1,1,,,,,Magdeburg
11094,1400,3,3,3.0,2,1,0,10000.0,15000.0,9.200808843565117,0.009531528411066859,Magdeburg
11094,1450,3,3,3.0,3,1,0,,,,,Magdeburg
11094,1500,3,3,3.0,3,1,0,18000.0,10000.0,9.407634744074196,0.39049229280410636,Magdeburg
22094,1250,3,2,,3,1,3,,,,,Nuremberg (Nürnberg)
22094,1300,3,2,2.0,3,1,2,14000.0,7000.0,9.02965132303025,0.5171612855671448,Nuremberg (Nürnberg)
22094,1350,3,2,2.0,2,1,0,,,,,Nuremberg (Nürnberg)
22094,1400,3,2,2.0,1,1,0,6000.0,14000.0,9.13882938755879,-0.4393146393485985,Nuremberg (Nürnberg)
22094,1450,3,2,2.0,3,0,0,,,,,Nuremberg (Nürnberg)
22094,1500,3,2,2.0,3,0,0,38000.0,6000.0,8.948736692829918,1.5966047458786043,Nuremberg (Nürnberg)
23123,1250,3,1,,2,1,0,,,,,Regensburg
23123,1300,3,1,1.0,2,1,3,12000.0,16000.0,9.772294543319328,-0.37963261454919106,Regensburg
23123,1350,3,1,1.0,2,1,3,,,,,Regensburg
23123,1400,3,1,1.0,1,1,1,8000.0,12000.0,9.00034877249255,-0.013151951830577602,Regensburg
23123,1450,3,1,1.0,3,1,1,,,,,Regensburg
23123,1500,3,2,2.0,3,0,1,22000.0,8000.0,9.20717467300163,0.7916230593388232,Regensburg
22109,1250,3,0,,2,1,1,,,,,Rothenburg ob der Tauber
22109,1300,3,2,2.0,2,0,1,5000.0,3000.0,8.268484852780409,0.2487083386358293,Rothenburg ob der Tauber
22109,1350,3,2,2.0,2,0,0,,,,,Rothenburg ob der Tauber
22109,1400,3,2,2.0,2,0,1,6000.0,5000.0,8.213875113369621,0.48563963484057027,Rothenburg ob der Tauber
22109,1450,3,2,2.0,1,0,3,,,,,Rothenburg ob der Tauber
22109,1500,3,2,2.0,1,0,0,6000.0,6000.0,8.948736692829918,-0.2492219446197268,Rothenburg ob der Tauber
18087,1250,3,2,,2,0,3,,,,,Speyer
18087,1300,3,2,2.0,2,0,2,9000.0,7000.0,9.02965132303025,0.07532853328810596,Speyer
18087,1350,3,2,2.0,2,0,1,,,,,Speyer
18087,1400,3,2,2.0,2,0,1,5000.0,9000.0,8.74191079232084,-0.22471760090460258,Speyer
18087,1450,3,2,2.0,2,0,3,,,,,Speyer
18087,1500,3,2,2.0,3,0,2,13000.0,5000.0,8.784948888890591,0.6877557475530818,Speyer
16085,1250,3,0,,2,0,1,,,,,Ulm
16085,1300,3,1,1.0,2,0,2,7000.0,2000.0,7.904236977768518,0.9494284502689325,Ulm
16085,1350,3,1,1.0,2,0,2,,,,,Ulm
16085,1400,3,1,1.0,2,0,2,9000.0,7000.0,8.516143532375185,0.5888363239431715,Ulm
16085,1450,3,2,2.0,3,0,1,,,,,Ulm
16085,1500,3,2,2.0,3,0,1,16000.0,9000.0,9.312984567841811,0.36735943338010735,Ulm
22145,1250,2,2,,2,2,1,,,,,Würzburg
22145,1300,3,2,2.0,2,2,3,7000.0,5000.0,8.727382904024687,0.12628252401276363,Würzburg
22145,1350,3,2,2.0,1,2,0,,,,,Würzburg
22145,1400,3,2,2.0,1,2,3,6000.0,7000.0,8.516143532375185,0.18337121583500604,Würzburg
22145,1450,3,2,2.0,2,2,2,,,,,Würzburg
22145,1500,3,2,2.0,2,2,1,7000.0,6000.0,8.948736692829918,-0.09507126479246786,Würzburg
