buringh_city,country,year,pop_pers_lag,pop_pers,residual_lag_only
Greifswald,Germany,1300,1000.0,8000.0,1.705645698077058
Nuernberg,Germany,1500,6000.0,38000.0,1.5966047458786043
Stralsund,Germany,1300,2000.0,12000.0,1.488424951001619
Freiberg,Germany,1300,1000.0,6000.0,1.4179636256252763
Landshut,Germany,1400,3000.0,9000.0,1.3500027941930144
Schwaebisch Hall,Germany,1400,2000.0,6000.0,1.30878556109674
Stendal,Germany,1400,2000.0,6000.0,1.30878556109674
Altenburg,Germany,1400,1000.0,3000.0,1.2383242357203974
Ravensburg,Germany,1400,1000.0,3000.0,1.2383242357203974
Essen,Germany,1400,1000.0,3000.0,1.2383242357203974
Frankfurt am Oder,Germany,1300,1000.0,5000.0,1.2356420688313232
Dresden,Germany,1300,1000.0,5000.0,1.2356420688313232
Naumburg,Germany,1500,1000.0,5000.0,1.1780760839654176
Zittau,Germany,1400,2000.0,5000.0,1.126464004302787
Hamburg,Germany,1500,8000.0,30000.0,1.101777987642663
