buringh_city,country,year,pop_pers_lag,pop_pers,residual_lag_only
Greifswald,Germany,1500,5000.0,2000.0,-1.1840464293485091
Prenzlau,Germany,1400,4000.0,1000.0,-1.105659763314918
Koblenz,Germany,1500,2000.0,1000.0,-1.0540476836522865
Saarbruecken,Germany,1500,2000.0,1000.0,-1.0540476836522865
Bautzen,Germany,1300,7000.0,3000.0,-1.023283755380005
Altenburg,Germany,1300,2000.0,1000.0,-0.9964816987863809
Essen,Germany,1300,2000.0,1000.0,-0.9964816987863809
Brandenburg,Germany,1300,2000.0,1000.0,-0.9964816987863809
Torgau,Germany,1300,2000.0,1000.0,-0.9964816987863809
Wetzlar,Germany,1500,4000.0,2000.0,-0.983586358275943
Koenigswinter,Germany,1500,3000.0,2000.0,-0.7251483781042314
Worms,Germany,1500,10000.0,6000.0,-0.7081199958640045
Helmstedt,Germany,1300,3000.0,2000.0,-0.6675823932383267
Freiburg,Germany,1500,9000.0,6000.0,-0.6134698196316197
Mainz,Germany,1500,9000.0,6000.0,-0.6134698196316197
