city_id,name,lat,lon,town_from,town_to,ready,year,population,distance_river_km,distance_road_km,distance_fair_km,num_fairs_50km,num_fairs_100km,has_own_fair,own_fair_category,has_own_toll,has_own_staple,has_own_bridge,has_own_ferry,has_own_harbour,on_trade_route,trade_access_score,pop_rank_key,sort_key
1036,Brugge,51.20876,3.224332,1127,1650,,1300,40000.0,0.114,0.029,0.0,2,2,1,interregional,1,1,0,0,0,1,3,40000.0,"(-40000.0, -2)"
5113,Münster (Westfalen),51.963078,7.628321,1170,1650,,1300,16000.0,25.869,0.155,0.0,8,34,1,regional,0,0,0,0,0,1,3,16000.0,"(-16000.0, -34)"
1826,Erfurt,50.977868,11.028775,1167,1650,y,1300,16000.0,68.224,0.085,48.457,4,15,0,,1,1,0,0,0,1,3,16000.0,"(-16000.0, -15)"
4705,Magdeburg,52.131591,11.638959,1188,1650,y,1300,15000.0,2.984,0.074,0.0,3,9,1,regional,1,0,0,0,0,1,3,15000.0,"(-15000.0, -9)"
973,Bremen,53.075887,8.807392,965,1650,y,1300,13000.0,0.227,0.031,0.0,6,18,1,regional,1,0,0,0,0,1,3,13000.0,"(-13000.0, -18)"
1987,Frankfurt am Main,50.110394,8.682175,1142,1650,,1300,13000.0,2.962,0.076,0.0,1,5,1,interregional,0,0,0,0,0,1,3,13000.0,"(-13000.0, -5)"
4698,Maastricht,50.85125,5.690547,1204,1650,y,1300,10000.0,3.21,0.174,0.0,4,10,1,regional,1,0,0,0,0,1,3,10000.0,"(-10000.0, -10)"
5704,Osnabrück,52.2772,8.041195,1171,1650,y,1300,9000.0,36.63,0.087,0.0,10,31,1,regional,1,0,0,0,0,1,3,9000.0,"(-9000.0, -31)"
1521,Dordrecht,51.81514,4.667133,1220,1650,,1300,8000.0,0.294,0.018,18.31,9,17,0,,1,1,0,0,0,1,3,8000.0,"(-8000.0, -17)"
4653,Lüneburg,53.24995,10.40887,1247,1650,y,1300,8000.0,10.035,0.064,0.0,6,11,1,regional,0,0,0,0,0,1,3,8000.0,"(-8000.0, -11)"
2409,Greifswald,54.09608,13.380983,1250,1650,,1300,8000.0,2.216,0.149,0.0,1,1,1,local,1,1,0,0,0,1,3,8000.0,"(-8000.0, -1)"
1545,Dortmund,51.514287,7.466708,1138,1650,,1300,7000.0,15.091,0.264,0.0,8,29,1,regional,1,0,0,0,0,1,3,7000.0,"(-7000.0, -29)"
7944,Utrecht,52.091844,5.118906,1114,1650,,1300,6000.0,0.315,0.11,0.0,11,25,1,regional,1,0,0,0,0,1,3,6000.0,"(-6000.0, -25)"
7413,Szczecin,53.424101,14.559637,1243,1650,,1300,6000.0,10.144,0.11,107.636,0,0,0,,0,1,0,0,0,1,3,6000.0,"(-6000.0, 0)"
2777,Hamburg,53.54798,9.9931,1150,1650,y,1300,5000.0,0.239,0.042,0.0,7,13,1,regional,1,0,0,0,1,1,3,5000.0,"(-5000.0, -13)"
1988,Frankfurt (Oder),52.344244,14.553598,1253,1650,,1300,5000.0,4.539,0.048,186.757,0,0,0,,1,1,0,0,0,1,3,5000.0,"(-5000.0, 0)"
8853,Zutphen,52.141452,6.195327,1191,1650,,1300,4000.0,0.346,0.054,0.0,17,39,1,regional,1,0,0,0,0,1,3,4000.0,"(-4000.0, -39)"
2456,Groningen,53.218044,6.566612,1245,1650,,1300,4000.0,0.09,0.019,0.0,3,10,1,regional,0,0,0,0,0,1,3,4000.0,"(-4000.0, -10)"
4337,Leipzig,51.339915,12.374475,1170,1650,y,1300,4000.0,7.631,0.185,0.0,4,6,1,interregional,0,0,0,0,0,1,3,4000.0,"(-4000.0, -6)"
5430,Nijmegen,51.847301,5.864896,1230,1650,,1300,3000.0,0.432,0.139,0.0,13,41,1,regional,0,0,0,0,0,1,3,3000.0,"(-3000.0, -41)"
8866,Zwolle,52.51226,6.092754,1230,1650,y,1300,3000.0,0.305,0.164,0.0,8,33,1,regional,0,0,0,0,0,1,3,3000.0,"(-3000.0, -33)"
4958,Minden,52.28806,8.916805,1230,1650,y,1300,3000.0,2.405,0.108,0.0,4,30,1,regional,1,0,0,0,0,1,3,3000.0,"(-3000.0, -30)"
5304,Neuss,51.197927,6.692717,1200,1650,,1300,3000.0,0.299,0.1,0.0,11,25,1,regional,1,0,0,0,0,1,3,3000.0,"(-3000.0, -25)"
72,Aarhus,56.157091,10.209522,1300,1650,,1300,3000.0,108.178,0.052,0.0,1,1,1,regional,1,0,0,0,0,1,3,3000.0,"(-3000.0, -1)"
