cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop800,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,inland,atlantic,baltic,northsea,medit,charter_year,market_year,first_mention,legal_family,name_loc,in_stadtebuch,in_via,staple,water
0,Aachen,Germany,50.78,6.08,176,land north sea,True,True,3000.0,13000.0,18000.0,10000.0,18000.0,0,0,1,0,0,1,0,1088.0,814.0,75.0,A01,Aachen,True,True,0.0,0
1,Aalborg,Denmark,57.5,9.85,1,north sea,False,True,0.0,1000.0,2000.0,1000.0,2000.0,0,1,0,0,0,1,0,,,,,,False,True,0.0,1
2,Aalst,Belgium,50.93,4.03,17,river north sea,True,True,0.0,3000.0,4000.0,4000.0,5000.0,1,0,0,0,0,1,0,,,,,,False,True,0.0,1
3,Aarhus,Denmark,56.17,10.22,1,north sea,False,True,1000.0,2000.0,3000.0,2000.0,3000.0,0,1,0,0,0,1,0,,,,,,False,True,0.0,1
4,Abbeville,France,50.1,1.83,7,river north sea,False,True,1000.0,3000.0,5000.0,3000.0,5000.0,1,0,0,0,0,1,0,,,,,,False,True,0.0,1
7,Acerra,Italy,40.95,14.37,26,land mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
8,Acireale,Italy,37.62,15.25,78,med,False,True,1000.0,3000.0,4000.0,2000.0,6000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
9,Acquaviva,Italy,43.95,12.42,237,land mediterranean,False,True,1000.0,2000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
10,Acqui Terme,Italy,44.68,8.47,156,river mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
11,Aderno,Italy,37.67,14.83,560,land mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
13,Afragola,Italy,40.92,14.3,43,land mediterranean,False,True,0.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
14,Agde,France,43.32,3.47,1,river mediterranean,False,True,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
15,Agen,France,44.2,0.62,47,river north sea,False,True,2000.0,5000.0,6000.0,4000.0,6000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
16,Agnone,Italy,41.8,14.37,850,land mediterranean,False,True,1000.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
18,Agrigento,Italy,37.3,13.58,172,land mediterranean,False,True,3000.0,5000.0,6000.0,4000.0,10000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
22,Aidone,Italy,37.42,14.45,800,land mediterranean,False,True,0.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
23,Aire,France,43.7,-0.27,68,river north sea,False,True,1000.0,2000.0,2000.0,5000.0,4000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
24,Aix,France,43.53,5.43,181,river mediterranean,False,True,2000.0,5000.0,6000.0,4000.0,13000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
25,Ajaccio,France,41.92,8.73,1,med,False,True,1000.0,2000.0,3000.0,2000.0,2000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
27,Alassio,Italy,44.0,8.17,6,med,False,True,0.0,2000.0,2000.0,1000.0,1000.0,0,1,0,0,0,0,1,,,,,,False,False,,1
28,Alatri,Italy,41.72,13.35,502,land mediterranean,False,True,0.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,,,,False,False,,0
29,Alba,Italy,44.7,8.03,172,river mediterranean,False,True,1000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,0,1,,,,,,False,False,,1
32,Albi,France,43.93,2.15,169,river north sea,False,True,2000.0,7000.0,10000.0,7000.0,8000.0,1,0,0,0,0,1,0,,,,,,False,False,,1
