cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop800,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,inland,atlantic,baltic,northsea,medit,charter_year,market_year,first_mention,legal_family,name_loc,in_stadtebuch,in_via,staple,water,l1200,l1500,pred1500,resid,res_p,disp
947,Koeln,Germany,50.92,6.95,46,river north sea,True,True,4000.0,40000.0,44000.0,40000.0,45000.0,1,0,0,0,0,1,0,,1500.0,-38.0,,Koeln,True,True,1.0,1,10.596634733096073,10.714417768752456,40798.87654868167,0.09800794431084192,0.11206413426481454,Cologne
1381,Nuernberg,Germany,49.45,11.07,301,river north sea,True,True,0.0,7000.0,14000.0,6000.0,38000.0,1,0,0,0,0,1,0,1200.0,1050.0,1039.0,,Nuernberg,True,True,0.0,1,8.85366542803745,10.545341438708522,9082.097736180023,1.4312809655824328,1.4703744118460467,Nuremberg
137,Augsburg,Germany,48.35,10.88,474,river black sea,True,True,3000.0,13000.0,19000.0,12000.0,30000.0,1,0,0,0,0,0,0,,900.0,14.0,A06,Augsburg,True,False,,1,9.472704636443673,10.308952660644293,15485.203571611763,0.6613124219487325,0.6915135467689328,Augsburg
704,Gdansk,Poland,54.38,18.67,15,baltic,False,True,0.0,5000.0,9000.0,20000.0,30000.0,0,1,0,0,1,0,0,1224.0,1260.0,997.0,,Danzig,True,True,1.0,1,8.517193191416238,10.308952660644293,6795.6556762288365,1.4849138447880428,1.5288406186409116,Danzig
794,Hamburg,Germany,53.55,9.98,3,north sea + river,True,True,1000.0,2000.0,5000.0,8000.0,30000.0,1,1,0,0,0,1,0,1215.0,900.0,811.0,H02,Hamburg,True,True,1.0,1,7.600902459542082,10.308952660644293,3084.8046699891715,2.274709042358241,2.33179807089999,Hamburg
89,Antwerpen,Belgium,51.22,4.42,3,north sea + river,True,True,1000.0,3000.0,7000.0,15000.0,30000.0,1,1,0,0,0,1,0,,,,,,False,True,1.0,1,8.006367567650246,10.308952660644293,4375.313969848004,1.9252190998908425,1.9764837379474258,Antwerpen
2038,Utrecht,Netherlands,52.08,5.13,1,river north sea,True,True,2000.0,3000.0,6000.0,13000.0,25000.0,1,0,0,0,0,1,0,,,,,,False,True,1.0,1,8.006367567650246,10.126631103850338,4375.313969848004,1.7428975430968876,1.794162181153471,Utrecht
1103,Luebeck,Germany,53.87,10.67,15,baltic + river,True,True,0.0,11000.0,15000.0,17000.0,25000.0,1,1,0,0,1,0,0,1160.0,,1000.0,,Luebeck,True,True,1.0,1,9.305650551780507,10.126631103850338,13408.5556280209,0.6229828419497299,0.6555836509887776,Lübeck
1604,Regensburg,Germany,49.02,12.1,332,river black sea,True,True,3000.0,16000.0,12000.0,8000.0,22000.0,1,0,0,0,0,0,0,1207.0,934.0,98.0,R04,Regensburg,True,False,,1,9.680344001221918,9.998797732340453,18520.15035840186,0.17218310546903481,0.19940155011188843,Regensburg
2180,Wien,Austria,48.22,16.33,170,river black sea,True,True,3000.0,17000.0,20000.0,20000.0,20000.0,1,0,0,0,0,0,0,,,,,,False,False,,1,9.740968623038354,9.903487552536127,19513.658082565453,0.024617638669505837,0.0509652279331565,Vienna
