id,cid,lat,lon,match_dist_km,city,country,closeness,betw_topo,node_idx,city_w,country_w,lat_w,lon_w,elev,transport,in_hre,in_cne,pop1100,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,inland,atlantic,baltic,northsea,medit,logMA1200,logMA1300,logMA1400,logMA1500,log_betw,closeness_z,lpop1200,lpop1500,g
6712,1693.0,52.850548,11.151767,1.0576910015285348,Salzwedel,Germany,0.0037077055695136,6.0,0,Salzwedel,Germany,52.86,11.15,19,river north sea,True,True,2000.0,3000.0,3000.0,2000.0,5000.0,1,0,0,0,0,1,0,12.030905177422701,12.422387323220669,12.340773035883988,12.804217138503324,1.9459101490553132,1.1554775912025246,8.006367567650246,8.517193191416238,0.5108256237659923
1017,337.0,53.121971,18.000143,0.8928362838513159,Bydgoszcz,Poland,0.0020936549787612,9032.0,1,Bydgoszcz,Poland,53.13,18.0,60,river baltic,False,True,0.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,1,0,0,10.507196655611235,11.011056310504737,11.16062072227805,11.599855107443835,9.108639817149843,-1.1465499168557545,6.907755278982137,7.600902459542082,0.6931471805599454
1036,319.0,51.20876,3.224332,1.3107042891660488,Brugge,Belgium,0.0030212459711017,0.0,2,Brugge,Belgium,51.22,3.23,2,north sea,True,True,7000.0,10000.0,40000.0,37000.0,35000.0,0,1,0,0,0,1,0,12.151636937318086,12.65730056582008,12.627233185860359,13.042856505746274,0.0,0.17641975511686026,9.210340371976184,10.46310334047155,1.2527629684953663
2456,767.0,53.218044,6.566612,1.1271915962284076,Groningen,Netherlands,0.0036259590340763,0.0,3,Groningen,Netherlands,53.22,6.55,1,river north sea,True,True,2000.0,3000.0,4000.0,5000.0,14000.0,1,0,0,0,0,1,0,12.20961856242871,12.673919008703505,12.611055731743823,13.023988988752444,0.0,1.0388872102421594,8.006367567650246,9.546812608597396,1.5404450409471497
268,89.0,51.221248,4.399862,1.4093408827240856,Antwerpen,Belgium,0.0030915022505911,0.0,4,Antwerpen,Belgium,51.22,4.42,3,north sea + river,True,True,2000.0,3000.0,7000.0,15000.0,30000.0,1,1,0,0,0,1,0,12.216638228686485,12.769724238403517,12.714137715144735,13.088882066558346,0.0,0.2766222450047619,8.006367567650246,10.308952660644293,2.302585092994047
941,294.0,54.381613,19.823706,2.084757463441107,Braniewo,Poland,0.0018703043145669,450.0,5,Braniewo,Poland,54.4,19.83,14,river baltic,False,True,0.0,0.0,1000.0,2000.0,3000.0,1,0,0,0,1,0,0,10.22382531991939,10.765389765180906,11.012146346528006,11.438287285466213,6.111467339502679,-1.465102120773159,,8.006367567650246,
1239,483.0,51.945492,7.167782,1.7293317684733072,Coesfeld,Germany,0.0031454332073803,0.0,6,Coesfeld,Germany,51.93,7.17,89,river north sea,True,True,1000.0,1000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,12.160154995599841,12.623453554940042,12.562929982411877,12.952651716845596,0.0,0.3535408662524191,6.907755278982137,6.907755278982137,0.0
2048,691.0,50.55032,9.677818,0.1582192477761261,Fulda,Germany,0.0030246390072616,284.0,7,Fulda,Germany,50.55,9.68,261,river north sea,True,True,2000.0,2000.0,3000.0,2000.0,4000.0,1,0,0,0,0,1,0,11.863370710775134,12.26941808752307,12.137075330049125,12.552513182555225,5.652489180268651,0.18125904740464752,7.600902459542082,8.294049640102028,0.6931471805599454
2791,799.0,50.13654,8.917454,0.7495159788146992,Hanau,Germany,0.0028228091842667,0.0,8,Hanau,Germany,50.13,8.92,103,river north sea,True,True,2000.0,2000.0,2000.0,1000.0,1000.0,1,0,0,0,0,1,0,11.977711216291963,12.43745970469787,12.345670193421089,12.729385263148114,0.0,-0.10659921871339854,7.600902459542082,6.907755278982137,-0.6931471805599454
4746,1148.0,50.808961,8.770484,1.22795340129231,Marburg,Germany,0.0029072327139874,32.0,9,Marburg,Germany,50.82,8.77,186,river north sea,True,True,1000.0,1000.0,2000.0,1000.0,2000.0,1,0,0,0,0,1,0,11.839969272104149,12.255771339861186,12.13111820782086,12.528425515170053,3.4965075614664802,0.013809205197175519,6.907755278982137,7.600902459542082,0.6931471805599454
6297,1602.0,51.61491,7.198298,3.8836000204720458,Recklinghausen,Germany,0.0031358943464337,0.0,10,Recklinghausen,Germany,51.58,7.2,85,land north sea,True,True,1000.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,12.216378067984909,12.687056774094026,12.628643037524467,13.016584754374547,0.0,0.33993613761477476,6.907755278982137,6.907755278982137,0.0
7115,1788.0,50.874588,8.024642,0.6337345356158576,Siegen,Germany,0.0027350735244095,10.0,11,Siegen,Germany,50.87,8.03,267,land north sea,True,True,0.0,1000.0,2000.0,2000.0,3000.0,0,0,1,0,0,1,0,11.868244685858544,12.30427488247466,12.210969679589274,12.591458170072658,2.3978952727983707,-0.23173154330476667,6.907755278982137,8.006367567650246,1.0986122886681091
5160,1309.0,52.606647,12.876269,0.8517755432458973,Nauen,Germany,0.0032503958423433,0.0,12,Nauen,Germany,52.6,12.87,35,land north sea,True,True,0.0,1000.0,1000.0,1000.0,1000.0,0,0,1,0,0,1,0,11.75827695512154,12.15889300673855,12.072070385921593,12.541043820729506,0.0,0.5032430344418742,6.907755278982137,6.907755278982137,0.0
7722,1833.0,55.082141,21.903648,1.5239043478020602,Sovetsk,Russia,0.0017571103891696,0.0,13,Sovetsk,Russia,55.08,21.88,10,river baltic,False,False,0.0,0.0,1000.0,1000.0,2000.0,1,0,0,0,1,0,0,9.96608382503856,10.531998654222592,10.807711548050673,11.219268525225466,0.0,-1.6265441049975893,,7.600902459542082,
5622,1397.0,54.292143,10.886782,1.7348569552442914,Oldenburg,Germany,0.0029707971281715,0.0,14,Oldenburg,Germany,54.28,10.87,8,baltic,True,True,2000.0,1000.0,1000.0,1000.0,1000.0,0,1,0,0,1,0,0,11.583529313244094,11.98118322901833,11.897224413708647,12.36640903813328,0.0,0.10446747255495209,6.907755278982137,6.907755278982137,0.0
8757,476.0,51.819369,10.33924,2.2454661891157173,Clausthal Zellerfeld,Germany,0.003398981545678,250.0,15,Clausthal Zellerfeld,Germany,51.8,10.33,560,land north sea,True,True,0.0,0.0,0.0,0.0,1000.0,0,0,1,0,0,1,0,11.993881979586615,12.368718008480986,12.24983696808445,12.698242294255138,5.5254529391317835,0.7151622755985089,,6.907755278982137,
