cid,pop1500_bur,pop1500_bai
0,18000.0,18000.0
2,5000.0,5000.0
6,3000.0,3000.0
9,3000.0,3000.0
18,10000.0,10000.0
24,13000.0,13000.0
32,8000.0,8000.0
34,8000.0,8000.0
35,2000.0,2000.0
36,6000.0,6000.0
39,20000.0,20000.0
40,3000.0,3000.0
45,8000.0,8000.0
49,3000.0,3000.0
50,5000.0,5000.0
56,9000.0,30000.0
59,6000.0,6000.0
61,3000.0,3000.0
62,2000.0,2000.0
63,1000.0,1000.0
65,2000.0,2000.0
69,7000.0,7000.0
70,20000.0,20000.0
71,12000.0,15000.0
76,5000.0,5000.0
79,13000.0,13000.0
83,4000.0,4000.0
84,2000.0,2000.0
87,10000.0,10000.0
89,30000.0,30000.0
93,10000.0,10000.0
100,12000.0,12000.0
102,6000.0,6000.0
107,4000.0,4000.0
108,4000.0,4000.0
109,10000.0,10000.0
110,2000.0,2000.0
114,6000.0,6000.0
117,11000.0,11000.0
126,4000.0,4000.0
127,8000.0,8000.0
128,7000.0,7000.0
131,5000.0,5000.0
137,30000.0,30000.0
143,4000.0,4000.0
147,18000.0,18000.0
148,10000.0,10000.0
160,14000.0,14000.0
161,14000.0,14000.0
173,7000.0,7000.0
179,2000.0,2000.0
180,20000.0,20000.0
181,8000.0,8000.0
182,8000.0,8000.0
186,10000.0,10000.0
187,3000.0,3000.0
191,5000.0,5000.0
194,2000.0,2000.0
198,10000.0,10000.0
202,6000.0,6000.0
207,1000.0,1000.0
223,18000.0,18000.0
224,7000.0,7000.0
229,9000.0,9000.0
230,3000.0,3000.0
232,3000.0,3000.0
234,9000.0,9000.0
238,6000.0,6000.0
241,3000.0,3000.0
242,2000.0,2000.0
248,1000.0,3000.0
252,3000.0,3000.0
255,6000.0,6000.0
261,1000.0,1000.0
265,50000.0,50000.0
271,50000.0,50000.0
281,2000.0,2000.0
284,5000.0,5000.0
285,32000.0,32000.0
290,4000.0,4000.0
294,3000.0,3000.0
297,18000.0,18000.0
300,18000.0,18000.0
302,49000.0,49000.0
304,1000.0,1000.0
308,4000.0,4000.0
318,1000.0,1000.0
319,35000.0,35000.0
320,33000.0,33000.0
322,12000.0,12000.0
328,8000.0,8000.0
339,4000.0,4000.0
342,2000.0,2000.0
343,13000.0,25000.0
344,4000.0,4000.0
353,8000.0,8000.0
359,7000.0,7000.0
363,3000.0,3000.0
383,7000.0,7000.0
384,3000.0,3000.0
387,4000.0,4000.0
396,7000.0,7000.0
398,4000.0,4000.0
399,4000.0,4000.0
407,14000.0,14000.0
417,1000.0,1000.0
425,7000.0,7000.0
429,8000.0,8000.0
431,2000.0,2000.0
437,10000.0,10000.0
444,4000.0,4000.0
472,6000.0,6000.0
478,3000.0,3000.0
482,3000.0,3000.0
484,6000.0,6000.0
486,8000.0,8000.0
491,10000.0,10000.0
503,3000.0,3000.0
504,35000.0,35000.0
505,4000.0,4000.0
506,5000.0,5000.0
510,5000.0,5000.0
516,4000.0,4000.0
519,12000.0,12000.0
520,40000.0,40000.0
525,13000.0,13000.0
541,9000.0,9000.0
542,12000.0,12000.0
543,5000.0,5000.0
547,2000.0,2000.0
548,7000.0,7000.0
