cid,city,country,lat,lon,elev,transport,in_hre,in_cne,pop800,pop900,pop1000,pop1100,pop1200,pop1300,pop1400,pop1500,on_river,on_coast,inland,atlantic,baltic,northsea,medit,l800,l1000,l1200,l1300,l1400,l1500,elev_z
0,Aachen,Germany,50.78,6.08,176,land north sea,True,True,3000.0,4000.0,6000.0,9000.0,13000.0,18000.0,10000.0,18000.0,0,0,1,0,0,1,0,8.006367567650246,8.699514748210191,9.472704636443673,9.798127036878302,9.210340371976184,9.798127036878302,-0.04318824833961403
1,Aalborg,Denmark,57.5,9.85,1,north sea,False,True,0.0,0.0,0.0,0.0,1000.0,2000.0,1000.0,2000.0,0,1,0,0,0,1,0,,,6.907755278982137,7.600902459542082,6.907755278982137,7.600902459542082,-0.9066592842221425
2,Aalst,Belgium,50.93,4.03,17,river north sea,True,True,0.0,0.0,1000.0,2000.0,3000.0,4000.0,4000.0,5000.0,1,0,0,0,0,1,0,,6.907755278982137,8.006367567650246,8.294049640102028,8.294049640102028,8.517193191416238,-0.8277133609414542
3,Aarhus,Denmark,56.17,10.22,1,north sea,False,True,1000.0,1000.0,2000.0,2000.0,2000.0,3000.0,2000.0,3000.0,0,1,0,0,0,1,0,6.907755278982137,7.600902459542082,7.600902459542082,8.006367567650246,7.600902459542082,8.006367567650246,-0.9066592842221425
4,Abbeville,France,50.1,1.83,7,river north sea,False,True,1000.0,1000.0,2000.0,2000.0,3000.0,5000.0,3000.0,5000.0,1,0,0,0,0,1,0,6.907755278982137,7.600902459542082,8.006367567650246,8.517193191416238,8.006367567650246,8.517193191416238,-0.8770545629918843
7,Acerra,Italy,40.95,14.37,26,land mediterranean,False,True,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,6.907755278982137,6.907755278982137,7.600902459542082,7.600902459542082,6.907755278982137,7.600902459542082,-0.783306279096067
8,Acireale,Italy,37.62,15.25,78,med,False,True,1000.0,1000.0,2000.0,2000.0,3000.0,4000.0,2000.0,6000.0,0,1,0,0,0,0,1,6.907755278982137,7.600902459542082,8.006367567650246,8.294049640102028,7.600902459542082,8.699514748210191,-0.5267320284338299
9,Acquaviva,Italy,43.95,12.42,237,land mediterranean,False,True,1000.0,1000.0,2000.0,2000.0,2000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,6.907755278982137,7.600902459542082,7.600902459542082,8.006367567650246,7.600902459542082,8.006367567650246,0.25779308416801017
10,Acqui Terme,Italy,44.68,8.47,156,river mediterranean,False,True,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,1000.0,2000.0,1,0,0,0,0,0,1,6.907755278982137,6.907755278982137,7.600902459542082,7.600902459542082,6.907755278982137,7.600902459542082,-0.14187065244047442
11,Aderno,Italy,37.67,14.83,560,land mediterranean,False,True,2000.0,2000.0,2000.0,2000.0,3000.0,3000.0,2000.0,3000.0,0,0,1,0,0,0,1,7.600902459542082,7.600902459542082,8.006367567650246,8.006367567650246,7.600902459542082,8.006367567650246,1.8515139103969054
13,Afragola,Italy,40.92,14.3,43,land mediterranean,False,True,0.0,0.0,0.0,0.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,6.907755278982137,7.600902459542082,6.907755278982137,7.600902459542082,-0.6994262356103357
14,Agde,France,43.32,3.47,1,river mediterranean,False,True,2000.0,2000.0,2000.0,2000.0,3000.0,3000.0,2000.0,3000.0,1,0,0,0,0,0,1,7.600902459542082,7.600902459542082,8.006367567650246,8.006367567650246,7.600902459542082,8.006367567650246,-0.9066592842221425
15,Agen,France,44.2,0.62,47,river north sea,False,True,2000.0,2000.0,3000.0,4000.0,5000.0,6000.0,4000.0,6000.0,1,0,0,0,0,1,0,7.600902459542082,8.006367567650246,8.517193191416238,8.699514748210191,8.294049640102028,8.699514748210191,-0.6796897547901636
16,Agnone,Italy,41.8,14.37,850,land mediterranean,False,True,1000.0,0.0,0.0,1000.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,6.907755278982137,,6.907755278982137,7.600902459542082,6.907755278982137,7.600902459542082,3.2824087698593813
18,Agrigento,Italy,37.3,13.58,172,land mediterranean,False,True,3000.0,3000.0,3000.0,4000.0,5000.0,6000.0,4000.0,10000.0,0,0,1,0,0,0,1,8.006367567650246,8.006367567650246,8.517193191416238,8.699514748210191,8.294049640102028,9.210340371976184,-0.06292472915978611
22,Aidone,Italy,37.42,14.45,800,land mediterranean,False,True,0.0,0.0,0.0,0.0,1000.0,2000.0,1000.0,2000.0,0,0,1,0,0,0,1,,,6.907755278982137,7.600902459542082,6.907755278982137,7.600902459542082,3.03570275960723
23,Aire,France,43.7,-0.27,68,river north sea,False,True,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0,5000.0,4000.0,1,0,0,0,0,1,0,6.907755278982137,7.600902459542082,7.600902459542082,7.600902459542082,8.517193191416238,8.294049640102028,-0.5760732304842602
24,Aix,France,43.53,5.43,181,river mediterranean,False,True,2000.0,2000.0,3000.0,4000.0,5000.0,6000.0,4000.0,13000.0,1,0,0,0,0,0,1,7.600902459542082,8.006367567650246,8.517193191416238,8.699514748210191,8.294049640102028,9.472704636443673,-0.018517647314398932
25,Ajaccio,France,41.92,8.73,1,med,False,True,1000.0,2000.0,2000.0,2000.0,2000.0,3000.0,2000.0,2000.0,0,1,0,0,0,0,1,6.907755278982137,7.600902459542082,7.600902459542082,8.006367567650246,7.600902459542082,7.600902459542082,-0.9066592842221425
27,Alassio,Italy,44.0,8.17,6,med,False,True,0.0,1000.0,1000.0,1000.0,2000.0,2000.0,1000.0,1000.0,0,1,0,0,0,0,1,,6.907755278982137,7.600902459542082,7.600902459542082,6.907755278982137,6.907755278982137,-0.8819886831969274
