cid,city,country,lat,lon,in_hre,in_cne,city_id,name_loc
0,Aachen,Germany,50.78,6.08,True,True,14001,Aachen
61,Altenburg,Germany,50.98,12.43,True,True,10002,Altenburg
66,Amberg,Germany,49.45,11.87,True,True,23004,Amberg
74,Andernach,Germany,50.43,7.4,True,True,18005,Andernach
82,Anklam,Germany,53.85,13.68,True,True,2001,Anklam
86,Ansbach,Germany,49.28,10.6,True,True,22006,Ansbach
120,Aschaffenburg,Germany,49.98,9.15,True,True,22009,Aschaffenburg
121,Aschersleben,Germany,51.75,11.45,True,True,11008,Aschersleben
137,Augsburg,Germany,48.35,10.88,True,True,23006,Augsburg
154,Bad Hersfeld,Germany,50.87,9.7,True,True,15061,Hersfeld
156,Bad Kreuznach,Germany,49.87,7.85,True,True,18010,Bad Kreuznach
159,Baden-Baden,Germany,48.77,8.23,True,True,21003,Baden-Baden
173,Bamberg,Germany,49.88,10.88,True,True,22016,Bamberg
183,Barmen,Germany,51.28,7.22,True,True,14113,Wuppertal-Barmen
191,Bautzen,Germany,51.18,14.48,True,True,9008,Bautzen
194,Bayreuth,Germany,49.95,11.58,True,True,22018,Bayreuth
200,Beckum,Germany,51.75,8.03,True,True,13009,Beckum
227,Bergisch-Gladbach,Germany,51.0,7.13,True,True,14008,Bergisch Gladbach
229,Berlin,Germany,52.52,13.4,True,True,7010,Berlin
232,Bernburg,Germany,51.8,11.73,True,True,11013,Bernburg
241,Biberach,Germany,48.1,9.97,True,True,17006,Biberach
242,Bielefeld,Germany,52.02,8.52,True,True,13014,Bielefeld
249,Bingen,Germany,49.97,7.9,True,True,18017,Bingen
261,Bochum,Germany,51.47,7.08,True,True,13019,Bochum
269,Bonn,Germany,50.73,7.08,True,True,14012,Bonn
280,Bottrop,Germany,51.52,6.92,True,True,13025,Bottrop
293,Brandenburg,Germany,52.4,12.53,True,True,7027,Brandenburg
294,Braniewo,Poland,54.4,19.83,False,True,1011,Braunsberg
297,Braunschweig,Germany,52.25,10.5,True,True,12016,Braunschweig
299,Breisach am Rhein,Germany,48.02,7.6,True,True,21009,Breisach
300,Bremen,Germany,53.08,8.8,True,True,12017,Bremen
301,Bremerhaven,Germany,53.55,8.58,True,True,12019,Bremerhaven
318,Bruchsal,Germany,49.12,8.58,True,True,20005,Bruchsal
321,Brzeg,Poland,50.87,17.45,False,True,8010,Brieg
325,Burg,Germany,52.28,11.85,True,True,11020,Burg b. M.
417,Celle,Germany,52.62,10.08,True,True,12024,Celle
420,Cernjahovsk,Russia,54.63,21.82,False,False,1034,Insterburg
