terr_id,mean_resid,sd,n,cities,terr_name,ruler_type,se2,shrunk
B043,0.10810968923162995,0.2188511983192113,9,2,Bamberg (Hochstift),church,0.0053217607784171944,0.021447170820686978
K149,0.14329915799864917,0.25549011522984444,8,1,Köln (freie Reichsstadt),self,0.008159399872519898,0.019915589387297775
Q004,0.14133591033759413,0.26218167027646694,8,1,Quedlinburg,noble,0.008592403528619754,0.01878442735060017
H0101,0.11568467905916806,0.5610235211985056,46,23,Habsburg (Leopoldinische/Maximilianeische Linie),noble,0.006842334594303698,0.018672988111821887
B376,0.36492603127278245,0.5526996518354899,12,3,Brandenburg-Ansbach,noble,0.02545640876158931,0.01795125523818365
D063,0.3336685860256125,0.5721099819875975,14,8,Deutscher Orden; Deutscher Ritterorden (Deutschmeister),church,0.023379273677846372,0.01779416052062642
B3742,0.03919881790189948,0.718684003838446,240,68,(Hohenzollern-)Brandenburg (jüngere Linie),noble,0.0021521112390552478,0.01488146390433491
L339,0.12257175202512662,0.42667555362129783,19,19,(Limburg-)Luxemburg,noble,0.009581685687265315,0.014811850479121053
A270,0.16105679187482774,0.3415385381702575,8,1,Augsburg (Reichsstadt; Reichsvogteistadt),self,0.014581071631934553,0.01334221585528012
A002,0.16295753532637777,0.34836548510374993,8,1,Aachen,noble,0.015169813901446377,0.013017605443595865
M027,0.08126307170517402,0.4861083442159611,31,5,Mainz (Erzstift),church,0.007622623300528494,0.011972003903012247
L316,0.11524019725539908,0.3083802073238012,8,1,Lübeck (Reichsstadt),self,0.011887294033633828,0.011494286936189601
H266,0.2518811899687873,0.5593294046977403,10,3,Hessen-Darmstadt (=Großherzogtum Hessen),noble,0.03128493829595285,0.010175272169551311
B377,0.3511300828187826,0.7414376872029885,12,3,Brandenburg-Bayreuth,noble,0.045810820333743056,0.009812609300736524
P020,0.08092235741226816,0.28829902861126727,8,1,Passau (Hochstift),church,0.010389541237275039,0.00910401677239691
L0071,0.1256858718651141,0.4330149754208483,11,4,Lüneburg (jüngere Linie),noble,0.017045633539883445,0.009014568744541058
R081,0.10326931654816832,0.33204278327383363,8,1,Regensburg (freie Stadt; freie Reichsstadt),self,0.013781551240529256,0.009008020321631689
H262,0.12089544484465894,0.7260082482537228,28,6,Hessen (Grafschaft; Landgrafschaft; Land) (=Kurfürstentum Hessen),noble,0.018824570590444258,0.00790515004082804
C080,0.10711471200889436,0.4814787978560307,14,3,Cirksena,noble,0.016558702341777747,0.007891861482717172
C016,0.09094656473460769,0.34308646046743474,8,2,Cammin,noble,0.014713539919509083,0.0074719081239509625
N236,0.29266980444793333,0.6905583704778699,8,2,Nürnberg (Reichsstadt),self,0.05960885787963138,0.006326596534807145
W480,0.044347453517266405,0.519777016542875,34,5,Württemberg (Grafen; Herzogtum; KÃönigreich; Land; Landesteil).,noble,0.007946121968418004,0.006305277158363298
A060,0.014764686946088972,0.5448639392189806,167,37,Albertiner,noble,0.0017777048638396705,0.006283411986921566
P054,0.03998287206900264,0.5467069533415455,32,16,Pfalz(-Zweibrücken)-Neuburg,noble,0.009340265400999838,0.004941072619186835
0J0011,0.25340032654166744,0.7829782561036288,9,4,Jagiellonen (Polen),noble,0.06811721661456442,0.004806484288032832
H044,0.06318944393647873,0.46785149269054094,12,3,Halberstadt,noble,0.018240418267730606,0.004255263967692432
O104,0.059534912018091135,0.7814145109476348,30,8,Oldenburg in Holstein,noble,0.020353621263984375,0.0036182111259194473
U018,0.07496019843878295,0.47885382526573805,8,1,Ulm (Reichsstadt),self,0.028662623246453748,0.0032930494087751866
M115,0.07588143273062517,0.5324176664711193,8,2,Mecklenburg-Güstrow (Herzogtum),noble,0.03543357144631901,0.0027193504690643648
B400,0.05828557342499012,0.5501513436453412,10,3,Braunschweig-Dannenberg (ab 1634 Braunschweig-Wolfenbüttel genannt),noble,0.030266650091477436,0.002430482299123827
M116,0.13762116684007383,0.8919793080970978,10,3,Mecklenburg-Schwerin (Herzogtum) (jüngere Linie),noble,0.07956270860733773,0.0022409882364919165
W487,0.016670894901052998,0.3448034307091073,12,3,Würzburg (Hochstift. Großherzogtum),church,0.009907450485730846,0.0019560813280067434
P156,0.022477995663168167,0.45823579709222495,9,5,Preußen,noble,0.02333111619297186,0.00120106762851687
S581,0.043271112626317,0.670839838444401,8,1,Speyer (Hochstift).,church,0.05625326110551375,0.00098990547791942
S037,0.021484930650150637,0.5985054401742406,11,6,Sachsen-Lauenburg,noble,0.03256443290165104,0.0008351527569146597
R167,0.0038610320006725006,0.20056471053147504,8,1,Reutlingen,noble,0.005028275388821796,0.0008013924767756013
B108,0.0034171275490908143,0.4413282666708367,28,5,Bayern-München,noble,0.006956094248667327,0.0005439837840034859
F208,0.00044282506395824234,0.23108429936982586,8,1,Fulda,noble,0.006674994176905412,7.297426421169123e-05
S362,-0.0015134044410941294,0.5291258847654159,8,1,Schwäbisch Hall (Reichsstadt),self,0.034996775241098024,-5.4887993687010745e-05
E066,-0.003910173765953817,0.4936170471342429,8,1,Eichstätt,noble,0.030457223652691174,-0.00016207454838826753
P047,-0.0009379278300030408,0.7341288848408672,89,26,Pfalz (Pfalzgrafschaft bei Rhein; Kurfürstentum; Regierungsbezirk; Landesteil),noble,0.006055564264693206,-0.00016754961350599673
S361,-0.025290731012742013,0.5219734973902634,8,1,Schwäbisch Gmünd ,noble,0.03405704149722792,-0.0009416086666626363
M328,-0.007478381519512528,0.4608996315278728,31,4,Münster(Westfalen) (Hochstift),church,0.0068525313013719,-0.001205599878529726
K045,-0.03950727312658331,0.5338261502017838,8,1,Kaufbeuren,noble,0.03562129482990718,-0.001408620388286795
S253,-0.012627866205125857,0.4478918023075264,24,5,Schleswig-Holstein-Gottorp-(Oldenburg); Schleswig-Holstein-Gottorf ,noble,0.008358627773928514,-0.0017188728276921026
R059,-0.11176351645347947,0.6741829496735111,8,1,Ravensburg (Reichsstadt),self,0.0568153312038095,-0.0025320727806197067
M146,-0.06315735361950794,0.4909884200667365,8,1,Memmingen,noble,0.03013370357995376,-0.002644766077302032
S421,-0.026858380856451203,0.3060285624193161,8,1,Schweinfurt (Reichsstadt),self,0.011706685127054155,-0.0027160587311395442
H309,-0.04421033135143662,0.4829135924197261,12,2,Hildesheim,noble,0.01943379481197711,-0.002805967019976945
E199,-0.10030271810215788,0.5676293985153976,8,1,Esslingen; Eßlingen,noble,0.04027539175736901,-0.003176088524932027
D105,-0.06900187038668766,0.4637434280913432,8,1,Dinkelsbühl,noble,0.026882245887238854,-0.003222678900838976
W462,-0.3040875071564144,0.9818093453437622,8,1,Worms (Reichsstadt. freie Stadt),self,0.12049369882554337,-0.003287812996821772
W2890,-0.014833060164079096,0.4683755775468247,57,27,,,0.0038486961691635365,-0.003781758943699119
O136,-0.13791279109167776,0.6040319383715107,8,1,Osnabrück (Hochstift),church,0.04560682282160556,-0.0038708378853227446
