terr_id,terr_name,ruler_type,subtype
0A0001,Aachen-Burtscheid,noble,family_line
0A0002,Freie Reichsstadt Anweiler,self,imperial_city
0A0003,Grafen von Altendorf,noble,county
0A0004,Alaholfinger,noble,family_line
0A0005,Grafen von Aichelberg,noble,county
0A0006,Adelberg,noble,family_line
0A0007,Stift Aschaffenburg,church,monastery_chapter
0A0008,Mgrf. Alcibiades,noble,family_line
0A0009,Pfalzkapelle Altötting,noble,family_line
0A0010,Adelhardsbaar,noble,family_line
0A0012,Alemannenreich,noble,family_line
0A0013,Austrasien,noble,family_line
0A0014,Bergherr Allnped,noble,family_line
0A0015,Albgau,noble,family_line
0A0016,Schenken zu Apolda,noble,family_line
0A0017,Viztume zu Apolda,noble,family_line
0A0018,Kloster St. Aegidii,church,monastery_chapter
0A0019,von Alvensleben,noble,family_line
0A0020,Herren von Allerstedt,noble,knight_lord
0A0021,Herren von Atterodt,noble,knight_lord
0A0022,Freiherren von Arnstorff,noble,knight_lord
0A0023,von Asleben,noble,family_line
0A0024,von Arnstedt,noble,family_line
0A0025,von Arneburg,noble,family_line
0A0026,Altenburg (Burggrafen),noble,burgraviate
1A0001,Albrecht von Preußen,noble,family_line
0B0002,Baumbach-Bebra,noble,family_line
0B0003,Blois,noble,family_line
0B0004,Bartholomäusstift in Frankfurt,church,monastery_chapter
0B0005,Herren von Bicken/Picken,noble,knight_lord
0B0006,Grafschaft Bornheimer Berg,noble,county
0B0007,die von Bevensen,noble,family_line
0B0008,Herren von Boxberg,noble,knight_lord
0B0009,Boxberg,noble,family_line
0B0010,Brandhoch,noble,family_line
0B0011,Grafen von Berg-Schlelklingen,noble,county
0B0012,von Buttler,noble,family_line
0B0013,Kloster Baumburg,church,monastery_chapter
0B0014,Franziskanerkloster zu den Barfüßern (Augsburg),church,monastery_chapter
0B0015,Brandecker,noble,family_line
0B0016,von Blankenwald,noble,family_line
0B0017,von Breitenlandenberg,noble,family_line
0B0018,von Brohl,noble,family_line
0B0019,von Büren,noble,family_line
0B0020,von Berbisdorf,noble,family_line
0B0021,von Bergau,noble,family_line
0B0022,(Herren von; Reichsstadt) Bräunlingen,self,imperial_city
0B0023,von Berncastel,noble,family_line
0B0024,von Beust,noble,family_line
0B0025,Bernh. Von Bach,noble,family_line
0B0026,von Bleichen-Blankenheim,noble,family_line
0B0027,von Bleichen,noble,family_line
0B0028,Kloster Bürgel,church,monastery_chapter
0B0029,Ritterfamilie von Berlstedt,noble,family_line
0B0030,Herren von Bockmast,noble,knight_lord
0B0031,von Bertensleben,noble,family_line
0B0032,von Bülow,noble,family_line
0B0033,von Bodendik,noble,family_line
0B0034,von Baisen,noble,family_line
0B0035,Melchior von Bodenhausen,noble,family_line
0B0036,von Brilon,noble,family_line
0B0037,von Bismarck,noble,family_line
0B0038,von Buch,noble,family_line
0B0039,von Biberstein (Bieberstein),noble,family_line
0B0040,Burgsdorf,noble,family_line
0B0041,von Bredow,noble,family_line
0B0042,Reichsfreiherren von Bömmelburg,noble,knight_lord
0B0043,Edelherren vom Berge,noble,knight_lord
0B0044,Freiherren von Bernsau,noble,knight_lord
0B0045,Ritter von Bergel,noble,knight_lord
0B0046,Bottlenberg-Kessel,noble,family_line
0B0047,Herren von Bylandt,noble,knight_lord
0B0048,Kloster Buch,church,monastery_chapter
0B0049,Forst-und Jagdbesitz Bothfeld,noble,family_line
0B0050,Grafen von Buch,noble,county
0B0051,von Beville,noble,family_line
0B0052,von Beerfelde,noble,family_line
0B0053,von Bredow,noble,family_line
0B0054,von Bhern,noble,family_line
0B0055,Bircke von der Duba,noble,family_line
0B0056,von Bortfeld,noble,family_line
0B0057,von Brandstein,noble,family_line
0B0058,von Byern,noble,family_line
0B0059,von Beltheim,noble,family_line
0B0060,von Bardeleben,noble,family_line
0B0061,von Bülzingsleben,noble,family_line
0B0062,von Barnewitz,noble,family_line
0B0063,Bülow,noble,family_line
0B0064,von Bevernest,noble,family_line
0B0065,von Beer,noble,family_line
0B0066,Kloster Belbuck,church,monastery_chapter
0B0067,von Borcke,noble,family_line
0B0068,Grafen von Botwide,noble,county
0B0069,Ritter von Barmstede,noble,knight_lord
0B0070,von Belzig,noble,family_line
0B0071,Biterolf; Ritter,noble,knight_lord
0B0072,von Bennewitz,noble,family_line
0B0073,von Bigslaw,noble,family_line
0B0074,von Bertekow,noble,family_line
0B0075,von Beausorbe,noble,family_line
0B0076,Blücher,noble,family_line
0B0077,von Bosel,noble,family_line
0B0078,von Buchtitz,noble,family_line
0B0079,Bourbonen (Frankreich),noble,family_line
0B0080,Bathory (Polen),noble,family_line
0B0081,Bayern-Leuchtenberg,noble,family_line
0B0082,(Wittelsbach-)Brandenburg,noble,family_line
0B0083,Herren von Borch,noble,knight_lord
0B0084,Bartensleben,noble,family_line
0B0085,Banffy de Lindaw,noble,family_line
1B0001,Jérôme Bonaparte (Kgr. Westphalen),noble,family_line
1B0002,Konrad Blarer,noble,family_line
1B0003,Martin Behaim,noble,family_line
0C0001,Chamerauer,noble,family_line
0C0002,Grafen von Comburg,noble,county
0C0003,Herrschaft Crimmitschau,noble,lordship
0C0004,von Carlowitz,noble,family_line
0C0005,Reichsministerialen von Codlitz,noble,family_line
0C0006,Herren von Culenburg,noble,knight_lord
0C0007,Edelherren von Caster,noble,knight_lord
0C0008,Grafen Colonna,noble,county
0C0009,von Czarth,noble,family_line
0C0010,von Carches,noble,family_line
0C0011,Domkapitel Cammin,church,monastery_chapter
0C0012, Czarnkow,noble,family_line
0C0013,von Clepizk,noble,family_line
0C0014,von Czettritz,noble,family_line
0C0015,Hzgt. Cosel-Beuthen,noble,family_line
0C0016,Capet (Frankreich),noble,family_line
0C0017,Capet-Anjou (u.a. Polen),noble,family_line
0C0018,Castell-Rüdenhausen (jüngere Linie),noble,family_line
0C0019,Czrettritz,noble,family_line
0C0020,Czastalowitz,noble,family_line
0C0021,Clenau; Klenau,noble,family_line
0D0001,von Dalwigk,noble,family_line
0D0002,Dersch,noble,family_line
0D0003,Kloster St. Denis,church,monastery_chapter
0D0004,Herren von Dornberg,noble,knight_lord
0D0005,Deutscher Orden,church,military_order
0D0006,Herren von Desenberg genannt Spiegel,noble,knight_lord
0D0007,Kloster Dornhan,church,monastery_chapter
0D0008,Domkapitel Mainz,church,monastery_chapter
0D0009,Ritter von Diepenheim,noble,knight_lord
0D0010,von Drosten,noble,family_line
1D0001,Hans von Digesheim,noble,family_line
0D0011,Herren von Duba,noble,knight_lord
0D0012,Truchsess von Diessenhofen,noble,family_line
0D0013,Diem Bürger zu Rottweil,noble,family_line
0D0014,Schenken von Dornburg,noble,family_line
0D0015,von Dohna-Schlodien,noble,family_line
0D0016,Fam. Dzalynski,noble,family_line
0D0017,Ritter von der Dahme,noble,knight_lord
0D0018,Herren von Driburg,noble,knight_lord
0D0019,Kloster Deutz,church,monastery_chapter
0D0020,von Dingden,noble,family_line
0D0021,von Dewin,noble,family_line
0D0022,Grafen von Dewitz,noble,county
0D0023,von Diepow,noble,family_line
0D0024,von Dieskau,noble,family_line
0D0025,von Drake,noble,family_line
0D0026,Danaborski,noble,family_line
0D0027,Dreiborn,noble,family_line
0D0028,von Dolfus,noble,family_line
0D0029,Grafen von Diez (Hessen),noble,county
0D0030,Burggrafen von Dohna (Preußische Linie),noble,burgraviate
0E0001,Grafen Erenfried,noble,county
0E0002,Herren von Ellerbach,noble,knight_lord
0E0003,Eppstein-Königstein,noble,family_line
0E0004,Eppstein-Münzenberg,noble,family_line
0E0005,Kloster Ettal,church,monastery_chapter
0E0007,Heinrich von Eremberg,noble,family_line
0E0006,Familie von Effern,noble,family_line
0E0008,Eglofsheim,noble,family_line
0E0009,Stefan von Emershofen,noble,family_line
0E0010,die vom Ende,noble,family_line
0E0011,Ezzonen,noble,family_line
0E0012,Gemeinde Endingen,noble,family_line
0E0013,die Erkenbertinger,noble,family_line
0E0014,von Enzenberg,noble,family_line
0E0015,Herren von Erwitte,noble,knight_lord
